X	Y
33.029	12.613
33.059	12.574
33.095	12.536
33.138	12.499
33.188	12.463
33.244	12.429
33.306	12.395
33.374	12.363
33.447	12.332
33.526	12.302
33.610	12.273
33.698	12.246
33.791	12.219
33.888	12.194
33.988	12.171
34.093	12.148
34.200	12.127
34.311	12.107
34.424	12.088
34.540	12.070
34.658	12.054
34.778	12.039
34.900	12.025
35.023	12.012
35.147	12.001
35.272	11.991
35.398	11.982
35.523	11.975
35.649	11.969
35.775	11.964
35.900	11.961
36.025	11.959
36.150	11.958
36.274	11.958
36.398	11.959
36.522	11.961
36.645	11.965
36.767	11.969
36.889	11.974
37.010	11.980
37.131	11.987
37.252	11.995
37.371	12.004
37.490	12.013
37.608	12.023
37.726	12.034
37.842	12.045
37.958	12.057
38.073	12.070
38.187	12.083
38.301	12.096
38.413	12.110
38.524	12.124
38.635	12.139
38.744	12.153
38.853	12.169
38.960	12.184
39.066	12.199
39.171	12.215
39.275	12.231
39.378	12.246
39.479	12.262
39.579	12.278
39.678	12.294
39.776	12.309
39.872	12.325
39.968	12.341
40.062	12.357
40.155	12.374
40.247	12.391
40.337	12.408
40.427	12.425
40.516	12.444
40.604	12.462
40.690	12.482
40.776	12.502
40.861	12.523
40.945	12.545
41.028	12.567
41.110	12.591
41.191	12.616
41.272	12.642
41.352	12.668
41.431	12.697
41.509	12.726
41.587	12.757
41.664	12.789
41.740	12.823
41.815	12.858
41.890	12.894
41.965	12.933
42.038	12.972
42.111	13.014
42.182	13.056
42.252	13.100
42.321	13.146
42.388	13.193
42.455	13.242
42.519	13.291
42.582	13.343
42.643	13.395
42.702	13.449
42.759	13.504
42.813	13.561
42.866	13.618
42.916	13.677
42.964	13.737
43.010	13.799
43.053	13.862
43.093	13.925
43.130	13.990
43.164	14.056
43.195	14.124
43.223	14.192
43.249	14.260
43.271	14.329
43.290	14.399
43.306	14.468
43.319	14.537
43.330	14.606
43.337	14.675
43.341	14.743
43.342	14.810
43.341	14.876
43.336	14.941
43.328	15.004
43.317	15.066
43.303	15.126
43.286	15.184
43.266	15.240
43.244	15.294
43.218	15.345
43.189	15.394
43.159	15.442
43.127	15.487
43.093	15.532
43.058	15.576
43.022	15.618
42.985	15.660
42.949	15.702
42.912	15.744
42.876	15.785
42.841	15.828
42.806	15.870
42.774	15.914
42.743	15.959
42.714	16.005
42.687	16.052
42.662	16.101
42.638	16.151
42.616	16.202
42.594	16.253
42.573	16.306
42.553	16.359
42.532	16.413
42.510	16.466
42.488	16.520
42.465	16.574
42.440	16.628
42.413	16.682
42.385	16.735
42.354	16.788
42.320	16.840
42.284	16.891
42.244	16.941
42.201	16.991
42.156	17.040
42.108	17.088
42.058	17.135
42.006	17.182
41.952	17.227
41.897	17.273
41.840	17.317
41.781	17.361
41.721	17.404
41.661	17.447
41.600	17.489
41.538	17.531
41.475	17.572
41.413	17.612
41.350	17.652
41.288	17.692
41.226	17.731
41.164	17.770
41.103	17.809
41.043	17.847
40.984	17.885
40.924	17.922
40.866	17.959
40.807	17.996
40.749	18.033
40.691	18.069
40.634	18.105
40.576	18.141
40.518	18.177
40.461	18.212
40.403	18.247
40.345	18.282
40.287	18.317
40.228	18.352
40.169	18.387
40.110	18.421
40.050	18.455
39.990	18.490
39.928	18.524
39.867	18.558
39.804	18.591
39.741	18.624
39.677	18.657
39.613	18.690
39.548	18.721
39.482	18.752
39.415	18.782
39.348	18.812
39.280	18.840
39.212	18.867
39.142	18.894
39.073	18.919
39.002	18.942
38.930	18.964
38.858	18.985
38.785	19.004
38.712	19.022
38.638	19.038
38.562	19.052
38.487	19.064
38.410	19.074
38.333	19.083
38.256	19.090
38.179	19.095
38.101	19.098
38.023	19.100
37.946	19.100
37.868	19.099
37.791	19.096
37.715	19.092
37.639	19.086
37.564	19.080
37.489	19.072
37.416	19.063
37.344	19.052
37.273	19.041
37.203	19.028
37.135	19.015
37.068	19.001
37.003	18.985
36.940	18.969
36.878	18.952
36.819	18.935
36.760	18.916
36.704	18.897
36.648	18.876
36.593	18.855
36.539	18.833
36.486	18.810
36.434	18.786
36.382	18.761
36.330	18.734
36.278	18.707
36.226	18.679
36.174	18.650
36.121	18.620
36.068	18.588
36.014	18.556
35.960	18.522
35.904	18.487
35.848	18.451
35.792	18.413
35.734	18.375
35.677	18.335
35.619	18.293
35.560	18.250
35.502	18.206
35.443	18.160
35.384	18.113
35.325	18.064
35.267	18.013
35.208	17.961
35.150	17.907
35.092	17.851
35.034	17.794
34.977	17.734
34.920	17.673
34.864	17.610
34.809	17.545
34.754	17.478
34.701	17.409
34.648	17.338
34.595	17.265
34.544	17.191
34.494	17.115
34.444	17.037
34.395	16.958
34.346	16.878
34.299	16.797
34.252	16.715
34.206	16.632
34.160	16.547
34.116	16.463
34.071	16.377
34.028	16.291
33.985	16.204
33.943	16.117
33.902	16.030
33.861	15.943
33.820	15.856
33.781	15.768
33.741	15.681
33.703	15.594
33.665	15.508
33.627	15.422
33.590	15.336
33.554	15.251
33.518	15.167
33.483	15.084
33.448	15.002
33.414	14.920
33.381	14.840
33.349	14.762
33.318	14.684
33.288	14.608
33.259	14.534
33.231	14.461
33.205	14.390
33.180	14.320
33.157	14.253
33.135	14.188
33.114	14.125
33.096	14.064
33.079	14.005
33.064	13.949
33.051	13.895
33.040	13.844
33.031	13.796
33.024	13.751
33.019	13.708
33.016	13.667
33.015	13.629
33.015	13.592
33.016	13.557
33.018	13.524
33.020	13.491
33.024	13.460
33.027	13.429
33.031	13.399
33.034	13.368
33.037	13.338
33.039	13.307
33.041	13.276
33.041	13.244
33.041	13.212
33.039	13.178
33.035	13.144
33.030	13.107
33.022	13.070
33.014	13.031
33.004	12.990
32.995	12.949
32.988	12.907
32.982	12.865
32.978	12.822
32.978	12.779
32.983	12.737
32.992	12.695
33.007	12.654
33.029	12.613
