X,Y
42.877,20.092
42.904,20.026
42.938,19.958
42.978,19.888
43.023,19.816
43.073,19.742
43.128,19.667
43.188,19.590
43.251,19.512
43.319,19.433
43.390,19.353
43.465,19.271
43.543,19.189
43.623,19.106
43.705,19.022
43.790,18.938
43.877,18.854
43.965,18.769
44.054,18.684
44.144,18.598
44.234,18.513
44.325,18.428
44.416,18.343
44.506,18.259
44.596,18.175
44.685,18.091
44.772,18.008
44.858,17.926
44.943,17.845
45.027,17.764
45.110,17.684
45.192,17.604
45.273,17.525
45.353,17.446
45.433,17.368
45.512,17.290
45.590,17.213
45.668,17.135
45.745,17.058
45.822,16.982
45.899,16.905
45.976,16.829
46.053,16.753
46.130,16.677
46.207,16.601
46.284,16.525
46.361,16.449
46.439,16.373
46.517,16.297
46.596,16.221
46.676,16.145
46.756,16.069
46.836,15.992
46.918,15.915
47.000,15.838
47.083,15.761
47.166,15.683
47.251,15.606
47.335,15.528
47.420,15.450
47.506,15.372
47.591,15.294
47.677,15.216
47.764,15.137
47.850,15.059
47.937,14.980
48.024,14.901
48.111,14.823
48.198,14.744
48.285,14.665
48.372,14.586
48.459,14.508
48.545,14.429
48.632,14.350
48.718,14.271
48.804,14.192
48.890,14.114
48.975,14.035
49.059,13.956
49.144,13.878
49.227,13.800
49.311,13.721
49.393,13.643
49.476,13.564
49.558,13.486
49.639,13.408
49.720,13.329
49.801,13.251
49.881,13.173
49.961,13.094
50.040,13.016
50.119,12.937
50.198,12.858
50.276,12.779
50.354,12.700
50.432,12.621
50.510,12.542
50.587,12.463
50.663,12.383
50.740,12.303
50.816,12.223
50.892,12.143
50.968,12.062
51.044,11.981
51.119,11.900
51.194,11.819
51.269,11.737
51.344,11.655
51.419,11.573
51.494,11.491
51.569,11.408
51.644,11.325
51.719,11.242
51.794,11.159
51.870,11.076
51.946,10.993
52.022,10.910
52.099,10.826
52.177,10.743
52.255,10.660
52.333,10.576
52.412,10.493
52.492,10.410
52.573,10.327
52.655,10.243
52.737,10.161
52.821,10.078
52.905,9.995
52.990,9.913
53.077,9.830
53.165,9.749
53.254,9.667
53.344,9.585
53.435,9.504
53.528,9.424
53.622,9.343
53.716,9.264
53.811,9.185
53.907,9.107
54.004,9.030
54.101,8.954
54.199,8.879
54.297,8.805
54.395,8.732
54.493,8.661
54.591,8.591
54.690,8.522
54.788,8.455
54.886,8.390
54.983,8.326
55.080,8.265
55.177,8.205
55.273,8.147
55.368,8.091
55.462,8.038
55.556,7.986
55.648,7.938
55.740,7.891
55.830,7.847
55.919,7.806
56.006,7.767
56.093,7.730
56.178,7.696
56.263,7.664
56.347,7.634
56.430,7.605
56.513,7.578
56.595,7.553
56.677,7.529
56.759,7.506
56.841,7.483
56.923,7.462
57.006,7.442
57.089,7.421
57.172,7.402
57.256,7.382
57.340,7.363
57.426,7.343
57.512,7.323
57.600,7.303
57.689,7.282
57.778,7.261
57.869,7.241
57.960,7.220
58.050,7.201
58.141,7.183
58.232,7.166
58.322,7.151
58.411,7.138
58.498,7.128
58.585,7.120
58.670,7.115
58.752,7.114
58.833,7.117
58.911,7.124
58.987,7.135
59.060,7.151
59.129,7.172
59.195,7.198
59.258,7.231
59.316,7.268
59.372,7.311
59.423,7.359
59.472,7.411
59.518,7.467
59.561,7.527
59.601,7.590
59.639,7.656
59.675,7.724
59.709,7.794
59.741,7.865
59.772,7.938
59.800,8.011
59.828,8.085
59.855,8.159
59.880,8.232
59.905,8.304
59.930,8.376
59.953,8.446
59.976,8.516
59.998,8.586
60.019,8.655
60.039,8.724
60.059,8.794
60.077,8.863
60.094,8.933
60.110,9.004
60.124,9.076
60.137,9.149
60.149,9.223
60.160,9.298
60.169,9.375
60.176,9.453
60.182,9.534
60.187,9.617
60.189,9.701
60.190,9.788
60.189,9.876
60.187,9.966
60.183,10.057
60.177,10.149
60.170,10.243
60.161,10.337
60.150,10.432
60.138,10.529
60.124,10.625
60.108,10.723
60.090,10.820
60.071,10.918
60.050,11.016
60.028,11.113
60.003,11.211
59.977,11.308
59.949,11.405
59.920,11.501
59.889,11.597
59.856,11.692
59.821,11.785
59.785,11.878
59.748,11.970
59.710,12.062
59.672,12.152
59.633,12.241
59.593,12.329
59.553,12.417
59.514,12.503
59.474,12.589
59.435,12.673
59.396,12.756
59.359,12.838
59.322,12.920
59.287,13.000
59.252,13.079
59.220,13.157
59.189,13.233
59.160,13.309
59.133,13.383
59.109,13.456
59.087,13.528
59.066,13.600
59.048,13.670
59.031,13.740
59.015,13.810
59.001,13.880
58.987,13.951
58.973,14.021
58.960,14.092
58.947,14.164
58.934,14.237
58.920,14.312
58.906,14.387
58.890,14.465
58.873,14.544
58.855,14.625
58.835,14.709
58.813,14.795
58.790,14.884
58.764,14.975
58.737,15.067
58.708,15.162
58.677,15.258
58.645,15.355
58.612,15.454
58.577,15.554
58.541,15.655
58.504,15.757
58.465,15.859
58.426,15.962
58.385,16.064
58.344,16.167
58.302,16.270
58.259,16.372
58.216,16.474
58.171,16.576
58.127,16.676
58.082,16.775
58.036,16.874
57.991,16.970
57.945,17.066
57.899,17.159
57.853,17.251
57.807,17.341
57.760,17.430
57.714,17.517
57.668,17.603
57.623,17.688
57.577,17.772
57.531,17.855
57.486,17.937
57.441,18.018
57.397,18.099
57.352,18.179
57.309,18.259
57.265,18.339
57.222,18.419
57.180,18.499
57.138,18.579
57.097,18.659
57.057,18.739
57.017,18.820
56.978,18.902
56.940,18.984
56.902,19.068
56.865,19.151
56.828,19.235
56.791,19.320
56.755,19.404
56.718,19.489
56.681,19.573
56.643,19.657
56.604,19.740
56.565,19.823
56.525,19.905
56.483,19.986
56.440,20.066
56.395,20.145
56.348,20.222
56.300,20.298
56.249,20.372
56.196,20.444
56.141,20.514
56.083,20.582
56.022,20.648
55.958,20.712
55.891,20.773
55.822,20.832
55.750,20.888
55.675,20.943
55.598,20.996
55.519,21.047
55.437,21.096
55.353,21.143
55.267,21.188
55.180,21.232
55.090,21.274
54.998,21.314
54.905,21.353
54.810,21.391
54.714,21.427
54.616,21.462
54.517,21.496
54.417,21.529
54.316,21.561
54.213,21.591
54.110,21.621
54.006,21.650
53.901,21.678
53.795,21.706
53.688,21.732
53.581,21.758
53.473,21.783
53.364,21.808
53.254,21.832
53.144,21.856
53.032,21.879
52.920,21.902
52.807,21.924
52.694,21.946
52.579,21.968
52.464,21.990
52.348,22.011
52.232,22.032
52.114,22.053
51.996,22.074
51.878,22.095
51.758,22.115
51.638,22.136
51.517,22.157
51.395,22.178
51.273,22.199
51.150,22.221
51.026,22.242
50.902,22.264
50.777,22.287
50.651,22.309
50.525,22.332
50.398,22.354
50.271,22.377
50.144,22.400
50.016,22.422
49.888,22.444
49.760,22.466
49.632,22.488
49.504,22.509
49.376,22.530
49.248,22.550
49.120,22.569
48.992,22.588
48.865,22.606
48.738,22.623
48.611,22.639
48.485,22.654
48.360,22.669
48.235,22.682
48.111,22.693
47.987,22.704
47.864,22.713
47.742,22.721
47.621,22.727
47.501,22.732
47.382,22.735
47.264,22.736
47.148,22.736
47.032,22.734
46.918,22.730
46.805,22.725
46.693,22.718
46.583,22.710
46.474,22.701
46.367,22.690
46.262,22.679
46.158,22.666
46.055,22.653
45.955,22.639
45.856,22.624
45.759,22.608
45.664,22.592
45.570,22.576
45.479,22.559
45.390,22.541
45.303,22.524
45.218,22.507
45.135,22.489
45.054,22.472
44.975,22.455
44.899,22.438
44.825,22.421
44.753,22.405
44.683,22.388
44.615,22.372
44.548,22.356
44.482,22.339
44.417,22.322
44.353,22.305
44.290,22.287
44.227,22.269
44.164,22.251
44.102,22.231
44.039,22.211
43.976,22.190
43.912,22.169
43.848,22.146
43.783,22.122
43.718,22.097
43.653,22.071
43.589,22.045
43.526,22.017
43.465,21.989
43.405,21.959
43.347,21.929
43.293,21.898
43.241,21.866
43.192,21.833
43.148,21.800
43.108,21.765
43.072,21.730
43.042,21.695
43.016,21.658
42.994,21.621
42.977,21.583
42.962,21.544
42.951,21.505
42.942,21.464
42.934,21.423
42.929,21.381
42.924,21.338
42.920,21.293
42.917,21.248
42.914,21.203
42.911,21.156
42.908,21.109
42.904,21.061
42.900,21.013
42.896,20.964
42.890,20.914
42.884,20.865
42.877,20.815
42.868,20.765
42.859,20.714
42.850,20.663
42.841,20.611
42.833,20.559
42.826,20.505
42.822,20.451
42.821,20.395
42.823,20.338
42.829,20.279
42.839,20.219
42.855,20.157
42.877,20.092
