X,Y
42.853,21.102
42.894,21.065
42.946,21.033
43.010,21.004
43.083,20.979
43.166,20.957
43.257,20.938
43.355,20.922
43.461,20.909
43.572,20.897
43.689,20.888
43.810,20.881
43.936,20.875
44.064,20.871
44.194,20.867
44.325,20.865
44.457,20.863
44.589,20.861
44.721,20.859
44.851,20.858
44.981,20.857
45.110,20.856
45.239,20.855
45.366,20.855
45.493,20.855
45.619,20.855
45.744,20.856
45.868,20.857
45.992,20.858
46.114,20.859
46.235,20.861
46.356,20.864
46.475,20.867
46.593,20.870
46.710,20.874
46.826,20.878
46.941,20.882
47.055,20.888
47.168,20.893
47.279,20.900
47.390,20.906
47.499,20.914
47.608,20.921
47.716,20.930
47.823,20.939
47.930,20.948
48.035,20.958
48.141,20.968
48.245,20.979
48.349,20.990
48.453,21.002
48.557,21.014
48.660,21.027
48.763,21.041
48.866,21.054
48.969,21.069
49.072,21.084
49.174,21.099
49.277,21.115
49.380,21.131
49.482,21.148
49.585,21.165
49.687,21.183
49.790,21.202
49.892,21.221
49.995,21.241
50.097,21.261
50.200,21.281
50.302,21.303
50.405,21.325
50.507,21.347
50.610,21.370
50.712,21.394
50.815,21.419
50.918,21.444
51.021,21.470
51.124,21.497
51.228,21.524
51.332,21.553
51.436,21.583
51.541,21.614
51.647,21.646
51.753,21.680
51.860,21.714
51.967,21.751
52.076,21.788
52.185,21.827
52.295,21.868
52.406,21.910
52.519,21.954
52.632,22.000
52.746,22.048
52.860,22.097
52.974,22.147
53.088,22.200
53.201,22.254
53.313,22.309
53.423,22.366
53.532,22.425
53.639,22.485
53.743,22.546
53.844,22.609
53.943,22.673
54.038,22.739
54.129,22.805
54.216,22.873
54.298,22.942
54.376,23.013
54.448,23.084
54.516,23.157
54.578,23.231
54.635,23.306
54.687,23.382
54.736,23.459
54.780,23.537
54.821,23.617
54.858,23.698
54.892,23.780
54.924,23.863
54.953,23.948
54.980,24.033
55.004,24.120
55.028,24.209
55.049,24.298
55.070,24.389
55.089,24.481
55.107,24.574
55.123,24.667
55.137,24.762
55.149,24.856
55.159,24.952
55.168,25.047
55.174,25.143
55.177,25.239
55.178,25.335
55.177,25.430
55.173,25.525
55.166,25.620
55.156,25.713
55.143,25.807
55.127,25.899
55.108,25.991
55.087,26.083
55.064,26.174
55.039,26.265
55.012,26.356
54.984,26.447
54.954,26.538
54.923,26.629
54.891,26.720
54.858,26.811
54.825,26.903
54.791,26.996
54.757,27.089
54.723,27.182
54.689,27.277
54.655,27.372
54.621,27.467
54.586,27.563
54.551,27.658
54.515,27.754
54.478,27.850
54.440,27.946
54.402,28.041
54.362,28.136
54.320,28.231
54.278,28.325
54.233,28.418
54.187,28.510
54.139,28.602
54.089,28.692
54.038,28.782
53.984,28.870
53.928,28.957
53.870,29.042
53.810,29.126
53.749,29.208
53.685,29.289
53.620,29.368
53.553,29.446
53.484,29.521
53.413,29.595
53.341,29.667
53.268,29.736
53.192,29.804
53.115,29.869
53.037,29.932
52.957,29.993
52.876,30.052
52.794,30.108
52.710,30.162
52.626,30.215
52.540,30.266
52.454,30.316
52.368,30.365
52.281,30.412
52.193,30.459
52.106,30.505
52.018,30.550
51.931,30.595
51.843,30.640
51.756,30.684
51.670,30.729
51.584,30.774
51.498,30.819
51.413,30.864
51.329,30.910
51.244,30.955
51.160,31.001
51.077,31.046
50.993,31.090
50.909,31.135
50.826,31.179
50.742,31.222
50.658,31.265
50.574,31.307
50.489,31.348
50.404,31.388
50.319,31.427
50.233,31.465
50.147,31.502
50.060,31.537
49.973,31.570
49.886,31.601
49.799,31.630
49.712,31.656
49.625,31.679
49.538,31.700
49.451,31.717
49.365,31.731
49.279,31.741
49.194,31.747
49.110,31.749
49.026,31.747
48.943,31.740
48.860,31.730
48.778,31.716
48.696,31.699
48.615,31.679
