X	Y
44.025	20.779
44.033	20.615
44.046	20.456
44.065	20.298
44.093	20.143
44.131	19.987
44.181	19.830
44.245	19.672
44.323	19.510
44.419	19.344
44.532	19.172
44.663	18.996
44.810	18.814
44.973	18.627
45.152	18.435
45.344	18.238
45.550	18.037
45.768	17.831
45.998	17.620
46.238	17.404
46.489	17.185
46.748	16.961
47.016	16.733
47.291	16.501
47.573	16.265
47.860	16.025
48.152	15.781
48.449	15.534
48.749	15.284
49.052	15.032
49.357	14.778
49.664	14.523
49.972	14.267
50.280	14.011
50.588	13.755
50.895	13.500
51.201	13.247
51.505	12.995
51.805	12.746
52.103	12.499
52.396	12.256
52.685	12.017
52.969	11.782
53.246	11.553
53.517	11.329
53.781	11.110
54.037	10.899
54.285	10.694
54.526	10.495
54.760	10.303
54.988	10.117
55.211	9.936
55.430	9.760
55.646	9.589
55.860	9.422
56.073	9.258
56.285	9.098
56.497	8.941
56.710	8.786
56.926	8.634
57.145	8.483
57.367	8.334
57.595	8.186
57.826	8.039
58.061	7.894
58.300	7.751
58.541	7.611
58.784	7.474
59.028	7.341
59.273	7.213
59.518	7.089
59.762	6.971
60.006	6.858
60.248	6.752
60.487	6.652
60.724	6.560
60.957	6.476
61.186	6.400
61.411	6.332
61.632	6.273
61.848	6.222
62.060	6.179
62.267	6.145
62.469	6.119
62.665	6.102
62.857	6.093
63.043	6.093
63.223	6.102
63.398	6.120
63.567	6.147
63.729	6.187
63.884	6.239
64.032	6.306
64.173	6.390
64.305	6.491
64.429	6.612
64.544	6.753
64.650	6.917
64.747	7.101
64.834	7.303
64.913	7.522
64.982	7.755
65.041	8.001
65.092	8.257
65.133	8.520
65.164	8.791
65.187	9.065
65.200	9.341
65.204	9.617
65.198	9.891
65.183	10.162
65.160	10.428
65.128	10.689
65.088	10.948
65.042	11.204
64.991	11.457
64.934	11.709
64.872	11.961
64.808	12.211
64.740	12.462
64.670	12.714
64.599	12.967
64.528	13.222
64.457	13.480
64.386	13.741
64.317	14.005
64.248	14.272
64.179	14.541
64.108	14.812
64.034	15.085
63.958	15.358
63.878	15.632
63.793	15.906
63.702	16.180
63.605	16.452
63.500	16.723
63.387	16.992
63.265	17.258
63.134	17.522
62.991	17.782
62.838	18.038
62.673	18.290
62.498	18.538
62.312	18.780
62.117	19.018
61.914	19.250
61.702	19.476
61.482	19.697
61.255	19.911
61.021	20.118
60.781	20.319
60.535	20.512
60.284	20.698
60.029	20.876
59.769	21.046
59.506	21.207
59.240	21.360
58.972	21.503
58.701	21.639
58.429	21.767
58.155	21.887
57.880	22.000
57.605	22.106
57.329	22.207
57.053	22.301
56.777	22.390
56.502	22.474
56.228	22.554
55.955	22.630
55.684	22.702
55.415	22.770
55.148	22.836
54.884	22.900
54.622	22.961
54.362	23.020
54.103	23.076
53.844	23.130
53.584	23.181
53.323	23.229
53.059	23.274
52.793	23.316
52.524	23.356
52.250	23.392
51.971	23.425
51.686	23.454
51.394	23.480
51.095	23.502
50.789	23.521
50.475	23.536
50.156	23.549
49.833	23.559
49.507	23.566
49.180	23.572
48.853	23.577
48.528	23.581
48.206	23.584
47.888	23.587
47.577	23.590
47.273	23.595
46.978	23.600
46.694	23.606
46.421	23.615
46.162	23.626
45.917	23.639
45.688	23.655
45.475	23.670
45.278	23.681
45.096	23.686
44.929	23.681
44.777	23.663
44.641	23.630
44.519	23.578
44.412	23.504
44.320	23.407
44.241	23.292
44.176	23.163
44.123	23.027
44.081	22.889
44.050	22.756
44.029	22.631
44.018	22.522
44.013	22.425
44.014	22.333
44.018	22.242
44.023	22.143
44.026	22.032
44.027	21.904
44.026	21.763
44.024	21.611
44.022	21.451
44.020	21.285
44.019	21.116
44.021	20.946
44.025	20.779
