X	Y
62.432	35.045
62.587	34.848
62.788	34.645
63.033	34.435
63.318	34.220
63.638	33.998
63.990	33.772
64.370	33.540
64.774	33.303
65.197	33.061
65.636	32.815
66.087	32.565
66.546	32.311
67.008	32.053
67.471	31.792
67.930	31.527
68.381	31.260
68.821	30.990
69.250	30.717
69.671	30.441
70.085	30.163
70.493	29.882
70.896	29.599
71.297	29.313
71.697	29.024
72.097	28.733
72.499	28.438
72.904	28.142
73.315	27.842
73.731	27.540
74.156	27.236
74.590	26.928
75.035	26.618
75.492	26.305
75.964	25.990
76.451	25.672
76.954	25.352
77.473	25.029
78.005	24.705
78.551	24.379
79.108	24.052
79.677	23.725
80.255	23.397
80.842	23.070
81.437	22.743
82.038	22.417
82.645	22.092
83.257	21.768
83.871	21.447
84.488	21.128
85.106	20.812
85.724	20.499
86.342	20.190
86.957	19.884
87.569	19.583
88.177	19.286
88.779	18.995
89.375	18.709
89.964	18.428
90.544	18.154
91.115	17.886
91.677	17.626
92.229	17.373
92.772	17.129
93.306	16.893
93.832	16.667
94.348	16.451
94.856	16.246
95.354	16.052
95.845	15.870
96.327	15.700
96.800	15.543
97.265	15.400
97.722	15.271
98.171	15.157
98.612	15.058
99.045	14.974
99.470	14.908
99.888	14.858
100.297	14.825
100.699	14.809
101.093	14.807
101.478	14.819
101.855	14.843
102.223	14.878
102.582	14.923
102.931	14.976
103.271	15.036
103.602	15.102
103.922	15.173
104.232	15.247
104.532	15.322
104.822	15.399
105.103	15.478
105.378	15.557
105.648	15.639
105.915	15.722
106.181	15.808
106.449	15.896
106.720	15.987
106.996	16.081
107.278	16.178
107.570	16.280
107.868	16.385
108.168	16.493
108.465	16.604
108.754	16.718
109.030	16.834
109.289	16.952
109.526	17.072
109.736	17.194
109.914	17.317
110.056	17.440
110.158	17.565
110.218	17.692
110.235	17.822
110.208	17.956
110.134	18.095
110.021	18.238
109.877	18.387
109.716	18.539
109.546	18.695
109.381	18.854
109.230	19.016
109.105	19.180
109.015	19.346
108.959	19.514
108.931	19.687
108.929	19.866
108.948	20.050
108.983	20.243
109.030	20.445
109.084	20.654
109.138	20.867
109.186	21.079
109.221	21.285
109.236	21.481
109.225	21.663
109.180	21.825
109.098	21.966
108.983	22.088
108.838	22.195
108.667	22.291
108.475	22.379
108.266	22.463
108.044	22.546
107.813	22.632
107.573	22.721
107.328	22.814
107.078	22.913
106.824	23.018
106.569	23.130
106.314	23.251
106.061	23.381
105.810	23.522
105.565	23.674
105.324	23.838
105.088	24.014
104.855	24.202
104.626	24.401
104.400	24.612
104.177	24.835
103.954	25.069
103.733	25.314
103.512	25.571
103.291	25.839
103.069	26.118
102.846	26.409
102.621	26.709
102.394	27.019
102.164	27.337
101.932	27.662
101.697	27.995
101.459	28.333
101.217	28.676
100.971	29.023
100.721	29.373
100.466	29.725
100.206	30.079
99.942	30.433
99.671	30.787
99.395	31.139
99.113	31.489
98.825	31.837
98.532	32.183
98.236	32.526
97.935	32.867
97.632	33.206
97.327	33.542
97.021	33.876
96.714	34.208
96.406	34.538
96.100	34.866
95.795	35.191
95.492	35.514
95.192	35.835
94.895	36.153
94.603	36.470
94.315	36.784
94.033	37.094
93.758	37.399
93.490	37.696
93.231	37.983
92.981	38.259
92.742	38.520
92.514	38.765
92.298	38.992
92.095	39.199
91.907	39.384
91.733	39.544
91.575	39.677
91.431	39.783
91.295	39.860
91.158	39.908
91.014	39.928
90.856	39.918
90.677	39.878
90.476	39.811
90.255	39.719
90.017	39.607
89.763	39.478
89.495	39.334
89.216	39.179
88.928	39.016
88.633	38.849
88.332	38.681
88.029	38.516
87.723	38.355
87.417	38.201
87.109	38.054
86.799	37.916
86.487	37.789
86.174	37.673
85.858	37.570
85.541	37.481
85.221	37.408
84.899	37.352
84.576	37.314
84.249	37.295
83.921	37.296
83.590	37.315
83.256	37.351
82.919	37.402
82.580	37.466
82.238	37.541
81.892	37.627
81.544	37.720
81.192	37.819
80.836	37.923
80.477	38.030
80.114	38.138
79.748	38.245
79.378	38.351
79.005	38.456
78.629	38.558
78.252	38.660
77.874	38.759
77.495	38.857
77.117	38.954
76.739	39.049
76.363	39.143
75.989	39.235
75.617	39.325
75.249	39.414
74.885	39.502
74.526	39.588
74.171	39.672
73.819	39.754
73.471	39.835
73.124	39.913
72.778	39.988
72.432	40.061
72.086	40.130
71.738	40.196
71.387	40.259
71.032	40.318
70.673	40.372
70.309	40.423
69.938	40.469
69.562	40.510
69.180	40.547
68.795	40.581
68.407	40.611
68.019	40.638
67.632	40.663
67.246	40.686
66.863	40.708
66.485	40.728
66.112	40.747
65.747	40.766
65.391	40.786
65.044	40.805
64.709	40.826
64.386	40.844
64.080	40.855
63.791	40.856
63.522	40.840
63.275	40.805
63.052	40.744
62.857	40.655
62.690	40.532
62.554	40.371
62.448	40.173
62.369	39.945
62.314	39.692
62.277	39.423
62.256	39.144
62.247	38.862
62.246	38.583
62.249	38.314
62.253	38.062
62.254	37.832
62.254	37.622
62.253	37.429
62.252	37.252
62.251	37.087
62.251	36.932
62.253	36.786
62.257	36.645
62.260	36.507
62.261	36.368
62.258	36.227
62.249	36.080
62.236	35.926
62.228	35.764
62.235	35.595
62.265	35.419
62.327	35.235
62.432	35.045
