X	Y
62.072	39.369
62.318	39.150
62.640	38.957
63.031	38.787
63.484	38.641
63.991	38.514
64.546	38.406
65.142	38.315
65.771	38.239
66.427	38.176
67.102	38.124
67.789	38.081
68.482	38.045
69.173	38.015
69.857	37.989
70.532	37.967
71.198	37.949
71.855	37.936
72.501	37.928
73.136	37.924
73.760	37.926
74.372	37.933
74.972	37.946
75.558	37.964
76.132	37.989
76.691	38.020
77.236	38.057
77.765	38.101
78.279	38.152
78.779	38.211
79.266	38.276
79.742	38.349
80.209	38.429
80.668	38.517
81.120	38.613
81.568	38.717
82.013	38.829
82.457	38.949
82.901	39.078
83.347	39.215
83.791	39.363
84.231	39.522
84.663	39.695
85.084	39.883
85.489	40.087
85.876	40.311
86.240	40.554
86.578	40.820
86.887	41.110
87.163	41.424
87.404	41.763
87.612	42.119
87.787	42.489
87.929	42.867
88.041	43.247
88.122	43.625
88.174	43.995
88.197	44.352
88.192	44.691
88.159	45.009
88.098	45.304
88.008	45.575
87.888	45.820
87.738	46.037
87.558	46.225
87.348	46.383
87.116	46.515
86.869	46.624
86.617	46.713
86.366	46.786
86.125	46.847
85.901	46.901
85.690	46.958
85.487	47.029
85.288	47.127
85.088	47.263
84.882	47.445
84.668	47.665
84.445	47.905
84.213	48.147
83.970	48.372
83.716	48.563
83.449	48.701
83.170	48.770
82.884	48.777
82.600	48.748
82.330	48.709
82.084	48.689
81.872	48.712
81.704	48.804
81.571	48.957
81.455	49.137
81.334	49.312
81.188	49.449
81.001	49.521
80.775	49.537
80.519	49.518
80.242	49.484
79.952	49.457
79.659	49.458
79.370	49.502
79.091	49.582
78.825	49.685
78.577	49.796
78.349	49.901
78.147	49.986
77.971	50.038
77.810	50.057
77.644	50.048
77.453	50.014
77.219	49.962
76.948	49.900
76.658	49.841
76.367	49.796
76.094	49.777
75.857	49.795
75.673	49.863
75.535	49.975
75.414	50.111
75.280	50.252
75.105	50.378
74.869	50.477
74.586	50.559
74.273	50.633
73.946	50.711
73.624	50.804
73.323	50.925
73.060	51.083
72.847	51.286
72.677	51.518
72.536	51.760
72.412	51.991
72.291	52.192
72.160	52.344
72.009	52.432
71.830	52.463
71.619	52.451
71.371	52.406
71.080	52.342
70.744	52.269
70.367	52.185
69.957	52.089
69.521	51.976
69.064	51.844
68.596	51.689
68.122	51.509
67.649	51.301
67.185	51.061
66.737	50.786
66.311	50.473
65.913	50.122
65.540	49.739
65.191	49.329
64.864	48.898
64.557	48.454
64.269	48.001
63.996	47.547
63.738	47.097
63.493	46.659
63.258	46.237
63.031	45.838
62.812	45.469
62.599	45.130
62.398	44.819
62.213	44.529
62.049	44.256
61.910	43.994
61.800	43.738
61.724	43.483
61.686	43.224
61.680	42.964
61.698	42.705
61.730	42.453
61.768	42.213
61.801	41.987
61.823	41.779
61.833	41.581
61.831	41.383
61.819	41.175
61.797	40.948
61.771	40.698
61.754	40.430
61.761	40.154
61.807	39.880
61.905	39.615
62.072	39.369
