X,Y
354.000,281.500
354.117,280.253
354.390,278.878
354.808,277.393
355.359,275.822
356.033,274.184
356.818,272.502
357.701,270.795
358.673,269.084
359.720,267.392
360.833,265.738
361.999,264.145
363.207,262.631
364.448,261.198
365.718,259.832
367.009,258.519
368.315,257.245
369.631,255.996
370.951,254.757
372.268,253.515
373.576,252.255
374.870,250.962
376.144,249.624
377.390,248.225
378.605,246.751
379.788,245.201
380.950,243.582
382.099,241.903
383.243,240.174
384.394,238.401
385.558,236.595
386.746,234.764
387.967,232.917
389.229,231.063
390.543,229.209
391.916,227.366
393.358,225.541
394.878,223.744
396.486,221.982
398.184,220.262
399.966,218.581
401.826,216.936
403.756,215.326
405.749,213.747
407.798,212.197
409.896,210.675
412.035,209.176
414.209,207.699
416.411,206.241
418.633,204.800
420.868,203.373
423.109,201.959
425.350,200.553
427.582,199.154
429.799,197.760
431.994,196.368
434.164,194.977
436.309,193.589
438.431,192.205
440.532,190.828
442.613,189.458
444.674,188.098
446.718,186.749
448.746,185.413
450.758,184.091
452.757,182.785
454.744,181.496
456.719,180.227
458.685,178.979
460.642,177.753
462.593,176.551
464.538,175.376
466.481,174.228
468.430,173.110
470.392,172.025
472.372,170.974
474.379,169.962
476.419,168.989
478.500,168.059
480.627,167.173
482.808,166.334
485.049,165.545
487.359,164.808
489.742,164.125
492.208,163.499
494.762,162.932
497.411,162.427
500.157,161.984
502.989,161.602
505.892,161.278
508.855,161.008
511.862,160.790
514.901,160.621
517.958,160.498
521.020,160.419
524.072,160.381
527.102,160.380
530.097,160.415
533.041,160.481
535.923,160.577
538.728,160.700
541.443,160.846
544.054,161.013
546.549,161.198
548.913,161.399
551.133,161.612
553.206,161.845
555.139,162.111
556.937,162.426
558.607,162.805
560.156,163.263
561.589,163.815
562.913,164.475
564.135,165.259
565.261,166.182
566.298,167.259
567.251,168.501
568.127,169.898
568.932,171.428
569.671,173.071
570.350,174.806
570.976,176.610
571.554,178.463
572.090,180.344
572.590,182.231
573.060,184.103
573.505,185.939
573.932,187.717
574.345,189.421
574.746,191.055
575.132,192.637
575.503,194.183
575.856,195.707
576.191,197.227
576.506,198.757
576.799,200.315
577.070,201.915
577.316,203.574
577.537,205.309
577.730,207.128
577.896,209.028
578.035,211.003
578.144,213.048
578.224,215.157
578.275,217.324
578.295,219.542
578.285,221.807
578.243,224.112
578.169,226.452
578.063,228.820
577.923,231.212
577.750,233.620
577.543,236.040
577.302,238.465
577.029,240.889
576.729,243.307
576.406,245.712
576.063,248.097
575.706,250.458
575.337,252.786
574.962,255.078
574.584,257.325
574.208,259.522
573.837,261.663
573.476,263.742
573.129,265.753
572.800,267.689
572.493,269.544
572.209,271.315
571.935,273.015
571.658,274.657
571.362,276.255
571.033,277.825
570.656,279.379
570.217,280.934
569.699,282.502
569.090,284.099
568.373,285.738
567.534,287.434
566.564,289.198
565.476,291.024
564.288,292.900
563.019,294.817
561.690,296.762
560.318,298.727
558.924,300.699
557.527,302.668
556.145,304.624
554.798,306.555
553.505,308.451
552.286,310.301
551.159,312.094
550.143,313.820
549.258,315.468
548.501,317.028
547.827,318.493
547.190,319.856
546.543,321.110
545.839,322.248
545.031,323.262
544.073,324.146
542.916,324.893
541.514,325.495
539.833,325.948
537.884,326.261
535.692,326.444
533.284,326.509
530.683,326.466
527.916,326.327
525.007,326.103
521.981,325.804
518.864,325.443
515.681,325.030
512.456,324.577
509.216,324.094
505.985,323.592
502.787,323.083
499.650,322.578
496.597,322.088
493.653,321.623
490.845,321.196
488.195,320.817
485.708,320.487
483.365,320.202
481.146,319.953
479.034,319.735
477.009,319.540
475.052,319.362
473.144,319.194
471.267,319.029
469.400,318.861
467.526,318.683
465.625,318.489
463.678,318.270
461.667,318.022
459.575,317.738
457.405,317.422
455.165,317.080
452.864,316.718
450.508,316.342
448.107,315.958
445.667,315.572
443.198,315.190
440.706,314.817
438.201,314.461
435.689,314.127
433.180,313.820
430.680,313.547
428.199,313.314
425.743,313.127
423.322,312.992
420.941,312.911
418.603,312.878
416.311,312.884
414.066,312.919
411.870,312.975
409.725,313.042
407.632,313.111
405.594,313.174
403.613,313.221
401.690,313.243
399.828,313.232
398.027,313.177
396.291,313.070
394.621,312.903
393.011,312.677
391.454,312.404
389.940,312.094
388.458,311.760
387.000,311.412
385.555,311.063
384.115,310.724
382.669,310.406
381.208,310.121
379.722,309.880
378.211,309.682
376.679,309.516
375.133,309.369
373.578,309.228
372.021,309.083
370.467,308.919
368.923,308.727
367.394,308.492
365.887,308.203
364.407,307.848
362.971,307.426
361.612,306.947
360.361,306.424
359.251,305.870
358.313,305.296
357.579,304.716
357.083,304.142
356.848,303.583
356.819,303.037
356.905,302.488
357.012,301.926
357.071,301.336
357.084,300.703
357.062,300.012
357.016,299.248
356.960,298.398
356.896,297.469
356.825,296.481
356.748,295.454
356.666,294.407
356.578,293.362
356.485,292.336
356.385,291.345
356.269,290.391
356.129,289.471
355.955,288.585
355.737,287.732
355.467,286.910
355.146,286.113
354.806,285.313
354.483,284.482
354.217,283.589
354.043,282.605
354.000,281.500
