X,Y
360.333,314.667
361.579,313.812
363.188,313.018
365.116,312.290
367.318,311.631
369.751,311.046
372.369,310.538
375.128,310.114
377.984,309.776
380.893,309.529
383.810,309.378
386.692,309.326
389.514,309.372
392.283,309.504
395.007,309.709
397.693,309.975
400.351,310.291
402.988,310.643
405.612,311.019
408.232,311.407
410.855,311.796
413.491,312.171
416.146,312.522
418.829,312.836
421.541,313.112
424.274,313.356
427.025,313.574
429.786,313.774
432.551,313.961
435.314,314.144
438.070,314.328
440.813,314.521
443.535,314.728
446.232,314.958
448.897,315.215
451.525,315.509
454.117,315.841
456.682,316.217
459.226,316.639
461.758,317.110
464.286,317.634
466.817,318.213
469.360,318.850
471.921,319.549
474.510,320.312
477.133,321.144
479.799,322.046
482.509,323.021
485.249,324.069
487.997,325.186
490.733,326.373
493.438,327.626
496.091,328.945
498.671,330.328
501.159,331.773
503.534,333.278
505.777,334.843
507.866,336.464
509.782,338.140
511.508,339.870
513.053,341.648
514.446,343.465
515.715,345.313
516.888,347.185
517.992,349.071
519.057,350.964
520.110,352.855
521.179,354.737
522.293,356.601
523.468,358.442
524.677,360.267
525.879,362.089
527.032,363.918
528.096,365.765
529.030,367.643
529.793,369.561
530.343,371.533
530.641,373.568
530.651,375.677
530.405,377.850
529.958,380.074
529.368,382.332
528.692,384.609
527.986,386.889
527.309,389.158
526.716,391.398
526.266,393.596
526.015,395.735
526.004,397.800
526.177,399.778
526.444,401.659
526.714,403.428
526.897,405.076
526.903,406.589
526.639,407.956
526.019,409.166
525.042,410.241
523.807,411.246
522.426,412.246
521.005,413.308
519.653,414.497
518.478,415.880
517.589,417.522
517.051,419.457
516.806,421.623
516.771,423.939
516.865,426.327
517.005,428.705
517.111,430.994
517.100,433.115
516.891,434.988
516.402,436.532
515.567,437.689
514.416,438.508
513.007,439.076
511.398,439.480
509.648,439.808
507.816,440.146
505.962,440.582
504.139,441.192
502.373,441.991
500.676,442.968
499.061,444.112
497.543,445.411
496.133,446.854
494.845,448.431
493.692,450.130
492.687,451.939
491.820,453.836
491.049,455.776
490.328,457.716
489.610,459.611
488.849,461.415
488.000,463.085
487.015,464.576
485.848,465.842
484.464,466.849
482.882,467.614
481.146,468.176
479.297,468.575
477.379,468.849
475.434,469.037
473.504,469.177
471.632,469.310
469.857,469.473
468.191,469.703
466.636,470.037
465.193,470.511
463.863,471.161
462.649,472.024
461.551,473.136
460.562,474.507
459.644,476.068
458.757,477.739
457.858,479.437
456.907,481.082
455.860,482.591
454.677,483.884
453.316,484.878
451.760,485.536
450.045,485.906
448.207,486.046
446.289,486.013
444.327,485.865
442.363,485.660
440.435,485.455
438.582,485.308
436.830,485.261
435.170,485.326
433.591,485.511
432.083,485.824
430.635,486.271
429.236,486.862
427.874,487.602
426.539,488.477
425.219,489.433
423.905,490.415
422.583,491.369
421.244,492.239
419.877,492.971
418.470,493.508
417.021,493.827
415.541,493.943
414.042,493.874
412.534,493.639
411.028,493.257
409.536,492.746
408.070,492.124
406.639,491.404
405.252,490.595
403.920,489.709
402.653,488.755
401.460,487.743
400.350,486.684
399.331,485.585
398.388,484.436
397.506,483.224
396.668,481.937
395.856,480.562
395.055,479.085
394.248,477.494
393.421,475.781
392.573,473.962
391.705,472.051
390.817,470.066
389.911,468.024
388.987,465.941
388.045,463.833
387.087,461.718
386.113,459.612
385.123,457.532
384.118,455.483
383.095,453.463
382.054,451.468
380.993,449.496
379.910,447.544
378.805,445.608
377.675,443.685
376.520,441.773
375.337,439.867
374.127,437.967
372.896,436.069
371.655,434.174
370.417,432.283
369.191,430.394
367.990,428.507
366.825,426.623
365.707,424.741
364.648,422.861
363.658,420.983
362.746,419.106
361.910,417.225
361.142,415.337
360.437,413.435
359.789,411.515
359.191,409.573
358.639,407.603
358.124,405.600
357.643,403.560
357.188,401.481
356.760,399.370
356.356,397.238
355.977,395.096
355.621,392.953
355.287,390.820
354.974,388.707
354.682,386.624
354.409,384.582
354.155,382.590
353.921,380.645
353.708,378.738
353.518,376.858
353.354,374.997
353.217,373.145
353.108,371.292
353.031,369.428
352.985,367.545
352.969,365.641
352.975,363.727
352.994,361.812
353.017,359.908
353.036,358.025
353.044,356.173
353.030,354.363
352.987,352.606
352.914,350.909
352.826,349.273
352.737,347.698
352.666,346.183
352.627,344.730
352.638,343.337
352.713,342.006
352.853,340.728
353.037,339.493
353.249,338.288
353.470,337.099
353.681,335.915
353.872,334.724
354.058,333.515
354.263,332.280
354.507,331.009
354.813,329.694
355.200,328.324
355.665,326.908
356.175,325.468
356.698,324.028
357.200,322.611
357.650,321.241
358.015,319.942
358.287,318.730
358.551,317.604
358.911,316.557
359.470,315.580
360.333,314.667
