X	Y
83.697	50.860
83.761	50.532
83.856	50.202
83.979	49.870
84.130	49.536
84.307	49.200
84.507	48.862
84.730	48.521
84.973	48.177
85.234	47.830
85.512	47.479
85.805	47.125
86.112	46.766
86.430	46.403
86.758	46.036
87.093	45.664
87.435	45.287
87.781	44.905
88.130	44.517
88.480	44.124
88.829	43.724
89.177	43.318
89.524	42.907
89.870	42.490
90.217	42.069
90.564	41.642
90.911	41.211
91.261	40.776
91.611	40.336
91.965	39.894
92.320	39.447
92.679	38.998
93.042	38.547
93.409	38.092
93.780	37.636
94.156	37.178
94.537	36.718
94.925	36.258
95.319	35.796
95.719	35.334
96.127	34.871
96.542	34.409
96.966	33.946
97.398	33.485
97.839	33.024
98.290	32.565
98.750	32.107
99.221	31.650
99.701	31.195
100.190	30.742
100.687	30.291
101.192	29.841
101.704	29.393
102.224	28.946
102.749	28.501
103.281	28.058
103.818	27.616
104.360	27.176
104.907	26.737
105.457	26.300
106.011	25.865
106.568	25.431
107.127	24.998
107.688	24.568
108.250	24.138
108.814	23.711
109.378	23.284
109.941	22.860
110.504	22.437
111.066	22.015
111.627	21.595
112.185	21.176
112.741	20.759
113.294	20.343
113.843	19.929
114.388	19.517
114.929	19.106
115.465	18.696
115.995	18.288
116.521	17.881
117.042	17.477
117.558	17.074
118.070	16.674
118.578	16.276
119.082	15.881
119.582	15.488
120.079	15.099
120.572	14.712
121.062	14.328
121.549	13.947
122.033	13.570
122.514	13.197
122.993	12.827
123.469	12.462
123.944	12.100
124.416	11.742
124.886	11.389
125.355	11.041
125.822	10.697
126.288	10.358
126.753	10.023
127.217	9.695
127.680	9.371
128.143	9.053
128.605	8.740
129.068	8.433
129.529	8.132
129.991	7.837
130.453	7.548
130.915	7.266
131.377	6.990
131.840	6.721
132.303	6.458
132.766	6.202
133.230	5.954
133.695	5.712
134.161	5.478
134.627	5.251
135.094	5.032
135.563	4.820
136.032	4.617
136.503	4.421
136.975	4.234
137.448	4.055
137.923	3.884
138.400	3.722
138.878	3.569
139.358	3.424
139.840	3.289
140.323	3.163
140.807	3.048
141.290	2.943
141.773	2.850
142.255	2.768
142.735	2.699
143.212	2.643
143.687	2.600
144.158	2.571
144.625	2.557
145.087	2.558
145.544	2.575
145.996	2.608
146.440	2.658
146.878	2.725
147.309	2.810
147.731	2.913
148.144	3.036
148.548	3.178
148.942	3.340
149.326	3.521
149.700	3.721
150.062	3.939
150.415	4.174
150.756	4.425
151.086	4.691
151.405	4.972
151.713	5.266
152.009	5.572
152.293	5.891
152.565	6.220
152.824	6.559
153.072	6.908
153.307	7.264
153.529	7.629
153.738	8.000
153.934	8.376
154.116	8.758
154.286	9.143
154.443	9.533
154.588	9.927
154.721	10.324
154.844	10.724
154.958	11.127
155.061	11.534
155.156	11.943
155.243	12.354
155.323	12.768
155.396	13.184
155.463	13.601
155.525	14.021
155.581	14.441
155.634	14.863
155.683	15.286
155.730	15.709
155.774	16.133
155.817	16.557
155.858	16.982
155.898	17.406
155.935	17.830
155.970	18.253
156.003	18.676
156.032	19.097
156.058	19.518
156.080	19.937
156.099	20.355
156.113	20.771
156.122	21.185
156.127	21.596
156.126	22.006
156.120	22.413
156.107	22.817
156.089	23.218
156.064	23.616
156.032	24.011
155.993	24.402
155.947	24.791
155.895	25.177
155.837	25.561
155.772	25.944
155.702	26.325
155.626	26.707
155.545	27.089
155.459	27.472
155.368	27.856
155.273	28.241
155.174	28.629
155.071	29.020
154.964	29.415
154.854	29.813
154.741	30.216
154.625	30.623
154.506	31.036
154.385	31.455
154.262	31.879
154.136	32.309
154.008	32.743
153.878	33.182
153.746	33.625
153.612	34.072
153.476	34.523
153.338	34.978
153.198	35.436
153.057	35.897
152.913	36.360
152.768	36.826
152.622	37.294
152.474	37.764
152.324	38.236
152.173	38.709
152.020	39.183
151.866	39.658
151.711	40.133
151.555	40.609
151.397	41.084
151.238	41.559
151.077	42.033
150.914	42.505
150.749	42.974
150.581	43.441
150.411	43.904
150.237	44.363
150.061	44.817
149.880	45.266
149.696	45.709
149.509	46.146
149.316	46.576
149.120	46.999
148.918	47.413
148.712	47.819
148.500	48.215
148.282	48.602
148.059	48.978
147.830	49.343
147.595	49.697
147.353	50.039
147.105	50.369
146.851	50.689
146.591	50.998
146.325	51.297
146.054	51.586
145.778	51.866
145.497	52.138
145.210	52.402
144.920	52.658
144.624	52.906
144.325	53.148
144.021	53.384
143.714	53.614
143.403	53.838
143.089	54.058
142.771	54.273
142.450	54.484
142.126	54.692
141.798	54.895
141.465	55.094
141.126	55.289
140.782	55.480
140.431	55.667
140.074	55.849
139.708	56.027
139.334	56.200
138.951	56.368
138.559	56.532
138.156	56.691
137.743	56.845
137.318	56.994
136.881	57.139
136.432	57.278
135.969	57.412
135.493	57.540
135.003	57.663
134.498	57.782
133.981	57.895
133.451	58.003
132.909	58.108
132.355	58.208
131.790	58.304
131.214	58.396
130.629	58.485
130.034	58.570
129.430	58.652
128.818	58.731
128.197	58.808
127.570	58.882
126.936	58.954
126.295	59.024
125.649	59.093
124.997	59.159
124.341	59.225
123.681	59.289
123.017	59.353
122.350	59.415
121.681	59.478
121.009	59.540
120.336	59.602
119.662	59.664
118.988	59.727
118.314	59.790
117.641	59.854
116.968	59.918
116.296	59.983
115.626	60.046
114.958	60.110
114.291	60.172
113.627	60.233
112.965	60.293
112.306	60.351
111.650	60.406
110.997	60.460
110.349	60.510
109.704	60.558
109.063	60.603
108.427	60.644
107.796	60.681
107.170	60.714
106.549	60.742
105.934	60.766
105.325	60.785
104.722	60.798
104.125	60.806
103.536	60.808
102.953	60.804
102.378	60.793
101.811	60.775
101.252	60.751
100.700	60.719
100.158	60.680
99.622	60.634
99.094	60.583
98.574	60.527
98.059	60.467
97.551	60.403
97.048	60.336
96.551	60.268
96.058	60.197
95.570	60.127
95.086	60.056
94.605	59.986
94.128	59.918
93.653	59.852
