X	Y
85.426	56.292
85.658	56.023
85.932	55.768
86.247	55.524
86.600	55.294
86.990	55.075
87.415	54.867
87.873	54.671
88.363	54.485
88.883	54.310
89.431	54.145
90.006	53.990
90.606	53.844
91.229	53.708
91.873	53.579
92.537	53.460
93.219	53.348
93.917	53.244
94.630	53.147
95.356	53.058
96.093	52.974
96.839	52.897
97.593	52.826
98.353	52.761
99.117	52.700
99.884	52.645
100.652	52.594
101.419	52.547
102.185	52.504
102.950	52.466
103.712	52.432
104.472	52.403
105.229	52.379
105.983	52.361
106.734	52.347
107.481	52.339
108.224	52.337
108.963	52.340
109.697	52.350
110.426	52.366
111.150	52.388
111.867	52.416
112.579	52.452
113.284	52.494
113.982	52.544
114.674	52.600
115.357	52.664
116.033	52.736
116.701	52.816
117.361	52.903
118.011	52.999
118.652	53.103
119.284	53.216
119.906	53.337
120.517	53.467
121.118	53.606
121.709	53.754
122.287	53.912
122.855	54.079
123.412	54.255
123.959	54.439
124.495	54.631
125.022	54.830
125.540	55.036
126.048	55.249
126.549	55.467
127.041	55.691
127.525	55.920
128.002	56.153
128.473	56.391
128.936	56.632
129.393	56.877
129.845	57.124
130.291	57.373
130.733	57.624
131.169	57.876
131.601	58.129
132.030	58.382
132.455	58.635
132.877	58.888
133.296	59.140
133.712	59.390
134.125	59.641
134.533	59.892
134.937	60.145
135.335	60.400
135.727	60.657
136.112	60.919
136.489	61.185
136.858	61.456
137.219	61.734
137.570	62.018
137.910	62.310
138.240	62.610
138.558	62.919
138.864	63.239
139.157	63.568
139.437	63.910
139.702	64.263
139.953	64.630
140.188	65.010
140.408	65.403
140.613	65.808
140.803	66.224
140.979	66.651
141.142	67.086
141.292	67.529
141.428	67.978
141.552	68.434
141.664	68.895
141.765	69.359
141.854	69.827
141.932	70.296
142.000	70.766
142.058	71.236
142.106	71.705
142.145	72.171
142.175	72.634
142.197	73.093
142.211	73.547
142.217	73.994
142.215	74.435
142.206	74.870
142.189	75.297
142.165	75.718
142.132	76.132
142.092	76.539
142.043	76.939
141.987	77.332
141.922	77.717
141.850	78.094
141.769	78.464
141.680	78.827
141.583	79.181
141.477	79.527
141.364	79.866
141.241	80.196
141.111	80.518
140.973	80.832
140.828	81.141
140.678	81.444
140.523	81.743
140.366	82.039
140.206	82.333
140.045	82.626
139.883	82.920
139.723	83.215
139.565	83.512
139.410	83.813
139.259	84.119
139.114	84.430
138.975	84.749
138.842	85.075
138.716	85.408
138.595	85.747
138.478	86.093
138.364	86.444
138.253	86.801
138.143	87.161
138.034	87.526
137.924	87.894
137.812	88.265
137.698	88.638
137.581	89.013
137.460	89.389
137.334	89.766
137.201	90.143
137.061	90.520
136.914	90.896
136.758	91.270
136.593	91.643
136.418	92.013
136.233	92.380
136.038	92.744
135.833	93.104
135.616	93.460
135.387	93.812
135.146	94.157
134.892	94.497
134.625	94.831
134.345	95.158
134.050	95.478
133.741	95.790
133.417	96.094
133.078	96.390
132.723	96.676
132.351	96.952
131.964	97.219
131.562	97.477
131.147	97.725
130.720	97.965
130.282	98.196
129.835	98.420
129.379	98.635
128.917	98.844
128.448	99.045
127.975	99.239
127.498	99.427
127.020	99.609
126.540	99.785
126.061	99.955
125.584	100.121
125.109	100.281
124.639	100.437
124.174	100.589
123.715	100.736
123.265	100.881
122.823	101.022
122.391	101.159
121.967	101.294
121.550	101.424
121.140	101.551
120.734	101.673
120.332	101.790
119.932	101.902
119.534	102.008
119.136	102.109
118.736	102.204
118.334	102.293
117.929	102.374
117.519	102.449
117.104	102.516
116.681	102.576
116.250	102.627
115.810	102.670
115.359	102.704
114.896	102.730
114.422	102.746
113.939	102.752
113.447	102.747
112.947	102.731
112.440	102.705
111.928	102.666
111.412	102.615
110.892	102.551
110.370	102.473
109.847	102.382
109.324	102.277
108.802	102.157
108.283	102.021
107.766	101.870
107.254	101.703
106.747	101.519
106.247	101.317
105.755	101.099
105.272	100.862
104.798	100.606
104.335	100.331
103.885	100.037
103.446	99.724
103.020	99.391
102.605	99.041
102.202	98.672
101.810	98.287
101.429	97.885
101.058	97.466
100.698	97.033
100.348	96.584
100.008	96.120
99.678	95.643
99.357	95.152
99.045	94.649
98.742	94.133
98.448	93.605
98.162	93.066
97.884	92.516
97.614	91.956
97.351	91.387
97.096	90.808
96.847	90.221
96.606	89.626
96.370	89.023
96.142	88.413
95.919	87.797
95.701	87.176
95.489	86.549
95.281	85.918
95.076	85.284
94.875	84.648
94.677	84.009
94.481	83.370
94.286	82.731
94.093	82.092
93.899	81.454
93.706	80.819
93.512	80.187
93.316	79.559
93.119	78.935
92.919	78.317
92.716	77.705
92.510	77.100
92.299	76.502
92.083	75.913
91.863	75.334
91.636	74.765
91.403	74.207
91.163	73.660
90.916	73.126
90.660	72.606
90.395	72.099
90.121	71.608
89.838	71.132
89.547	70.671
89.249	70.225
88.948	69.792
88.644	69.373
88.340	68.967
88.037	68.572
87.738	68.190
87.444	67.818
87.158	67.456
86.881	67.104
86.615	66.761
86.362	66.426
86.124	66.100
85.903	65.780
85.701	65.467
85.520	65.160
85.361	64.859
85.227	64.562
85.119	64.269
85.037	63.980
84.977	63.693
84.936	63.408
84.912	63.124
84.901	62.839
84.899	62.553
84.905	62.265
84.915	61.975
84.926	61.680
84.935	61.381
84.938	61.076
84.933	60.765
84.917	60.446
84.893	60.121
84.865	59.792
84.837	59.460
84.813	59.126
84.797	58.792
84.792	58.459
84.804	58.129
84.835	57.803
84.889	57.483
84.972	57.171
85.086	56.867
85.236	56.574
85.426	56.292
