X	Y
349.000	204.000
349.131	202.995
349.305	201.922
349.524	200.781
349.789	199.576
350.104	198.308
350.470	196.978
350.890	195.589
351.365	194.142
351.899	192.639
352.492	191.083
353.147	189.474
353.867	187.816
354.653	186.109
355.508	184.356
356.434	182.558
357.432	180.717
358.506	178.836
359.657	176.915
360.884	174.957
362.185	172.963
363.557	170.933
364.996	168.870
366.500	166.775
368.065	164.647
369.689	162.490
371.369	160.304
373.102	158.091
374.885	155.851
376.714	153.585
378.587	151.296
380.501	148.984
382.453	146.651
384.439	144.298
386.458	141.925
388.506	139.535
390.579	137.129
392.676	134.707
394.792	132.271
396.926	129.822
399.073	127.362
401.232	124.891
403.398	122.411
405.570	119.924
407.744	117.430
409.917	114.930
412.087	112.427
414.249	109.920
416.402	107.412
418.542	104.903
420.666	102.396
422.773	99.890
424.860	97.388
426.931	94.892
428.986	92.404
431.026	89.926
433.053	87.460
435.068	85.008
437.071	82.572
439.064	80.154
441.049	77.756
443.025	75.380
444.995	73.028
446.960	70.702
448.921	68.404
450.878	66.136
452.834	63.900
454.789	61.698
456.744	59.532
458.702	57.405
460.661	55.317
462.625	53.271
464.594	51.269
466.570	49.314
468.553	47.406
470.544	45.549
472.545	43.744
474.557	41.993
476.582	40.298
478.619	38.661
480.671	37.084
482.739	35.570
484.824	34.119
486.926	32.734
489.045	31.415
491.181	30.158
493.332	28.963
495.498	27.827
497.677	26.750
499.868	25.730
502.072	24.765
504.286	23.853
506.510	22.992
508.743	22.182
510.984	21.420
513.233	20.705
515.487	20.036
517.747	19.409
520.011	18.825
522.279	18.281
524.549	17.775
526.821	17.307
529.093	16.873
531.365	16.474
533.636	16.106
535.905	15.769
538.172	15.461
540.434	15.180
542.691	14.924
544.942	14.693
547.186	14.487
549.419	14.306
551.640	14.150
553.846	14.020
556.037	13.916
558.209	13.838
560.362	13.787
562.491	13.763
564.597	13.767
566.676	13.798
568.727	13.857
570.747	13.944
572.736	14.059
574.689	14.204
576.606	14.378
578.485	14.581
580.323	14.814
582.119	15.078
583.870	15.372
585.574	15.696
587.230	16.052
588.833	16.439
590.373	16.857
591.839	17.304
593.221	17.782
594.507	18.289
595.686	18.824
596.747	19.387
597.680	19.978
598.473	20.595
599.116	21.239
599.598	21.909
599.907	22.604
600.033	23.324
599.979	24.069
599.761	24.842
599.398	25.645
598.907	26.481
598.308	27.352
597.616	28.259
596.852	29.206
596.032	30.195
595.175	31.228
594.298	32.307
593.420	33.435
592.559	34.615
591.722	35.845
590.912	37.126
590.129	38.455
589.373	39.832
588.645	41.254
587.945	42.720
587.274	44.228
586.633	45.778
586.022	47.368
585.441	48.996
584.892	50.661
584.374	52.361
583.889	54.094
583.436	55.860
583.017	57.658
582.632	59.484
582.281	61.338
581.965	63.219
581.685	65.124
581.439	67.049
581.227	68.988
581.048	70.938
580.902	72.892
580.787	74.845
580.704	76.794
580.650	78.733
580.625	80.656
580.630	82.560
580.662	84.439
580.721	86.288
580.806	88.102
580.917	89.877
581.052	91.606
581.212	93.287
581.395	94.912
581.600	96.478
581.827	97.980
582.075	99.412
582.341	100.775
582.621	102.078
582.908	103.332
583.198	104.547
583.484	105.733
583.761	106.900
584.024	108.059
584.267	109.219
584.485	110.392
584.671	111.586
584.821	112.814
584.929	114.083
584.990	115.406
584.998	116.792
584.952	118.242
584.858	119.752
584.719	121.315
584.539	122.927
584.322	124.582
584.073	126.275
583.796	128.000
583.495	129.753
583.174	131.528
582.837	133.319
582.488	135.121
582.132	136.928
581.773	138.736
581.414	140.539
581.061	142.332
580.716	144.109
580.385	145.865
580.071	147.595
579.779	149.293
579.508	150.962
579.256	152.603
579.024	154.221
578.809	155.819
578.611	157.401
578.426	158.970
578.255	160.530
578.096	162.083
577.948	163.635
577.808	165.188
577.677	166.745
577.552	168.311
577.432	169.888
577.315	171.481
577.201	173.092
577.087	174.726
576.974	176.386
576.858	178.072
576.739	179.780
576.614	181.506
576.483	183.244
576.342	184.989
576.192	186.737
576.030	188.482
575.854	190.219
575.663	191.944
575.454	193.651
575.227	195.336
574.980	196.992
574.711	198.617
574.418	200.203
574.100	201.748
573.755	203.244
