X	Y
348.000	235.000
348.836	234.210
349.917	233.526
351.228	232.945
352.759	232.461
354.497	232.068
356.428	231.763
358.541	231.539
360.824	231.393
363.263	231.318
365.847	231.310
368.563	231.364
371.398	231.475
374.340	231.638
377.377	231.848
380.497	232.100
383.686	232.388
386.933	232.709
390.224	233.056
393.548	233.425
396.892	233.811
400.244	234.209
403.591	234.613
406.921	235.020
410.221	235.423
413.479	235.818
416.682	236.200
419.827	236.567
422.913	236.920
425.943	237.261
428.918	237.590
431.839	237.910
434.708	238.221
437.526	238.524
440.296	238.820
443.018	239.112
445.694	239.399
448.325	239.684
450.914	239.967
453.460	240.249
455.967	240.533
458.436	240.819
460.867	241.108
463.263	241.401
465.625	241.701
467.954	242.007
470.253	242.321
472.522	242.645
474.763	242.980
476.978	243.326
479.167	243.685
481.334	244.059
483.478	244.448
485.599	244.855
487.699	245.281
489.775	245.729
491.828	246.201
493.858	246.698
495.865	247.223
497.848	247.778
499.807	248.364
501.742	248.983
503.653	249.639
505.540	250.332
507.402	251.064
509.239	251.838
511.051	252.656
512.838	253.520
514.599	254.431
516.334	255.391
518.044	256.404
519.728	257.469
521.384	258.589
523.011	259.762
524.607	260.986
526.170	262.259
527.696	263.581
529.185	264.949
530.634	266.363
532.041	267.821
533.404	269.321
534.721	270.862
535.989	272.443
537.207	274.061
538.372	275.716
539.483	277.407
540.536	279.130
541.531	280.886
542.464	282.673
543.335	284.489
544.139	286.332
544.877	288.202
545.545	290.095
546.143	292.009
546.668	293.942
547.120	295.891
547.497	297.854
547.796	299.828
548.017	301.810
548.158	303.798
548.217	305.791
548.192	307.784
548.083	309.776
547.887	311.764
547.603	313.746
547.230	315.718
546.765	317.680
546.207	319.628
545.554	321.559
544.806	323.471
543.963	325.363
543.033	327.234
542.024	329.084
540.945	330.914
539.803	332.722
538.608	334.509
537.366	336.274
536.087	338.019
534.779	339.742
533.450	341.443
532.108	343.123
530.762	344.781
529.419	346.417
528.088	348.032
526.778	349.624
525.496	351.195
524.250	352.743
523.050	354.269
521.903	355.773
520.817	357.254
519.795	358.713
518.826	360.146
517.896	361.553
516.991	362.930
516.098	364.275
515.204	365.587
514.295	366.864
513.357	368.102
512.378	369.301
511.344	370.457
510.241	371.569
509.056	372.634
507.775	373.651
506.384	374.617
504.872	375.530
503.223	376.388
501.437	377.192
499.523	377.943
497.492	378.646
495.355	379.303
493.121	379.916
490.803	380.491
488.409	381.028
485.953	381.531
483.442	382.003
480.889	382.448
478.305	382.868
475.699	383.266
473.082	383.645
470.466	384.008
467.860	384.358
465.275	384.698
462.722	385.032
460.212	385.361
457.756	385.690
455.363	386.021
453.045	386.357
450.812	386.701
448.675	387.056
446.639	387.422
444.701	387.790
442.853	388.149
441.087	388.489
439.397	388.801
437.776	389.073
436.216	389.295
434.712	389.458
433.255	389.551
431.839	389.563
430.457	389.485
429.101	389.305
427.766	389.015
426.443	388.603
425.126	388.059
423.809	387.376
422.489	386.556
421.168	385.608
419.843	384.539
418.516	383.356
417.185	382.067
415.851	380.679
414.513	379.201
413.171	377.639
411.825	376.000
410.474	374.294
409.119	372.526
407.758	370.705
406.392	368.839
405.020	366.933
403.643	364.997
402.259	363.038
400.868	361.062
399.471	359.079
398.067	357.094
396.656	355.116
395.239	353.144
393.819	351.179
392.397	349.221
390.975	347.270
389.555	345.326
388.139	343.388
386.728	341.457
385.326	339.533
383.932	337.614
382.551	335.702
381.182	333.797
379.829	331.897
378.492	330.004
377.175	328.117
375.878	326.236
374.605	324.360
373.355	322.491
372.132	320.627
370.938	318.768
369.773	316.916
368.641	315.069
367.543	313.227
366.479	311.391
365.450	309.561
364.454	307.737
363.492	305.921
362.562	304.112
361.664	302.312
360.797	300.520
359.961	298.737
359.155	296.964
358.379	295.201
357.632	293.448
356.914	291.707
356.224	289.977
355.561	288.260
354.925	286.555
354.315	284.863
353.730	283.185
353.171	281.521
352.637	279.872
352.127	278.239
351.642	276.623
351.183	275.026
350.751	273.449
350.346	271.893
349.969	270.362
349.619	268.854
349.299	267.373
349.007	265.920
348.746	264.496
348.515	263.103
348.315	261.742
348.147	260.414
348.011	259.122
347.908	257.866
347.834	256.652
347.789	255.483
347.768	254.364
347.769	253.299
347.789	252.294
347.825	251.353
347.875	250.479
347.936	249.679
348.005	248.956
348.076	248.308
348.139	247.707
348.178	247.121
348.182	246.517
348.135	245.863
348.024	245.127
347.841	244.282
347.607	243.337
347.357	242.315
347.123	241.241
346.941	240.136
346.845	239.027
346.869	237.934
347.047	236.884
347.412	235.898
348.000	235.000
