X	Y
522.000	249.000
522.533	248.068
523.173	247.134
523.917	246.199
524.762	245.262
525.703	244.324
526.738	243.385
527.862	242.444
529.074	241.502
530.368	240.558
531.743	239.614
533.193	238.668
534.717	237.722
536.310	236.774
537.970	235.825
539.692	234.876
541.474	233.925
543.311	232.974
545.201	232.022
547.140	231.069
549.124	230.116
551.151	229.162
553.217	228.207
555.318	227.252
557.451	226.296
559.613	225.340
561.800	224.384
564.008	223.427
566.235	222.470
568.479	221.513
570.738	220.555
573.014	219.597
575.304	218.638
577.609	217.678
579.929	216.718
582.262	215.756
584.608	214.794
586.967	213.830
589.338	212.865
591.722	211.899
594.116	210.931
596.522	209.962
598.938	208.991
601.364	208.018
603.799	207.043
606.244	206.066
608.697	205.087
611.158	204.106
613.626	203.123
616.102	202.137
618.585	201.148
621.074	200.157
623.568	199.163
626.068	198.167
628.573	197.167
631.081	196.164
633.594	195.158
636.110	194.149
638.630	193.136
641.151	192.120
643.675	191.101
646.200	190.077
648.726	189.050
651.252	188.019
653.779	186.983
656.305	185.944
658.831	184.900
661.355	183.852
663.878	182.800
666.398	181.744
668.917	180.686
671.433	179.626
673.947	178.565
676.459	177.504
678.967	176.443
681.473	175.385
683.976	174.329
686.476	173.276
688.972	172.227
691.465	171.184
693.954	170.146
696.439	169.115
698.920	168.092
701.398	167.077
703.870	166.072
706.339	165.077
708.802	164.092
711.261	163.120
713.715	162.160
716.164	161.214
718.607	160.283
721.045	159.366
723.477	158.466
725.904	157.583
728.325	156.718
730.739	155.871
733.148	155.044
735.549	154.237
737.945	153.452
740.333	152.689
742.715	151.948
745.089	151.232
747.457	150.540
749.817	149.874
752.169	149.234
754.514	148.621
756.851	148.036
759.179	147.481
761.499	146.954
763.810	146.455
766.112	145.984
768.403	145.542
770.683	145.127
772.952	144.739
775.209	144.378
777.453	144.044
779.685	143.736
781.903	143.454
784.107	143.198
786.296	142.967
788.470	142.762
790.628	142.582
792.770	142.426
794.894	142.294
797.002	142.187
799.091	142.103
801.162	142.043
803.213	142.006
805.245	141.991
807.257	142.000
809.247	142.030
811.217	142.083
813.164	142.157
815.089	142.253
816.991	142.369
818.870	142.507
820.724	142.665
822.554	142.843
824.358	143.041
826.136	143.259
827.888	143.498
829.613	143.759
