X	Y
528.000	273.000
528.726	272.216
529.589	271.492
530.583	270.826
531.704	270.216
532.949	269.661
534.312	269.159
535.788	268.708
537.374	268.308
539.065	267.956
540.857	267.651
542.744	267.391
544.723	267.175
546.789	267.001
548.938	266.868
551.164	266.773
553.464	266.716
555.834	266.695
558.267	266.708
560.761	266.753
563.311	266.830
565.911	266.936
568.559	267.070
571.248	267.231
573.976	267.416
576.736	267.624
579.526	267.854
582.339	268.105
585.173	268.373
588.021	268.659
590.881	268.959
593.747	269.274
596.614	269.600
599.479	269.938
602.338	270.284
605.188	270.639
608.030	271.001
610.864	271.371
613.688	271.748
616.504	272.131
619.310	272.521
622.106	272.916
624.893	273.316
627.669	273.720
630.435	274.129
633.191	274.542
635.936	274.958
638.669	275.376
641.392	275.797
644.102	276.220
646.801	276.645
649.488	277.070
652.162	277.496
654.824	277.921
657.473	278.347
660.109	278.771
662.732	279.194
665.341	279.615
667.936	280.034
670.517	280.451
673.084	280.863
675.636	281.273
678.173	281.678
680.696	282.079
683.203	282.474
685.694	282.864
688.170	283.248
690.629	283.626
693.072	283.997
695.499	284.360
697.909	284.716
700.302	285.063
702.677	285.402
705.035	285.731
707.375	286.051
709.697	286.361
712.001	286.663
714.287	286.959
716.554	287.251
718.804	287.541
721.035	287.830
723.247	288.120
725.441	288.414
727.617	288.713
729.774	289.018
731.912	289.333
734.032	289.657
736.133	289.995
738.215	290.346
740.278	290.714
742.323	291.100
744.348	291.505
746.354	291.932
748.341	292.383
750.309	292.859
752.258	293.362
754.187	293.894
756.097	294.457
757.988	295.053
759.859	295.684
761.711	296.351
763.542	297.056
765.355	297.802
767.147	298.589
768.920	299.420
770.673	300.297
772.406	301.222
774.119	302.195
775.810	303.214
777.479	304.277
779.125	305.383
780.745	306.530
782.341	307.714
783.909	308.935
785.449	310.190
786.961	311.478
788.442	312.796
789.892	314.141
791.309	315.513
792.694	316.909
794.043	318.327
795.357	319.765
796.635	321.222
797.874	322.694
799.075	324.180
800.235	325.678
801.355	327.186
802.432	328.701
803.466	330.223
804.455	331.748
805.399	333.275
806.296	334.802
807.146	336.326
807.946	337.846
808.697	339.360
809.396	340.865
810.044	342.362
810.640	343.851
811.183	345.332
811.673	346.807
812.110	348.276
812.492	349.741
812.821	351.201
813.095	352.658
813.313	354.112
813.476	355.565
813.583	357.017
813.634	358.469
813.627	359.921
813.564	361.375
813.443	362.831
813.263	364.290
813.026	365.752
812.729	367.220
812.372	368.692
811.956	370.171
811.480	371.657
810.943	373.151
810.346	374.652
809.688	376.160
808.973	377.673
808.201	379.190
807.373	380.708
806.490	382.227
805.555	383.744
804.568	385.258
803.531	386.767
802.445	388.270
801.310	389.764
800.130	391.250
798.905	392.724
797.635	394.185
796.324	395.631
794.971	397.062
793.578	398.475
792.147	399.868
790.679	401.241
789.175	402.590
787.637	403.916
786.065	405.216
784.461	406.488
782.827	407.731
781.164	408.943
779.472	410.123
777.755	411.269
776.011	412.379
774.244	413.453
772.454	414.488
770.641	415.485
768.806	416.446
766.948	417.369
765.069	418.256
763.168	419.108
761.246	419.924
759.303	420.704
757.340	421.450
755.356	422.162
753.353	422.840
751.330	423.484
749.287	424.095
747.226	424.674
745.146	425.220
743.047	425.735
740.931	426.218
738.797	426.670
736.646	427.092
734.477	427.483
732.292	427.845
730.090	428.177
727.872	428.480
725.639	428.755
723.390	429.002
721.125	429.221
718.846	429.413
716.552	429.578
714.244	429.717
711.923	429.829
709.587	429.916
707.238	429.978
704.877	430.014
702.503	430.027
700.116	430.017
697.719	429.984
695.312	429.930
692.894	429.855
690.467	429.760
688.031	429.647
685.588	429.516
683.137	429.368
680.680	429.204
678.217	429.025
675.748	428.832
673.275	428.625
670.798	428.406
668.317	428.175
665.834	427.934
663.348	427.683
660.861	427.424
658.374	427.156
655.886	426.882
653.399	426.601
650.913	426.315
648.429	426.025
645.947	425.732
643.469	425.436
640.994	425.139
638.524	424.841
636.058	424.543
633.599	424.246
631.146	423.951
628.700	423.660
626.262	423.372
623.832	423.089
621.411	422.811
619.000	422.540
616.599	422.277
614.209	422.022
611.831	421.776
609.467	421.536
607.118	421.300
604.787	421.065
602.476	420.827
600.187	420.584
597.921	420.332
595.682	420.069
593.471	419.791
591.291	419.496
589.142	419.181
587.029	418.842
584.951	418.477
582.913	418.082
580.915	417.655
578.960	417.193
577.050	416.692
575.187	416.149
573.373	415.562
571.610	414.928
569.900	414.243
568.246	413.504
566.649	412.709
565.112	411.855
563.636	410.938
562.225	409.955
560.878	408.904
559.600	407.782
558.392	406.585
557.256	405.310
556.193	403.956
555.203	402.522
554.283	401.014
553.429	399.433
552.639	397.784
551.910	396.069
551.240	394.293
550.625	392.458
550.062	390.567
549.549	388.625
549.082	386.635
548.660	384.599
548.279	382.521
547.935	380.405
547.628	378.254
547.352	376.071
547.106	373.859
546.888	371.622
546.693	369.364
546.519	367.087
546.363	364.796
546.223	362.492
546.095	360.181
545.977	357.864
545.866	355.546
545.758	353.229
545.652	350.917
545.544	348.614
545.432	346.323
545.312	344.047
545.182	341.789
545.038	339.553
544.879	337.342
544.703	335.159
544.511	333.005
544.303	330.882
544.078	328.793
543.839	326.740
543.583	324.723
543.313	322.746
543.027	320.811
542.727	318.918
542.412	317.071
542.082	315.271
541.739	313.521
541.381	311.821
541.010	310.175
540.625	308.584
540.227	307.050
539.815	305.575
539.391	304.161
538.955	302.810
538.506	301.524
538.044	300.305
537.571	299.155
537.086	298.077
536.589	297.070
536.081	296.139
535.562	295.284
535.033	294.497
534.498	293.767
533.956	293.084
533.412	292.437
532.866	291.815
532.321	291.208
531.778	290.606
531.240	289.996
530.708	289.369
530.186	288.715
529.674	288.021
529.174	287.278
528.690	286.476
528.226	285.616
527.792	284.706
527.396	283.754
527.047	282.770
526.753	281.761
526.522	280.737
526.364	279.706
526.287	278.675
526.299	277.655
526.409	276.653
526.626	275.678
526.957	274.739
527.412	273.843
528.000	273.000
