X,Y
57.218,19.196
57.257,19.126
57.304,19.054
57.359,18.982
57.422,18.908
57.492,18.834
57.569,18.759
57.652,18.683
57.742,18.607
57.838,18.530
57.940,18.452
58.048,18.374
58.161,18.295
58.279,18.216
58.401,18.137
58.528,18.057
58.660,17.977
58.795,17.897
58.934,17.817
59.076,17.736
59.222,17.656
59.370,17.576
59.520,17.495
59.673,17.415
59.828,17.335
59.985,17.256
60.143,17.176
60.302,17.097
60.461,17.019
60.622,16.941
60.783,16.863
60.943,16.786
61.104,16.710
61.264,16.634
61.423,16.559
61.580,16.485
61.737,16.412
61.892,16.340
62.045,16.269
62.197,16.198
62.347,16.128
62.496,16.059
62.644,15.991
62.791,15.923
62.936,15.855
63.080,15.788
63.223,15.722
63.365,15.656
63.507,15.590
63.647,15.525
63.787,15.460
63.926,15.395
64.064,15.330
64.202,15.265
64.340,15.200
64.476,15.135
64.613,15.071
64.749,15.005
64.885,14.940
65.021,14.875
65.157,14.809
65.293,14.743
65.429,14.677
65.565,14.610
65.701,14.542
65.838,14.474
65.974,14.406
66.112,14.336
66.249,14.266
66.387,14.196
66.526,14.124
66.666,14.052
66.806,13.978
66.947,13.904
67.089,13.829
67.232,13.752
67.375,13.675
67.520,13.596
67.666,13.517
67.812,13.437
67.959,13.356
68.107,13.273
68.256,13.191
68.406,13.107
68.556,13.023
68.707,12.938
68.859,12.852
69.011,12.766
69.165,12.679
69.318,12.592
69.473,12.504
69.628,12.416
69.783,12.328
69.940,12.239
70.096,12.149
70.253,12.060
70.411,11.970
70.569,11.880
70.728,11.790
70.887,11.700
71.046,11.610
71.206,11.520
71.366,11.430
71.527,11.339
71.687,11.249
71.849,11.159
72.010,11.070
72.172,10.980
72.333,10.891
72.496,10.802
72.658,10.713
72.820,10.625
72.983,10.537
73.145,10.450
73.308,10.363
73.471,10.277
73.634,10.191
73.797,10.106
73.960,10.021
74.123,9.938
74.286,9.855
74.449,9.772
74.611,9.690
74.774,9.609
74.937,9.529
75.099,9.450
75.261,9.371
75.423,9.292
75.585,9.215
75.746,9.138
75.907,9.062
76.068,8.987
76.229,8.912
76.389,8.838
76.549,8.765
76.708,8.692
76.867,8.620
77.026,8.549
77.184,8.479
77.341,8.409
77.498,8.340
77.655,8.272
77.810,8.204
77.966,8.137
78.120,8.071
78.274,8.006
78.427,7.941
78.580,7.877
78.732,7.814
78.883,7.751
79.033,7.690
79.183,7.629
79.331,7.568
79.479,7.509
79.626,7.450
79.772,7.392
79.917,7.335
80.061,7.278
80.204,7.222
80.346,7.167
80.487,7.112
80.628,7.059
80.767,7.006
80.905,6.954
81.043,6.903
81.180,6.853
81.316,6.803
81.451,6.755
81.587,6.708
81.721,6.661
81.855,6.616
81.989,6.572
82.123,6.529
82.257,6.486
82.390,6.446
82.523,6.406
82.656,6.368
82.790,6.330
82.923,6.295
83.057,6.260
83.190,6.227
83.325,6.195
83.459,6.164
83.594,6.135
83.730,6.108
83.866,6.082
84.002,6.057
84.140,6.034
84.278,6.013
84.417,5.993
84.557,5.975
84.697,5.959
84.839,5.944
84.982,5.931
85.126,5.920
85.272,5.911
85.418,5.903
85.564,5.898
85.712,5.894
85.859,5.892
86.007,5.891
86.154,5.893
86.302,5.897
86.448,5.902
86.594,5.909
86.740,5.918
86.884,5.930
87.027,5.943
87.168,5.958
87.308,5.975
87.446,5.993
87.581,6.014
87.715,6.037
87.846,6.062
87.974,6.089
88.100,6.118
88.222,6.149
88.342,6.182
88.457,6.217
88.570,6.254
88.678,6.293
88.782,6.335
88.882,6.378
88.978,6.423
89.069,6.471
89.155,6.521
89.237,6.573
89.313,6.627
89.384,6.683
89.450,6.741
89.512,6.802
89.569,6.865
89.621,6.929
89.669,6.997
89.713,7.066
89.752,7.137
89.787,7.211
89.818,7.287
89.845,7.365
89.869,7.445
89.888,7.528
89.904,7.613
89.916,7.700
89.925,7.789
89.930,7.881
89.932,7.975
89.930,8.071
89.926,8.169
89.918,8.269
89.908,8.370
89.894,8.472
89.877,8.575
89.857,8.677
89.834,8.780
89.808,8.882
89.778,8.983
89.746,9.082
89.710,9.180
89.672,9.275
89.630,9.368
89.586,9.458
89.538,9.545
89.487,9.628
89.433,9.707
89.377,9.781
89.317,9.851
89.254,9.915
89.189,9.974
89.120,10.026
89.048,10.072
88.974,10.112
88.897,10.146
88.817,10.174
88.736,10.198
88.653,10.217
88.568,10.233
88.483,10.247
88.396,10.257
88.310,10.266
88.223,10.274
88.136,10.282
88.050,10.289
87.964,10.298
87.879,10.307
87.796,10.319
87.714,10.333
87.635,10.350
87.557,10.371
87.482,10.397
87.410,10.427
87.341,10.463
87.275,10.504
87.213,10.550
87.154,10.601
87.098,10.657
87.045,10.718
86.995,10.782
86.949,10.851
86.906,10.923
86.867,10.999
86.831,11.078
86.798,11.159
86.769,11.244
86.743,11.331
86.721,11.420
86.702,11.511
86.686,11.604
86.674,11.699
86.666,11.794
86.661,11.891
86.659,11.988
86.661,12.086
86.666,12.185
86.674,12.284
86.684,12.383
86.697,12.483
86.711,12.583
86.727,12.684
86.744,12.784
86.763,12.885
86.782,12.985
86.801,13.086
86.821,13.187
86.841,13.287
86.860,13.387
86.878,13.487
86.896,13.587
86.912,13.686
86.927,13.785
86.940,13.883
86.951,13.980
86.960,14.077
86.966,14.173
86.968,14.269
86.968,14.363
86.964,14.457
86.957,14.550
86.947,14.642
86.934,14.734
86.918,14.826
86.898,14.917
86.876,15.009
86.851,15.100
86.824,15.192
86.794,15.285
86.761,15.377
86.726,15.471
86.689,15.565
86.649,15.661
86.608,15.757
86.564,15.855
86.518,15.954
86.471,16.055
86.421,16.157
86.370,16.261
86.317,16.367
86.263,16.475
86.208,16.585
86.151,16.698
86.092,16.813
86.033,16.931
85.972,17.051
85.910,17.173
85.847,17.297
85.783,17.423
85.718,17.551
85.651,17.680
85.584,17.811
85.515,17.942
85.446,18.074
85.375,18.207
85.303,18.340
85.230,18.474
85.156,18.608
85.082,18.741
85.006,18.875
84.929,19.008
84.851,19.140
84.772,19.271
84.693,19.402
84.612,19.531
84.531,19.659
84.448,19.785
84.365,19.909
84.281,20.032
84.196,20.152
84.110,20.270
84.023,20.385
83.936,20.497
83.847,20.607
83.758,20.714
83.668,20.817
83.577,20.916
83.486,21.012
83.394,21.105
83.301,21.193
83.207,21.277
83.113,21.358
83.018,21.435
82.923,21.509
82.828,21.580
82.732,21.648
82.636,21.714
82.539,21.778
82.443,21.840
82.347,21.899
82.250,21.958
82.154,22.015
82.057,22.070
81.961,22.125
81.866,22.180
81.770,22.233
81.675,22.287
81.581,22.341
81.487,22.395
81.393,22.449
81.300,22.504
81.209,22.560
81.117,22.618
81.027,22.676
80.938,22.737
80.850,22.799
80.762,22.863
80.676,22.930
80.591,22.998
80.507,23.067
80.423,23.138
80.341,23.210
80.258,23.282
80.176,23.354
80.095,23.426
80.014,23.498
79.933,23.569
79.852,23.639
79.771,23.708
79.689,23.774
79.608,23.839
79.526,23.902
79.444,23.961
79.361,24.018
79.277,24.072
79.193,24.121
79.107,24.167
79.021,24.209
78.934,24.246
78.845,24.278
78.755,24.305
78.664,24.326
78.571,24.342
78.476,24.353
78.381,24.358
78.284,24.359
78.186,24.355
78.086,24.348
77.986,24.336
77.884,24.321
77.782,24.303
77.678,24.282
77.574,24.259
77.468,24.233
77.362,24.206
77.255,24.177
77.148,24.146
77.039,24.115
76.931,24.083
76.821,24.050
76.711,24.018
76.601,23.986
76.490,23.954
76.379,23.923
76.268,23.894
76.157,23.866
76.045,23.839
75.933,23.815
75.821,23.793
75.709,23.773
75.597,23.756
75.485,23.740
75.372,23.727
75.259,23.715
75.145,23.705
75.031,23.697
74.917,23.691
74.802,23.687
74.686,23.684
74.570,23.682
74.453,23.682
74.335,23.684
74.217,23.686
74.097,23.690
73.977,23.696
73.856,23.702
73.733,23.709
73.610,23.718
73.485,23.727
73.360,23.737
73.233,23.748
73.105,23.760
72.975,23.773
72.844,23.786
72.712,23.799
72.578,23.813
72.442,23.828
72.305,23.842
72.167,23.858
72.027,23.873
71.886,23.888
71.743,23.904
71.600,23.920
71.455,23.936
71.309,23.953
71.162,23.969
71.014,23.985
70.865,24.002
70.716,24.018
70.565,24.035
70.415,24.051
70.263,24.067
70.111,24.083
69.959,24.099
69.806,24.114
69.653,24.129
69.500,24.144
69.346,24.159
69.193,24.173
69.039,24.187
68.886,24.201
68.733,24.214
68.579,24.226
68.427,24.238
68.274,24.250
68.122,24.261
67.971,24.271
67.820,24.280
67.669,24.289
67.520,24.298
67.371,24.305
67.223,24.312
67.076,24.318
66.930,24.323
66.785,24.327
66.641,24.330
66.498,24.332
66.356,24.334
66.214,24.334
66.074,24.333
65.935,24.332
65.797,24.330
65.659,24.326
65.523,24.322
65.387,24.316
65.252,24.310
65.118,24.302
64.985,24.293
64.853,24.284
64.722,24.273
64.591,24.261
64.461,24.248
64.332,24.233
64.204,24.218
64.077,24.201
63.950,24.183
63.824,24.164
63.699,24.144
63.575,24.122
63.451,24.100
63.328,24.076
63.205,24.050
63.084,24.024
62.963,23.996
62.842,23.966
62.722,23.936
62.603,23.904
62.485,23.870
62.367,23.836
62.249,23.801
62.132,23.764
62.016,23.727
61.900,23.689
61.785,23.650
61.670,23.611
61.555,23.571
61.441,23.531
61.327,23.490
61.213,23.449
61.100,23.408
60.987,23.367
60.874,23.326
60.762,23.285
60.649,23.244
60.537,23.203
60.426,23.163
60.314,23.123
60.202,23.084
60.091,23.045
59.979,23.008
59.868,22.971
59.756,22.934
59.645,22.899
59.533,22.865
59.422,22.832
59.310,22.801
59.199,22.770
59.089,22.740
58.979,22.711
58.871,22.682
58.765,22.653
58.661,22.624
58.559,22.595
58.460,22.565
58.364,22.535
58.272,22.504
58.184,22.471
58.099,22.437
58.020,22.402
57.945,22.365
57.875,22.326
57.812,22.284
57.754,22.240
57.702,22.194
57.657,22.144
57.619,22.092
57.589,22.036
57.566,21.977
57.550,21.915
57.540,21.850
57.536,21.782
57.536,21.713
57.541,21.641
57.549,21.569
57.559,21.496
57.572,21.422
57.585,21.348
57.599,21.274
57.613,21.201
57.625,21.129
57.636,21.058
57.644,20.989
57.649,20.923
57.650,20.858
57.646,20.797
57.638,20.737
57.626,20.680
57.611,20.625
57.592,20.572
57.570,20.520
57.546,20.469
57.520,20.419
57.492,20.369
57.463,20.320
57.432,20.270
57.401,20.220
57.370,20.169
57.339,20.117
57.308,20.064
57.278,20.010
57.249,19.955
57.223,19.898
57.199,19.840
57.178,19.781
57.161,19.720
57.148,19.659
57.140,19.596
57.137,19.532
57.139,19.467
57.148,19.401
57.164,19.334
57.187,19.265
57.218,19.196
