X,Y
57.341,20.739
57.397,20.676
57.461,20.613
57.534,20.550
57.616,20.487
57.706,20.425
57.803,20.363
57.908,20.301
58.020,20.240
58.139,20.179
58.265,20.119
58.397,20.060
58.535,20.001
58.678,19.944
58.827,19.887
58.981,19.831
59.140,19.777
59.303,19.723
59.470,19.671
59.641,19.620
59.816,19.571
59.994,19.523
60.174,19.476
60.358,19.431
60.543,19.388
60.731,19.346
60.920,19.307
61.111,19.269
61.303,19.233
61.495,19.199
61.688,19.168
61.881,19.138
62.074,19.111
62.267,19.086
62.460,19.064
62.652,19.043
62.843,19.025
63.035,19.008
63.225,18.994
63.415,18.982
63.605,18.972
63.793,18.964
63.981,18.957
64.168,18.953
64.355,18.951
64.540,18.950
64.724,18.951
64.907,18.954
65.089,18.959
65.270,18.965
65.450,18.973
65.628,18.983
65.805,18.994
65.980,19.007
66.154,19.021
66.327,19.037
66.498,19.054
66.667,19.073
66.834,19.093
67.000,19.114
67.164,19.137
67.326,19.161
67.486,19.186
67.644,19.213
67.800,19.240
67.954,19.269
68.105,19.299
68.255,19.330
68.402,19.362
68.547,19.395
68.690,19.430
68.831,19.465
68.970,19.502
69.107,19.541
69.243,19.581
69.378,19.622
69.511,19.665
69.643,19.710
69.773,19.757
69.903,19.806
70.032,19.856
70.160,19.909
70.287,19.963
70.414,20.020
70.540,20.079
70.666,20.141
70.792,20.204
70.918,20.271
71.043,20.339
71.169,20.411
71.295,20.485
71.421,20.561
71.548,20.641
71.675,20.723
71.803,20.809
71.931,20.897
72.061,20.989
72.191,21.083
72.322,21.181
72.454,21.280
72.586,21.382
72.718,21.487
72.851,21.593
72.984,21.701
73.117,21.810
73.250,21.920
73.382,22.031
73.515,22.144
73.647,22.256
73.778,22.369
73.909,22.482
74.039,22.595
74.168,22.708
74.296,22.820
74.423,22.932
74.549,23.042
74.673,23.151
74.796,23.259
74.917,23.365
75.037,23.469
75.155,23.571
75.271,23.671
75.385,23.768
75.496,23.863
75.606,23.954
75.713,24.042
75.818,24.127
75.920,24.209
76.019,24.286
76.115,24.360
76.209,24.430
76.301,24.497
76.390,24.562
76.476,24.624
76.561,24.685
76.643,24.745
76.723,24.803
76.802,24.862
76.879,24.920
76.954,24.979
77.028,25.039
77.100,25.100
77.171,25.163
77.241,25.229
77.310,25.296
77.378,25.367
77.445,25.442
77.511,25.520
77.577,25.603
77.642,25.690
77.707,25.782
77.770,25.878
77.832,25.978
77.893,26.082
77.951,26.188
78.007,26.297
78.061,26.408
78.111,26.522
78.158,26.636
78.201,26.752
78.241,26.869
78.276,26.986
78.307,27.103
78.333,27.220
78.353,27.336
78.368,27.451
78.377,27.565
78.380,27.676
78.377,27.786
78.366,27.893
78.349,27.997
78.324,28.097
78.291,28.194
78.251,28.288
78.204,28.378
78.151,28.465
78.091,28.549
78.025,28.630
77.954,28.709
77.878,28.785
77.797,28.859
77.712,28.930
77.622,29.000
77.529,29.068
77.433,29.135
77.334,29.200
77.232,29.263
77.128,29.326
77.022,29.387
76.915,29.448
76.806,29.509
76.697,29.568
76.588,29.628
76.479,29.688
76.370,29.747
76.261,29.807
76.152,29.866
76.044,29.926
75.936,29.986
75.829,30.046
75.721,30.107
75.614,30.167
75.506,30.228
75.399,30.289
75.292,30.350
75.184,30.411
75.077,30.472
74.969,30.534
74.861,30.596
74.753,30.658
74.645,30.720
74.537,30.783
74.428,30.846
74.318,30.909
74.209,30.972
74.098,31.036
73.988,31.100
73.876,31.165
73.765,31.229
73.652,31.295
73.539,31.360
73.425,31.425
73.310,31.491
73.195,31.556
73.079,31.620
72.962,31.685
72.844,31.748
72.725,31.811
72.605,31.873
72.485,31.934
72.363,31.994
72.240,32.052
72.116,32.109
71.991,32.164
71.865,32.217
71.738,32.269
71.610,32.318
71.480,32.366
71.349,32.411
71.216,32.453
71.083,32.493
70.947,32.530
70.811,32.564
70.673,32.595
70.533,32.623
70.392,32.647
70.250,32.669
70.106,32.686
69.961,32.701
69.814,32.713
69.667,32.723
69.520,32.730
69.372,32.735
69.224,32.739
69.075,32.741
68.927,32.741
68.780,32.741
68.633,32.740
68.487,32.739
68.341,32.737
