X	Y
361.000	144.000
361.712	143.158
362.548	142.397
363.504	141.706
364.574	141.074
365.753	140.492
367.037	139.950
368.421	139.437
369.899	138.944
371.467	138.459
373.120	137.973
374.852	137.477
376.659	136.958
378.536	136.409
380.478	135.817
382.480	135.174
384.536	134.470
386.646	133.704
388.805	132.881
391.012	132.005
393.265	131.080
395.561	130.110
397.900	129.101
400.278	128.055
402.694	126.977
405.145	125.871
407.629	124.742
410.145	123.594
412.690	122.430
415.262	121.256
417.859	120.075
420.479	118.892
423.120	117.711
425.780	116.536
428.457	115.371
431.148	114.220
433.851	113.088
436.565	111.979
439.288	110.898
442.017	109.847
444.750	108.833
447.485	107.858
450.220	106.927
452.953	106.043
455.685	105.205
458.417	104.412
461.147	103.661
463.878	102.950
466.609	102.279
469.341	101.645
472.074	101.047
474.810	100.482
477.547	99.950
480.287	99.447
483.030	98.974
485.777	98.527
488.528	98.105
491.284	97.706
494.044	97.329
496.810	96.972
499.582	96.632
502.361	96.309
505.146	96.001
507.938	95.705
510.738	95.420
513.547	95.145
516.364	94.877
519.190	94.615
522.026	94.357
524.871	94.101
527.728	93.846
530.593	93.591
533.464	93.339
536.340	93.089
539.216	92.844
542.092	92.604
544.963	92.371
547.828	92.146
550.683	91.930
553.526	91.725
556.355	91.531
559.167	91.350
561.959	91.184
564.728	91.033
567.473	90.899
570.190	90.783
572.877	90.685
575.530	90.609
578.149	90.554
580.729	90.521
583.268	90.513
585.765	90.530
588.215	90.574
590.616	90.646
592.966	90.746
595.263	90.877
597.503	91.040
599.684	91.235
601.804	91.467
603.863	91.738
605.857	92.050
607.785	92.407
609.646	92.810
611.437	93.265
613.157	93.772
614.805	94.335
616.378	94.956
617.875	95.640
619.294	96.387
620.633	97.202
621.891	98.086
623.066	99.044
624.156	100.077
625.159	101.189
626.075	102.379
626.902	103.639
627.642	104.961
628.294	106.334
628.859	107.751
629.336	109.202
629.725	110.677
630.027	112.169
630.242	113.667
630.370	115.163
630.410	116.648
630.364	118.112
630.231	119.546
630.011	120.942
629.706	122.292
629.326	123.603
628.880	124.882
628.381	126.139
627.840	127.380
627.268	128.616
626.676	129.855
626.075	131.105
625.477	132.374
624.893	133.672
624.334	135.006
623.811	136.385
623.336	137.819
622.919	139.314
622.568	140.876
622.276	142.498
622.039	144.172
621.850	145.893
621.703	147.651
621.592	149.441
621.510	151.254
621.452	153.083
621.412	154.922
621.384	156.762
621.360	158.597
621.336	160.419
621.306	162.220
621.262	163.995
621.200	165.734
621.112	167.431
620.993	169.079
620.839	170.673
620.651	172.214
620.433	173.709
620.187	175.161
619.917	176.575
619.626	177.955
619.316	179.307
618.992	180.634
618.656	181.940
618.312	183.232
617.962	184.512
617.609	185.786
617.258	187.058
616.910	188.333
616.565	189.611
616.213	190.886
615.845	192.151
615.450	193.398
615.018	194.621
614.540	195.813
614.005	196.966
613.403	198.073
612.723	199.128
611.957	200.123
611.094	201.050
610.123	201.904
609.037	202.678
607.838	203.374
606.531	203.997
605.125	204.553
603.624	205.046
602.035	205.481
600.364	205.864
598.617	206.200
596.801	206.493
594.921	206.748
592.985	206.971
590.997	207.166
588.965	207.339
586.895	207.494
584.792	207.637
582.664	207.772
580.516	207.905
578.354	208.041
576.182	208.182
573.999	208.329
571.804	208.481
569.596	208.638
567.374	208.799
565.135	208.964
562.879	209.133
560.605	209.304
558.310	209.479
555.995	209.655
553.658	209.834
551.297	210.014
548.911	210.195
546.499	210.377
544.059	210.559
541.591	210.741
539.092	210.922
536.563	211.103
534.001	211.282
531.405	211.459
528.774	211.634
526.106	211.806
523.401	211.975
520.658	212.141
517.878	212.303
515.068	212.460
512.229	212.611
509.367	212.757
506.485	212.896
503.588	213.027
500.679	213.150
497.763	213.264
494.843	213.369
491.924	213.463
489.009	213.547
486.103	213.619
483.209	213.680
480.332	213.727
477.476	213.760
474.645	213.780
471.842	213.784
469.072	213.773
466.338	213.746
463.646	213.702
460.998	213.640
458.399	213.560
455.853	213.461
453.364	213.342
450.936	213.203
448.573	213.043
446.278	212.861
444.049	212.656
441.883	212.425
439.775	212.167
437.721	211.880
435.715	211.560
433.754	211.207
431.833	210.819
429.948	210.392
428.094	209.926
426.268	209.418
424.464	208.866
422.678	208.268
420.906	207.622
419.144	206.925
417.386	206.177
415.630	205.374
413.869	204.515
412.100	203.598
410.319	202.620
408.523	201.583
406.715	200.494
404.897	199.359
403.072	198.184
401.241	196.976
399.407	195.741
397.571	194.487
395.737	193.219
393.907	191.945
392.082	190.670
390.266	189.401
388.459	188.146
386.665	186.909
384.886	185.699
383.124	184.521
381.381	183.382
379.659	182.288
377.962	181.247
376.290	180.264
374.646	179.346
373.034	178.499
371.458	177.720
369.928	176.997
368.454	176.319
367.045	175.676
365.710	175.054
364.458	174.445
363.299	173.835
362.242	173.215
361.296	172.573
360.470	171.897
359.774	171.177
359.217	170.400
358.808	169.558
358.541	168.651
358.394	167.695
358.348	166.704
358.381	165.695
358.474	164.681
358.604	163.679
358.751	162.703
358.894	161.769
359.013	160.892
359.093	160.078
359.136	159.312
359.150	158.572
359.140	157.839
359.111	157.093
359.071	156.312
359.025	155.478
358.979	154.570
358.942	153.585
358.927	152.539
358.944	151.449
359.006	150.332
359.126	149.205
359.314	148.084
359.584	146.986
359.947	145.928
360.415	144.927
361.000	144.000
