X	Y
361.000	172.000
361.912	171.471
363.026	171.039
364.334	170.701
365.825	170.452
367.492	170.291
369.326	170.212
371.317	170.213
373.456	170.289
375.736	170.438
378.146	170.655
380.679	170.938
383.325	171.282
386.075	171.684
388.921	172.140
391.853	172.648
394.863	173.202
397.942	173.800
401.080	174.439
404.270	175.114
407.502	175.822
410.767	176.559
414.057	177.322
417.363	178.108
420.675	178.912
423.984	179.731
427.283	180.562
430.562	181.401
433.816	182.246
437.045	183.097
440.248	183.952
443.424	184.812
446.573	185.676
449.693	186.544
452.786	187.414
455.849	188.288
458.882	189.163
461.885	190.041
464.858	190.919
467.798	191.799
470.707	192.678
473.582	193.558
476.425	194.437
479.233	195.315
482.007	196.191
484.745	197.065
487.448	197.937
490.114	198.806
492.744	199.672
495.335	200.533
497.889	201.391
500.404	202.243
502.879	203.090
505.314	203.932
507.708	204.767
510.062	205.596
512.373	206.417
514.642	207.231
516.868	208.038
519.052	208.839
521.195	209.636
523.297	210.430
525.359	211.225
527.382	212.020
529.366	212.819
531.312	213.623
533.220	214.433
535.092	215.252
536.927	216.080
538.727	216.921
540.493	217.775
542.224	218.644
543.922	219.531
545.587	220.436
547.220	221.362
548.822	222.311
550.393	223.283
551.934	224.281
553.445	225.307
554.926	226.361
556.373	227.442
557.782	228.549
559.149	229.680
560.470	230.833
561.741	232.007
562.959	233.201
564.118	234.413
565.216	235.642
566.249	236.886
567.211	238.144
568.101	239.414
568.913	240.695
569.643	241.985
570.288	243.283
570.844	244.588
571.307	245.898
571.676	247.212
571.953	248.532
572.138	249.858
572.233	251.191
572.240	252.530
572.158	253.877
571.990	255.231
571.736	256.595
571.397	257.967
570.976	259.349
570.472	260.740
569.888	262.143
569.224	263.556
568.481	264.981
567.662	266.416
566.769	267.861
565.805	269.313
564.773	270.771
563.674	272.234
562.512	273.701
561.290	275.169
560.009	276.637
558.673	278.103
557.284	279.567
555.844	281.026
554.357	282.480
552.825	283.926
551.251	285.363
549.636	286.789
547.985	288.204
546.298	289.605
544.580	290.991
542.832	292.361
541.058	293.713
539.259	295.045
537.436	296.357
535.593	297.646
533.729	298.912
531.848	300.153
529.950	301.368
528.037	302.555
526.111	303.712
524.173	304.840
522.226	305.935
520.270	306.998
518.307	308.025
516.340	309.017
514.369	309.972
512.397	310.887
510.424	311.763
508.453	312.597
506.485	313.388
504.522	314.135
502.566	314.837
500.617	315.491
498.679	316.097
496.750	316.654
494.829	317.164
492.912	317.627
490.995	318.047
489.076	318.423
487.150	318.759
485.216	319.056
483.268	319.315
481.305	319.537
479.322	319.726
477.317	319.882
475.286	320.007
473.226	320.102
471.133	320.170
469.004	320.212
466.837	320.230
464.626	320.225
462.370	320.199
460.065	320.153
457.707	320.090
455.294	320.010
452.822	319.917
450.297	319.807
447.725	319.681
445.113	319.536
442.467	319.372
439.793	319.187
437.100	318.980
434.392	318.749
431.678	318.492
428.963	318.209
426.254	317.898
423.558	317.558
420.881	317.187
418.230	316.784
415.612	316.347
413.033	315.876
410.501	315.368
408.021	314.822
405.600	314.238
403.245	313.612
400.962	312.945
398.759	312.235
396.641	311.480
394.616	310.679
392.690	309.830
390.870	308.932
389.160	307.985
387.556	306.989
386.054	305.945
384.650	304.855
383.337	303.720
382.111	302.540
380.968	301.318
379.903	300.054
378.910	298.749
377.985	297.405
377.123	296.023
376.319	294.605
375.568	293.150
374.866	291.662
374.207	290.140
373.587	288.586
373.000	287.001
372.443	285.386
371.915	283.742
371.413	282.068
370.936	280.365
370.485	278.633
370.056	276.872
369.651	275.082
369.266	273.263
368.902	271.416
368.557	269.541
368.231	267.637
367.921	265.704
367.627	263.744
367.348	261.756
367.083	259.740
366.831	257.696
366.590	255.625
366.360	253.526
366.139	251.401
365.927	249.248
365.721	247.070
365.521	244.872
365.323	242.660
365.126	240.439
364.927	238.215
364.725	235.994
364.518	233.779
364.303	231.578
364.078	229.395
363.842	227.236
363.591	225.107
363.325	223.012
363.041	220.958
362.737	218.949
362.411	216.992
362.060	215.091
361.683	213.253
361.278	211.482
360.843	209.784
360.375	208.164
359.873	206.629
359.338	205.179
358.784	203.809
358.223	202.513
357.668	201.283
357.131	200.115
356.627	199.001
356.168	197.934
355.766	196.909
355.435	195.918
355.188	194.957
355.038	194.017
354.997	193.092
355.076	192.178
355.260	191.274
355.530	190.381
355.867	189.501
356.250	188.636
356.659	187.788
357.075	186.957
357.478	186.146
357.847	185.357
358.163	184.590
358.420	183.842
358.623	183.105
358.776	182.370
358.886	181.631
358.956	180.878
358.994	180.103
359.003	179.298
358.990	178.456
358.973	177.584
358.979	176.697
359.035	175.813
359.167	174.947
359.403	174.117
359.769	173.338
360.293	172.627
361.000	172.000
