X	Y
350.000	159.000
350.435	157.610
350.966	156.280
351.594	154.992
352.319	153.728
353.140	152.469
354.059	151.197
355.074	149.896
356.186	148.546
357.396	147.129
358.703	145.627
360.107	144.023
361.609	142.299
363.205	140.447
364.891	138.476
366.660	136.395
368.507	134.211
370.427	131.935
372.412	129.575
374.459	127.139
376.560	124.636
378.710	122.076
380.904	119.467
383.135	116.818
385.398	114.137
387.688	111.433
389.997	108.716
392.321	105.994
394.654	103.275
396.990	100.569
399.324	97.884
401.649	95.229
403.959	92.613
406.250	90.045
408.515	87.533
410.750	85.086
412.957	82.702
415.140	80.379
417.307	78.112
419.463	75.897
421.613	73.731
423.763	71.609
425.918	69.527
428.085	67.482
430.268	65.469
432.475	63.486
434.709	61.526
436.977	59.588
439.285	57.666
441.638	55.758
444.041	53.858
446.501	51.964
449.023	50.070
451.613	48.174
454.276	46.270
457.018	44.357
459.845	42.428
462.757	40.484
465.748	38.530
468.810	36.570
471.935	34.609
475.117	32.654
478.346	30.708
481.616	28.777
484.919	26.867
488.248	24.983
491.594	23.129
494.950	21.310
498.309	19.533
501.662	17.802
505.003	16.122
508.323	14.499
511.615	12.938
514.871	11.443
518.085	10.021
521.247	8.676
524.350	7.413
527.388	6.237
530.351	5.155
533.233	4.170
536.026	3.289
538.723	2.515
541.325	1.848
543.839	1.284
546.271	0.817
548.628	0.443
550.917	0.156
553.145	-0.046
555.318	-0.170
557.444	-0.221
559.528	-0.202
561.578	-0.119
563.600	0.024
565.601	0.222
567.589	0.469
569.569	0.762
571.548	1.096
573.529	1.468
575.505	1.881
577.469	2.338
579.415	2.842
581.334	3.394
583.221	3.999
585.069	4.660
586.869	5.378
588.616	6.157
590.302	7.000
591.919	7.910
593.462	8.889
594.923	9.941
596.298	11.067
597.592	12.263
598.817	13.525
599.982	14.847
601.096	16.224
602.170	17.651
603.215	19.123
604.238	20.634
605.252	22.181
606.266	23.756
607.288	25.357
608.331	26.976
609.403	28.609
610.508	30.252
611.639	31.899
612.791	33.546
613.956	35.188
615.129	36.821
616.303	38.440
617.471	40.040
618.627	41.617
619.764	43.167
620.876	44.684
621.957	46.164
622.999	47.602
623.996	48.995
624.939	50.336
625.807	51.620
626.575	52.842
627.219	53.994
627.714	55.072
628.037	56.070
628.162	56.980
628.066	57.798
627.728	58.518
627.157	59.140
626.380	59.669
625.423	60.108
624.314	60.461
623.078	60.733
621.744	60.927
620.336	61.047
618.870	61.102
617.346	61.103
615.767	61.066
614.132	61.001
612.443	60.923
610.701	60.844
608.906	60.777
607.060	60.736
605.163	60.733
603.216	60.782
601.220	60.896
599.177	61.086
597.093	61.362
594.981	61.721
592.857	62.163
590.734	62.688
588.627	63.293
586.551	63.979
584.520	64.745
582.548	65.588
580.650	66.509
578.840	67.506
577.133	68.579
575.543	69.727
574.084	70.948
572.772	72.242
571.611	73.606
570.587	75.036
569.683	76.525
568.881	78.070
568.166	79.663
567.518	81.300
566.921	82.975
566.357	84.683
565.810	86.419
565.262	88.176
564.695	89.950
564.093	91.735
563.443	93.524
562.757	95.310
562.059	97.080
561.373	98.824
560.723	100.530
560.131	102.189
559.623	103.788
