X	Y
352.000	194.000
353.222	192.703
354.980	191.495
357.233	190.372
359.941	189.335
363.065	188.379
366.564	187.505
370.398	186.710
374.528	185.991
378.913	185.347
383.513	184.777
388.289	184.278
393.199	183.848
398.205	183.485
403.266	183.188
408.342	182.955
413.393	182.784
418.379	182.672
423.261	182.619
427.997	182.622
432.548	182.679
436.875	182.788
440.936	182.948
444.697	183.156
448.163	183.408
451.365	183.698
454.333	184.021
457.095	184.371
459.683	184.743
462.126	185.130
464.453	185.528
466.696	185.931
468.882	186.333
471.044	186.728
473.209	187.111
475.409	187.476
477.673	187.818
480.030	188.131
482.487	188.419
485.023	188.694
487.615	188.971
490.241	189.262
492.879	189.582
495.507	189.945
498.101	190.363
500.639	190.852
503.100	191.424
505.461	192.094
507.699	192.875
509.792	193.780
511.718	194.825
513.457	196.018
515.019	197.352
516.420	198.810
517.678	200.375
518.811	202.030
519.836	203.759
520.772	205.546
521.636	207.374
522.446	209.225
523.219	211.085
523.973	212.935
524.726	214.760
525.494	216.547
526.292	218.284
527.137	219.959
528.043	221.560
529.026	223.075
530.103	224.492
531.288	225.798
532.599	226.982
534.049	228.032
535.642	228.943
537.331	229.743
539.059	230.465
540.768	231.143
542.401	231.811
543.901	232.501
545.210	233.247
546.271	234.084
547.026	235.045
547.441	236.153
547.567	237.400
547.470	238.769
547.218	240.244
546.878	241.808
546.518	243.445
546.206	245.138
546.008	246.871
545.980	248.627
546.111	250.392
546.371	252.150
546.729	253.885
547.154	255.584
547.617	257.230
548.086	258.808
548.532	260.304
548.923	261.703
549.231	262.990
549.437	264.170
549.529	265.254
549.492	266.253
549.313	267.177
548.981	268.039
548.492	268.855
547.882	269.665
547.198	270.509
546.482	271.433
545.781	272.478
545.138	273.687
544.595	275.099
544.164	276.707
543.842	278.484
543.627	280.404
543.517	282.440
543.508	284.564
543.597	286.749
543.784	288.968
544.063	291.195
544.434	293.401
544.894	295.561
545.439	297.649
546.065	299.665
546.767	301.619
547.539	303.519
548.376	305.375
549.271	307.196
550.221	308.993
551.219	310.774
552.259	312.548
553.337	314.326
554.447	316.117
555.584	317.929
556.744	319.766
557.929	321.622
559.138	323.493
560.373	325.374
561.633	327.261
562.918	329.149
564.229	331.033
565.567	332.908
566.931	334.770
568.323	336.614
569.741	338.435
571.188	340.229
572.661	341.993
574.159	343.726
575.678	345.432
577.215	347.110
578.766	348.764
580.329	350.394
581.899	352.002
583.474	353.589
585.050	355.157
586.625	356.707
588.194	358.242
589.755	359.762
591.300	361.266
592.793	362.739
594.187	364.157
595.437	365.499
596.494	366.741
597.312	367.862
597.845	368.838
598.045	369.647
597.867	370.268
597.311	370.701
596.424	370.971
595.255	371.107
593.856	371.134
592.274	371.079
590.561	370.969
588.758	370.818
586.892	370.617
584.990	370.356
583.077	370.021
581.178	369.603
579.320	369.090
577.529	368.469
575.829	367.730
574.247	366.861
572.809	365.850
571.524	364.698
570.366	363.440
569.298	362.113
568.286	360.757
567.295	359.411
566.290	358.113
565.236	356.902
564.098	355.818
562.841	354.899
561.444	354.173
559.920	353.630
558.290	353.259
556.575	353.047
554.795	352.979
552.972	353.043
551.125	353.226
549.276	353.514
547.445	353.894
545.651	354.352
543.904	354.867
542.206	355.414
540.560	355.968
538.969	356.505
537.437	356.999
535.967	357.425
534.561	357.759
533.223	357.976
531.953	358.058
530.730	358.033
529.524	357.948
528.306	357.850
527.047	357.786
525.716	357.805
524.285	357.953
522.732	358.272
521.084	358.763
519.394	359.409
517.712	360.192
516.090	361.097
514.578	362.106
513.229	363.202
512.092	364.369
511.220	365.589
510.657	366.846
510.368	368.120
510.266	369.391
510.264	370.638
510.275	371.840
510.213	372.977
509.991	374.029
509.540	374.979
508.863	375.836
507.979	376.609
506.905	377.310
505.661	377.950
504.265	378.539
502.735	379.090
501.100	379.616
499.410	380.140
497.723	380.685
496.092	381.275
494.574	381.933
493.224	382.683
492.097	383.549
491.249	384.553
490.730	385.717
490.504	387.017
490.471	388.398
490.528	389.800
490.574	391.168
490.505	392.443
490.220	393.567
489.623	394.488
488.722	395.220
487.617	395.837
486.412	396.416
485.207	397.031
484.107	397.759
483.213	398.675
482.619	399.849
