X	Y
360.000	164.000
360.743	163.160
361.600	162.349
362.567	161.563
363.637	160.801
364.806	160.059
366.070	159.334
367.423	158.624
368.860	157.925
370.378	157.236
371.970	156.552
373.632	155.871
375.360	155.190
377.147	154.506
378.990	153.817
380.884	153.119
382.823	152.410
384.803	151.687
386.818	150.947
388.865	150.187
390.938	149.404
393.033	148.595
395.144	147.758
397.266	146.889
399.396	145.988
401.534	145.054
403.680	144.090
405.835	143.096
407.997	142.076
410.169	141.030
412.350	139.959
414.540	138.867
416.739	137.753
418.949	136.620
421.169	135.469
423.400	134.302
425.641	133.121
427.894	131.927
430.158	130.721
432.434	129.506
434.722	128.282
437.022	127.052
439.335	125.817
441.661	124.579
444.000	123.339
446.352	122.099
448.719	120.861
451.099	119.625
453.494	118.395
455.903	117.170
458.328	115.954
460.767	114.746
463.222	113.550
465.693	112.367
468.181	111.198
470.684	110.045
473.204	108.909
475.741	107.792
478.294	106.693
480.860	105.613
483.440	104.551
486.030	103.506
488.631	102.478
491.240	101.467
493.856	100.473
496.479	99.495
499.105	98.533
501.735	97.587
504.366	96.655
506.998	95.739
509.629	94.837
512.257	93.949
514.881	93.075
517.500	92.215
520.113	91.367
522.717	90.533
525.312	89.711
527.897	88.901
530.469	88.104
533.028	87.317
535.572	86.542
538.099	85.777
540.609	85.023
543.100	84.279
545.571	83.545
548.019	82.821
550.445	82.105
552.846	81.399
555.221	80.700
557.568	80.010
559.887	79.328
562.176	78.653
564.434	77.987
566.660	77.334
568.854	76.697
571.016	76.080
573.144	75.485
575.238	74.917
577.297	74.379
579.322	73.874
581.311	73.406
583.264	72.979
585.181	72.596
587.060	72.260
588.901	71.975
590.704	71.744
592.468	71.571
594.192	71.459
595.877	71.413
597.520	71.434
599.123	71.528
600.683	71.696
602.202	71.944
603.677	72.273
605.109	72.689
606.497	73.193
607.840	73.787
609.138	74.468
610.388	75.232
611.591	76.074
612.744	76.993
613.848	77.983
614.900	79.041
615.900	80.164
616.847	81.348
617.740	82.589
618.577	83.884
619.358	85.229
620.081	86.620
620.746	88.054
621.352	89.526
621.896	91.035
622.379	92.575
622.799	94.143
623.156	95.735
623.449	97.350
623.680	98.987
623.851	100.645
623.962	102.325
624.017	104.025
624.017	105.745
623.962	107.485
623.856	109.244
623.699	111.022
623.493	112.819
623.240	114.634
622.941	116.467
622.598	118.317
622.213	120.184
621.787	122.067
621.323	123.967
620.820	125.882
620.282	127.812
619.710	129.757
619.106	131.717
618.470	133.690
617.806	135.677
617.114	137.678
616.395	139.690
615.652	141.712
614.885	143.739
614.094	145.767
613.281	147.793
612.446	149.811
611.591	151.819
610.715	153.811
609.821	155.784
608.908	157.734
607.978	159.656
607.031	161.548
606.068	163.404
605.090	165.220
604.099	166.993
603.093	168.718
602.076	170.392
601.047	172.010
600.007	173.568
598.957	175.063
597.898	176.489
596.831	177.844
595.756	179.122
594.675	180.321
593.588	181.435
592.496	182.462
591.397	183.400
590.286	184.256
589.158	185.033
588.008	185.738
586.831	186.374
585.621	186.947
584.374	187.463
583.085	187.925
581.748	188.339
580.358	188.710
578.910	189.043
577.399	189.343
575.820	189.615
574.168	189.864
572.438	190.095
570.624	190.313
568.722	190.522
566.727	190.729
564.632	190.938
562.435	191.153
560.136	191.377
557.740	191.608
555.252	191.846
552.677	192.091
550.020	192.342
547.285	192.598
544.479	192.861
541.605	193.127
538.669	193.399
535.675	193.674
532.629	193.952
529.535	194.234
526.398	194.518
523.224	194.803
520.017	195.091
516.782	195.379
513.524	195.668
510.247	195.957
506.958	196.246
503.660	196.534
500.359	196.820
497.060	197.105
493.767	197.388
490.486	197.667
487.221	197.944
483.977	198.217
480.760	198.486
477.573	198.750
474.423	199.009
471.314	199.263
468.250	199.511
465.238	199.752
462.281	199.986
459.385	200.213
456.554	200.432
453.794	200.642
451.110	200.844
448.506	201.036
445.984	201.219
443.543	201.390
441.177	201.550
438.883	201.696
436.657	201.829
434.495	201.946
432.393	202.046
430.348	202.130
428.355	202.195
426.410	202.241
424.510	202.266
422.650	202.269
420.828	202.250
419.038	202.207
417.277	202.139
415.541	202.046
413.827	201.925
412.129	201.776
410.445	201.599
408.771	201.391
407.102	201.152
405.434	200.881
403.764	200.577
402.088	200.238
400.402	199.864
398.705	199.455
397.000	199.015
395.288	198.549
393.575	198.059
391.861	197.550
390.152	197.026
388.449	196.491
386.755	195.948
385.074	195.402
383.409	194.856
381.762	194.315
380.137	193.781
378.537	193.260
376.964	192.755
375.422	192.270
373.914	191.809
372.442	191.375
371.010	190.973
369.621	190.607
368.278	190.280
366.984	189.997
365.741	189.758
364.556	189.554
363.431	189.372
362.373	189.202
361.386	189.030
360.474	188.844
359.643	188.633
358.896	188.383
358.240	188.084
357.679	187.722
357.217	187.286
356.859	186.764
356.603	186.153
356.436	185.460
356.347	184.693
356.324	183.861
356.356	182.973
356.429	182.035
356.532	181.057
356.654	180.046
356.782	179.011
356.904	177.959
357.009	176.900
357.089	175.841
357.153	174.783
357.211	173.730
357.277	172.684
357.359	171.648
357.471	170.624
357.622	169.615
357.825	168.622
358.090	167.649
358.429	166.698
358.853	165.771
359.373	164.871
360.000	164.000
