X	Y
356.000	192.000
356.881	191.051
357.951	190.207
359.203	189.460
360.630	188.805
362.224	188.236
363.978	187.748
365.885	187.334
367.938	186.988
370.128	186.705
372.450	186.478
374.895	186.303
377.456	186.172
380.126	186.080
382.897	186.021
385.763	185.990
388.716	185.979
391.748	185.985
394.853	185.999
398.023	186.018
401.250	186.034
404.528	186.042
407.849	186.036
411.206	186.010
414.592	185.958
418.001	185.882
421.430	185.783
424.875	185.664
428.331	185.527
431.794	185.375
435.261	185.211
438.728	185.036
442.189	184.855
445.642	184.668
449.083	184.479
452.506	184.290
455.909	184.104
459.287	183.924
462.636	183.751
465.952	183.588
469.231	183.439
472.469	183.305
475.661	183.189
478.805	183.094
481.895	183.022
484.929	182.975
487.901	182.957
490.807	182.970
493.644	183.016
496.408	183.097
499.094	183.218
501.699	183.379
504.219	183.584
506.648	183.834
508.984	184.134
511.227	184.483
513.383	184.882
515.457	185.331
517.455	185.829
519.384	186.376
521.249	186.972
523.056	187.617
524.812	188.310
526.521	189.052
528.191	189.842
529.827	190.679
531.435	191.565
533.020	192.498
534.590	193.478
536.149	194.505
537.705	195.580
539.262	196.701
540.826	197.868
542.403	199.081
543.983	200.338
545.558	201.634
547.116	202.967
548.645	204.333
550.136	205.728
551.577	207.150
552.958	208.595
554.267	210.059
555.494	211.539
556.628	213.031
557.658	214.534
558.573	216.041
559.362	217.552
560.015	219.061
560.521	220.566
560.868	222.064
561.046	223.550
561.054	225.025
560.905	226.492
560.612	227.954
560.188	229.417
559.647	230.883
559.002	232.356
558.268	233.841
557.456	235.340
556.582	236.859
555.658	238.400
554.698	239.967
553.715	241.565
552.722	243.198
551.734	244.868
550.764	246.580
549.824	248.338
548.925	250.143
548.065	251.989
547.241	253.870
546.450	255.778
545.691	257.709
544.960	259.655
544.254	261.610
543.572	263.568
542.910	265.521
542.266	267.464
541.637	269.390
541.021	271.293
540.415	273.166
539.815	275.003
539.221	276.797
538.628	278.542
538.035	280.231
537.438	281.858
536.835	283.417
536.223	284.905
535.595	286.327
534.947	287.687
534.272	288.992
533.565	290.247
532.820	291.456
532.031	292.626
531.193	293.762
530.300	294.868
529.346	295.951
528.325	297.016
527.232	298.068
526.062	299.113
524.807	300.155
523.467	301.199
522.043	302.242
520.542	303.283
518.967	304.319
517.325	305.348
515.621	306.367
513.858	307.374
512.043	308.366
510.180	309.342
508.274	310.300
506.330	311.236
504.354	312.148
502.349	313.035
500.322	313.893
498.277	314.721
496.219	315.515
494.153	316.275
492.084	316.997
490.017	317.679
487.957	318.319
485.906	318.917
483.863	319.475
481.825	319.994
479.793	320.478
477.764	320.928
475.737	321.347
473.711	321.737
471.685	322.099
469.657	322.436
467.625	322.751
465.589	323.044
463.548	323.319
461.499	323.578
459.442	323.822
457.375	324.055
455.297	324.277
453.206	324.492
451.102	324.700
448.982	324.906
446.846	325.110
444.695	325.311
442.532	325.507
440.362	325.692
438.187	325.863
436.011	326.017
433.839	326.149
431.673	326.255
429.517	326.333
427.375	326.377
425.251	326.384
423.147	326.351
421.068	326.273
419.018	326.147
416.999	325.968
415.016	325.733
413.072	325.439
411.170	325.080
409.315	324.654
407.510	324.157
405.759	323.585
404.060	322.936
402.414	322.212
400.817	321.413
399.269	320.539
397.767	319.591
396.310	318.569
394.897	317.474
393.524	316.306
392.192	315.065
390.897	313.752
389.639	312.368
388.416	310.912
387.225	309.386
386.066	307.790
384.936	306.123
383.833	304.388
382.757	302.583
381.705	300.711
380.677	298.779
379.672	296.790
378.689	294.752
377.726	292.670
376.784	290.550
375.861	288.398
374.956	286.220
374.069	284.022
373.198	281.809
372.343	279.588
371.502	277.364
370.676	275.143
369.862	272.931
369.061	270.733
368.270	268.557
367.491	266.407
366.720	264.290
365.958	262.211
365.204	260.176
364.456	258.192
363.715	256.263
362.980	254.392
362.255	252.575
361.543	250.810
360.847	249.091
360.172	247.415
359.519	245.779
358.892	244.180
358.295	242.612
357.730	241.073
357.202	239.559
356.712	238.066
356.265	236.591
355.864	235.129
355.512	233.677
355.212	232.232
354.968	230.790
354.780	229.349
354.645	227.914
354.556	226.492
354.509	225.088
354.498	223.709
354.518	222.360
354.562	221.047
354.627	219.777
354.707	218.555
354.796	217.387
354.888	216.279
354.979	215.238
355.063	214.267
355.136	213.355
355.194	212.483
355.233	211.630
355.249	210.779
355.237	209.909
355.194	209.001
355.116	208.037
354.999	206.995
354.843	205.864
354.664	204.654
354.482	203.383
354.317	202.068
354.189	200.725
354.117	199.372
354.123	198.026
354.225	196.704
354.444	195.424
354.799	194.201
355.311	193.054
356.000	192.000
