X	Y
1.445	2.253
1.444	2.247
1.444	2.241
1.445	2.234
1.448	2.227
1.452	2.218
1.456	2.209
1.462	2.200
1.469	2.190
1.476	2.179
1.485	2.168
1.494	2.156
1.504	2.143
1.515	2.131
1.526	2.118
1.538	2.104
1.551	2.090
1.564	2.076
1.578	2.061
1.592	2.047
1.606	2.031
1.621	2.016
1.636	2.001
1.652	1.985
1.667	1.969
1.683	1.953
1.699	1.937
1.715	1.921
1.731	1.905
1.747	1.889
1.763	1.873
1.778	1.857
1.794	1.842
1.810	1.826
1.825	1.810
1.840	1.795
1.854	1.780
1.869	1.765
1.883	1.750
1.898	1.735
1.912	1.720
1.925	1.705
1.939	1.691
1.953	1.677
1.966	1.663
1.979	1.648
1.993	1.635
2.006	1.621
2.019	1.607
2.032	1.594
2.044	1.580
2.057	1.567
2.070	1.554
2.082	1.541
2.095	1.528
2.107	1.515
2.120	1.502
2.132	1.490
2.144	1.477
2.157	1.465
2.169	1.453
2.181	1.441
2.194	1.429
2.206	1.417
2.219	1.405
2.231	1.394
2.244	1.382
2.256	1.371
2.269	1.359
2.282	1.348
2.294	1.337
2.307	1.326
2.320	1.315
2.333	1.305
2.346	1.294
2.360	1.284
2.373	1.273
2.386	1.263
2.399	1.253
2.413	1.243
2.426	1.234
2.440	1.224
2.453	1.215
2.467	1.206
2.481	1.197
2.494	1.188
2.508	1.179
2.522	1.171
2.536	1.162
2.550	1.154
2.564	1.146
2.578	1.138
2.592	1.131
2.606	1.124
2.620	1.117
2.634	1.110
2.649	1.103
2.663	1.097
2.677	1.090
2.691	1.084
2.706	1.079
2.720	1.073
2.734	1.068
2.749	1.063
2.763	1.058
2.777	1.053
2.792	1.049
2.806	1.045
2.820	1.041
2.835	1.038
2.849	1.034
2.863	1.031
2.877	1.028
2.891	1.026
2.905	1.023
2.919	1.021
2.933	1.019
2.946	1.018
2.960	1.016
2.973	1.015
2.987	1.014
3.000	1.013
3.013	1.013
3.026	1.012
3.039	1.012
3.051	1.013
3.064	1.013
3.076	1.014
3.088	1.015
3.100	1.016
3.112	1.017
3.124	1.019
3.135	1.021
3.147	1.023
3.158	1.025
3.169	1.028
3.179	1.031
3.190	1.034
3.201	1.037
3.211	1.041
3.221	1.045
3.231	1.049
3.241	1.053
3.251	1.058
3.260	1.063
3.270	1.068
3.279	1.073
3.288	1.079
3.297	1.084
3.306	1.091
3.315	1.097
3.323	1.103
3.332	1.110
3.340	1.117
3.348	1.124
3.355	1.132
3.363	1.139
3.370	1.147
3.377	1.155
3.383	1.163
3.389	1.171
3.395	1.179
3.401	1.188
3.406	1.196
3.411	1.205
3.415	1.214
3.419	1.223
3.423	1.232
3.426	1.241
3.429	1.250
3.431	1.259
3.433	1.269
3.435	1.278
3.436	1.288
3.437	1.297
3.437	1.307
3.437	1.317
3.437	1.326
3.436	1.336
3.435	1.346
3.433	1.356
3.431	1.366
3.429	1.377
3.426	1.387
3.423	1.397
3.420	1.408
3.416	1.418
3.412	1.429
3.408	1.440
3.403	1.450
3.398	1.461
3.393	1.472
3.387	1.483
3.382	1.493
3.376	1.504
3.369	1.515
3.363	1.526
3.356	1.537
3.349	1.547
3.341	1.558
3.334	1.569
3.326	1.579
3.318	1.590
3.309	1.600
3.301	1.610
3.292	1.621
3.283	1.631
3.274	1.641
3.265	1.650
3.256	1.660
3.246	1.670
3.237	1.679
3.227	1.688
3.217	1.697
3.207	1.706
3.196	1.715
3.186	1.723
3.176	1.732
3.165	1.740
3.154	1.748
3.143	1.756
3.132	1.764
3.121	1.771
3.109	1.779
3.098	1.786
3.086	1.794
3.074	1.801
3.062	1.808
3.050	1.815
3.038	1.822
3.026	1.828
3.013	1.835
3.001	1.842
2.988	1.848
2.975	1.854
2.962	1.861
2.949	1.867
2.936	1.873
2.923	1.879
2.909	1.885
2.896	1.891
2.882	1.896
2.868	1.902
2.855	1.908
2.841	1.913
2.826	1.919
2.812	1.924
2.798	1.930
2.783	1.935
2.769	1.941
2.754	1.946
2.739	1.952
2.725	1.957
2.710	1.962
2.694	1.968
2.679	1.973
2.664	1.979
2.649	1.984
2.633	1.990
2.617	1.995
2.602	2.001
2.586	2.006
2.570	2.012
2.554	2.018
2.538	2.024
2.522	2.029
2.506	2.035
2.489	2.041
