X	Y
1.684	2.280
1.685	2.273
1.686	2.265
1.688	2.257
1.691	2.249
1.695	2.240
1.700	2.232
1.705	2.223
1.712	2.213
1.719	2.204
1.726	2.194
1.735	2.184
1.743	2.174
1.753	2.163
1.763	2.153
1.773	2.142
1.784	2.131
1.795	2.120
1.806	2.109
1.818	2.098
1.830	2.087
1.842	2.076
1.855	2.064
1.867	2.053
1.880	2.041
1.893	2.030
1.906	2.019
1.920	2.007
1.933	1.996
1.947	1.985
1.961	1.974
1.975	1.963
1.989	1.952
2.004	1.941
2.018	1.930
2.033	1.920
2.048	1.910
2.062	1.900
2.077	1.890
2.092	1.881
2.107	1.871
2.122	1.863
2.137	1.854
2.153	1.846
2.168	1.838
2.183	1.830
2.198	1.823
2.214	1.816
2.229	1.810
2.244	1.804
2.260	1.799
2.275	1.793
2.290	1.788
2.306	1.784
2.321	1.780
2.336	1.776
2.352	1.772
2.367	1.769
2.383	1.765
2.398	1.762
2.414	1.759
2.429	1.757
2.445	1.754
2.461	1.751
2.476	1.749
2.492	1.746
2.508	1.744
2.524	1.742
2.540	1.739
2.556	1.737
2.572	1.734
2.588	1.731
2.604	1.729
2.620	1.726
2.636	1.723
2.653	1.720
2.669	1.716
2.685	1.713
2.702	1.709
2.718	1.706
2.735	1.702
2.752	1.699
2.768	1.695
2.785	1.692
2.801	1.688
2.818	1.685
2.835	1.682
2.851	1.678
2.868	1.675
2.884	1.672
2.901	1.670
2.917	1.667
2.933	1.665
2.950	1.663
2.966	1.661
2.982	1.659
2.998	1.658
3.014	1.657
3.030	1.657
3.046	1.657
3.062	1.657
3.078	1.658
3.093	1.659
3.108	1.660
3.124	1.662
3.139	1.664
3.154	1.666
3.169	1.669
3.183	1.672
3.198	1.676
3.212	1.679
3.226	1.683
3.240	1.687
3.254	1.692
3.268	1.696
3.281	1.701
3.294	1.706
3.307	1.711
3.320	1.717
3.333	1.722
3.345	1.728
3.357	1.733
3.369	1.739
3.381	1.745
3.392	1.751
3.403	1.757
3.414	1.763
3.425	1.769
3.435	1.776
3.445	1.782
3.455	1.788
3.465	1.795
3.474	1.802
3.483	1.808
3.492	1.815
3.500	1.822
3.508	1.829
3.516	1.836
3.524	1.844
3.531	1.851
3.538	1.859
3.544	1.866
3.551	1.874
3.557	1.882
3.562	1.890
3.568	1.899
3.573	1.907
3.578	1.916
3.583	1.924
3.587	1.933
3.591	1.942
3.595	1.951
3.599	1.960
3.602	1.969
3.606	1.978
3.609	1.987
3.612	1.996
3.615	2.005
3.618	2.015
3.620	2.024
3.622	2.034
3.625	2.043
3.626	2.053
3.628	2.062
3.629	2.072
3.629	2.081
3.629	2.091
3.629	2.100
3.627	2.110
3.626	2.119
3.623	2.129
3.620	2.138
3.616	2.147
3.612	2.156
3.606	2.165
3.600	2.174
3.593	2.183
3.586	2.192
3.577	2.201
3.568	2.209
3.559	2.218
3.549	2.226
3.538	2.234
3.527	2.242
3.515	2.250
3.503	2.257
3.490	2.265
3.478	2.272
3.464	2.279
3.451	2.286
3.437	2.292
3.423	2.298
3.408	2.304
3.393	2.310
3.379	2.316
3.364	2.321
3.349	2.326
3.333	2.330
3.318	2.335
3.302	2.339
3.287	2.343
3.271	2.346
3.255	2.350
3.239	2.353
3.222	2.356
3.206	2.359
3.189	2.361
3.172	2.364
3.155	2.366
3.138	2.368
3.121	2.370
3.103	2.372
3.086	2.373
3.068	2.375
3.050	2.376
3.032	2.377
3.014	2.378
2.995	2.379
2.977	2.380
2.958	2.381
2.939	2.382
2.920	2.382
2.901	2.383
2.881	2.383
2.862	2.384
2.842	2.384
2.822	2.385
2.802	2.385
2.782	2.386
2.762	2.386
2.742	2.386
2.721	2.387
2.701	2.387
2.681	2.387
2.660	2.388
2.640	2.388
2.619	2.389
2.598	2.390
2.578	2.390
2.557	2.391
2.537	2.392
2.516	2.393
2.496	2.394
2.476	2.395
2.455	2.396
2.435	2.398
2.415	2.399
2.395	2.401
2.375	2.403
2.355	2.404
2.336	2.407
2.316	2.409
2.297	2.411
2.278	2.414
2.259	2.417
2.240	2.420
2.221	2.423
2.203	2.427
2.185	2.430
2.167	2.434
2.149	2.438
2.132	2.442
2.115	2.445
2.098	2.449
2.081	2.453
2.065	2.457
2.050	2.460
2.034	2.464
2.019	2.467
2.005	2.470
1.991	2.473
1.977	2.476
1.964	2.478
1.951	2.480
1.939	2.482
1.927	2.483
1.916	2.484
1.905	2.485
1.895	2.485
1.886	2.485
1.877	2.485
1.869	2.484
1.861	2.482
1.853	2.480
1.846	2.478
1.839	2.476
1.832	2.473
1.825	2.470
1.819	2.467
1.813	2.464
1.806	2.461
1.800	2.458
1.793	2.454
1.787	2.451
1.780	2.447
1.774	2.443
1.768	2.439
1.763	2.435
1.758	2.431
1.754	2.426
1.750	2.420
1.747	2.414
1.745	2.408
1.744	2.401
1.744	2.394
1.744	2.387
1.745	2.379
1.746	2.372
1.747	2.365
1.747	2.358
1.748	2.352
1.747	2.347
1.746	2.342
1.744	2.339
1.742	2.336
1.738	2.335
1.734	2.333
1.730	2.332
1.725	2.330
1.720	2.328
1.715	2.326
1.710	2.323
1.705	2.319
1.700	2.315
1.696	2.311
1.692	2.305
1.689	2.300
1.687	2.293
1.685	2.287
1.684	2.280
