X	Y
386.500	212.500
386.998	211.344
387.720	210.206
388.643	209.079
389.747	207.954
391.007	206.824
392.404	205.680
393.913	204.515
395.514	203.320
397.185	202.088
398.902	200.811
400.645	199.481
402.390	198.090
404.120	196.632
405.831	195.108
407.527	193.523
409.210	191.881
410.882	190.188
412.546	188.446
414.205	186.661
415.860	184.838
417.515	182.979
419.172	181.090
420.833	179.176
422.501	177.240
424.179	175.287
425.869	173.322
427.574	171.348
429.295	169.371
431.036	167.394
432.799	165.420
434.584	163.445
436.393	161.468
438.227	159.485
440.087	157.493
441.973	155.490
443.887	153.473
445.830	151.439
447.803	149.386
449.807	147.309
451.843	145.207
453.912	143.077
456.015	140.915
458.153	138.720
460.327	136.488
462.538	134.216
464.788	131.902
467.076	129.542
469.405	127.135
471.775	124.676
474.184	122.171
476.626	119.627
479.097	117.053
481.590	114.458
484.101	111.851
486.624	109.241
489.154	106.636
491.686	104.046
494.214	101.479
496.734	98.945
499.238	96.452
501.724	94.008
504.184	91.624
506.614	89.307
509.008	87.066
511.361	84.911
513.668	82.851
515.924	80.893
518.123	79.047
520.259	77.322
522.328	75.727
524.324	74.270
526.244	72.956
528.094	71.780
529.876	70.733
531.598	69.810
533.263	69.002
534.877	68.302
536.445	67.703
537.972	67.198
539.462	66.779
540.922	66.438
542.356	66.170
543.769	65.966
545.162	65.825
546.524	65.762
547.844	65.793
549.111	65.933
550.313	66.200
551.438	66.608
552.476	67.175
553.413	67.917
554.244	68.843
554.978	69.935
555.634	71.163
556.230	72.498
556.784	73.910
557.314	75.371
557.838	76.849
558.373	78.317
558.938	79.745
559.550	81.103
560.222	82.372
560.949	83.563
561.721	84.694
562.528	85.783
563.363	86.847
564.216	87.903
565.078	88.971
565.940	90.067
566.792	91.209
567.626	92.412
568.436	93.675
569.215	94.987
569.960	96.337
570.664	97.713
571.322	99.105
571.929	100.501
572.479	101.892
572.967	103.265
573.389	104.609
573.739	105.916
574.018	107.190
574.234	108.444
574.392	109.693
574.497	110.950
574.555	112.228
574.572	113.542
574.554	114.905
574.507	116.330
574.436	117.830
574.340	119.405
574.221	121.051
574.075	122.767
573.903	124.547
573.703	126.390
573.475	128.292
573.217	130.249
572.928	132.259
572.608	134.318
572.255	136.422
571.870	138.570
571.449	140.757
570.994	142.980
570.506	145.233
569.986	147.511
569.437	149.807
568.860	152.116
568.258	154.432
567.632	156.750
566.984	159.063
566.315	161.366
565.629	163.653
564.926	165.919
564.209	168.157
563.479	170.362
562.739	172.528
561.990	174.650
561.234	176.721
560.473	178.738
559.708	180.700
558.940	182.606
558.172	184.457
557.404	186.251
556.639	187.988
555.877	189.667
555.119	191.289
554.369	192.851
553.625	194.355
552.892	195.799
552.168	197.183
551.457	198.507
550.751	199.772
550.043	200.981
549.325	202.137
548.587	203.243
547.823	204.302
547.023	205.316
546.180	206.289
545.285	207.222
544.329	208.120
543.309	208.983
542.220	209.811
541.058	210.606
539.821	211.369
538.505	212.098
537.107	212.796
535.622	213.462
534.048	214.098
532.382	214.704
530.619	215.280
528.761	215.829
526.815	216.352
524.787	216.851
522.682	217.331
520.508	217.792
518.270	218.237
515.975	218.669
513.629	219.091
511.238	219.504
508.809	219.911
506.348	220.316
503.862	220.719
501.356	221.124
498.837	221.533
496.311	221.948
493.783	222.373
491.257	222.806
488.732	223.247
486.210	223.695
483.691	224.151
481.175	224.612
478.664	225.079
476.159	225.551
473.659	226.027
471.167	226.506
468.682	226.988
466.205	227.473
463.737	227.959
461.279	228.446
458.831	228.933
456.395	229.420
453.971	229.906
451.559	230.389
449.161	230.869
446.778	231.341
444.409	231.804
442.057	232.254
439.722	232.688
437.404	233.103
435.105	233.497
432.825	233.866
430.566	234.208
428.328	234.520
426.111	234.798
423.918	235.041
421.748	235.245
419.602	235.407
417.482	235.525
415.389	235.598
413.327	235.636
411.299	235.646
409.311	235.638
407.367	235.620
405.469	235.602
403.623	235.591
401.833	235.597
400.101	235.628
398.434	235.693
396.834	235.801
395.306	235.960
393.854	236.175
392.494	236.412
391.241	236.621
390.114	236.753
389.131	236.757
388.308	236.583
387.664	236.182
387.213	235.508
386.942	234.581
386.823	233.456
386.825	232.191
386.918	230.843
387.073	229.468
387.258	228.125
387.445	226.870
387.605	225.755
387.721	224.775
387.785	223.888
387.788	223.052
387.723	222.225
387.581	221.367
387.356	220.436
387.069	219.424
386.763	218.346
386.483	217.217
386.272	216.052
386.176	214.868
386.237	213.678
386.500	212.500
