X	Y
387.500	235.000
388.457	234.289
389.753	233.680
391.364	233.165
393.262	232.735
395.420	232.380
397.812	232.090
400.411	231.858
403.192	231.673
406.126	231.527
409.188	231.410
412.351	231.312
415.589	231.226
418.874	231.141
422.181	231.049
425.482	230.939
428.752	230.804
431.963	230.634
435.089	230.419
438.116	230.157
441.050	229.856
443.895	229.523
446.658	229.167
449.345	228.795
451.962	228.416
454.514	228.037
457.009	227.666
459.452	227.312
461.848	226.983
464.205	226.686
466.527	226.429
468.822	226.221
471.094	226.070
473.350	225.983
475.597	225.969
477.839	226.035
480.082	226.183
482.326	226.409
484.572	226.704
486.821	227.064
489.074	227.481
491.333	227.948
493.599	228.461
495.872	229.011
498.153	229.593
500.444	230.200
502.745	230.826
505.059	231.464
507.384	232.108
509.724	232.751
512.078	233.388
514.447	234.012
516.823	234.627
519.195	235.240
521.553	235.858
523.885	236.488
526.182	237.136
528.432	237.811
530.625	238.518
532.750	239.265
534.796	240.059
536.752	240.906
538.607	241.814
540.352	242.789
541.974	243.839
543.464	244.970
544.813	246.188
546.026	247.491
547.112	248.877
548.079	250.341
548.935	251.881
549.687	253.494
550.345	255.176
550.917	256.925
551.410	258.737
551.833	260.608
552.195	262.536
552.502	264.517
552.764	266.547
552.981	268.616
553.157	270.711
553.294	272.821
553.392	274.933
553.454	277.038
553.483	279.121
553.479	281.172
553.444	283.179
553.382	285.131
553.293	287.014
553.179	288.818
553.043	290.531
552.885	292.143
552.702	293.661
552.486	295.104
552.230	296.490
551.927	297.836
551.569	299.160
551.150	300.482
550.662	301.818
550.097	303.186
549.450	304.606
548.715	306.088
547.900	307.627
547.015	309.211
546.069	310.831
545.073	312.475
544.036	314.134
542.968	315.797
541.878	317.454
540.776	319.094
539.671	320.706
538.575	322.281
537.495	323.808
536.441	325.276
535.411	326.685
534.392	328.041
533.369	329.352
532.330	330.625
531.260	331.866
530.145	333.082
528.973	334.282
527.730	335.471
526.401	336.658
524.974	337.848
523.434	339.050
521.773	340.267
519.998	341.493
518.120	342.721
516.150	343.942
514.099	345.149
511.977	346.333
509.797	347.486
507.568	348.600
505.302	349.667
503.010	350.680
500.702	351.629
498.390	352.507
496.085	353.306
493.798	354.018
491.539	354.634
489.319	355.147
487.145	355.554
485.015	355.860
482.926	356.073
480.876	356.197
478.862	356.241
476.882	356.210
474.932	356.111
473.011	355.950
471.116	355.734
469.244	355.469
467.393	355.161
465.560	354.818
463.743	354.446
461.939	354.047
460.150	353.617
458.377	353.149
456.619	352.637
454.878	352.074
453.155	351.454
451.450	350.770
449.765	350.016
448.100	349.186
446.456	348.273
444.834	347.270
443.234	346.171
441.658	344.971
440.104	343.673
438.568	342.284
437.050	340.810
435.547	339.258
434.056	337.635
432.575	335.948
431.101	334.201
429.633	332.404
428.168	330.561
426.704	328.680
425.237	326.767
423.767	324.829
422.291	322.873
420.806	320.904
419.310	318.930
417.808	316.953
416.305	314.977
414.806	313.002
413.319	311.030
411.848	309.065
410.399	307.108
408.979	305.161
407.593	303.226
406.246	301.305
404.946	299.401
403.698	297.515
402.507	295.650
401.379	293.807
400.321	291.989
399.338	290.197
398.433	288.434
397.599	286.702
396.829	285.003
396.117	283.338
395.454	281.710
394.834	280.119
394.250	278.570
393.693	277.062
393.157	275.598
392.635	274.180
392.119	272.810
391.604	271.489
391.094	270.212
390.598	268.970
390.126	267.755
389.688	266.558
389.294	265.371
388.953	264.185
388.675	262.992
388.469	261.783
388.339	260.554
388.274	259.307
388.260	258.048
388.284	256.782
388.333	255.512
388.393	254.245
388.452	252.984
388.495	251.734
388.510	250.499
388.492	249.280
388.439	248.075
388.347	246.882
388.215	245.699
388.040	244.525
387.819	243.358
387.550	242.196
387.237	241.039
386.924	239.898
386.673	238.790
386.543	237.730
386.597	236.735
386.896	235.819
387.500	235.000
