X	Y
350.000	256.000
350.383	254.663
350.909	253.267
351.571	251.816
352.365	250.311
353.283	248.756
354.319	247.153
355.468	245.505
356.723	243.813
358.078	242.081
359.528	240.311
361.065	238.505
362.684	236.666
364.378	234.797
366.142	232.900
367.969	230.977
369.853	229.032
371.789	227.066
373.769	225.082
375.789	223.082
377.840	221.070
379.919	219.047
382.018	217.016
384.134	214.980
386.265	212.937
388.409	210.891
390.566	208.840
392.734	206.787
394.911	204.732
397.097	202.677
399.289	200.620
401.486	198.565
403.686	196.511
405.890	194.460
408.094	192.411
410.297	190.367
412.498	188.328
414.696	186.295
416.890	184.268
419.077	182.249
421.256	180.238
423.426	178.237
425.586	176.245
427.733	174.265
429.868	172.296
431.987	170.341
434.090	168.398
436.176	166.470
438.242	164.558
440.288	162.661
442.312	160.781
444.315	158.919
446.300	157.076
448.268	155.251
450.223	153.446
452.166	151.660
454.100	149.896
456.027	148.153
457.950	146.432
459.871	144.733
461.793	143.058
463.717	141.406
465.646	139.779
467.583	138.177
469.530	136.600
471.489	135.050
473.463	133.526
475.454	132.030
477.464	130.562
479.496	129.123
481.552	127.713
483.634	126.332
485.745	124.983
487.888	123.664
490.064	122.378
492.272	121.125
494.508	119.910
496.767	118.736
499.045	117.607
501.335	116.528
503.635	115.501
505.939	114.531
508.241	113.621
510.539	112.775
512.826	111.997
515.098	111.290
517.350	110.659
519.578	110.107
521.776	109.638
523.941	109.256
526.066	108.964
528.148	108.766
530.182	108.666
532.163	108.668
534.086	108.775
535.947	108.992
537.740	109.320
539.460	109.754
541.100	110.286
542.654	110.910
544.117	111.616
545.482	112.398
546.742	113.249
547.893	114.160
548.927	115.125
549.839	116.136
550.622	117.184
551.270	118.264
551.777	119.367
552.138	120.485
552.355	121.617
552.445	122.764
552.424	123.929
552.307	125.116
552.111	126.326
551.851	127.563
551.544	128.830
551.205	130.129
550.852	131.463
550.499	132.836
550.163	134.249
549.859	135.705
549.595	137.206
549.370	138.749
549.180	140.334
549.024	141.957
548.899	143.618
548.804	145.314
548.736	147.044
548.693	148.807
548.673	150.600
548.674	152.422
548.693	154.271
548.729	156.145
548.779	158.043
548.842	159.963
548.914	161.903
548.994	163.862
549.080	165.837
549.169	167.826
549.259	169.826
549.348	171.834
549.433	173.847
549.512	175.862
549.582	177.876
549.641	179.885
549.687	181.888
549.717	183.881
549.729	185.860
549.720	187.824
549.689	189.769
549.632	191.691
549.548	193.589
549.434	195.459
549.287	197.298
549.106	199.103
548.887	200.871
548.631	202.603
548.341	204.304
548.017	205.979
547.663	207.631
547.281	209.266
546.873	210.889
546.441	212.505
545.988	214.117
545.515	215.731
545.025	217.351
544.520	218.983
544.003	220.631
543.475	222.299
542.940	223.993
542.398	225.717
541.853	227.476
541.305	229.271
540.750	231.097
540.186	232.948
539.608	234.819
539.013	236.703
538.398	238.595
537.759	240.489
537.092	242.380
536.395	244.261
535.663	246.126
534.893	247.971
534.082	249.789
533.226	251.574
532.321	253.321
531.365	255.024
530.353	256.677
529.282	258.274
528.148	259.810
526.950	261.279
525.685	262.683
524.357	264.023
522.965	265.302
521.510	266.524
519.995	267.689
518.419	268.802
516.784	269.864
515.090	270.879
513.340	271.847
511.534	272.773
509.673	273.659
507.758	274.507
505.790	275.319
503.770	276.099
501.699	276.849
499.579	277.571
497.410	278.268
495.193	278.943
492.931	279.597
490.624	280.232
488.277	280.848
485.893	281.445
483.475	282.024
481.026	282.585
478.548	283.128
476.046	283.653
473.523	284.162
470.980	284.654
468.423	285.129
465.853	285.589
463.274	286.032
460.689	286.461
458.102	286.874
455.514	287.273
452.930	287.658
450.353	288.028
447.786	288.385
445.231	288.728
442.692	289.059
440.173	289.377
437.675	289.682
435.204	289.976
432.760	290.258
430.344	290.527
427.954	290.781
425.591	291.019
423.252	291.239
420.937	291.440
418.644	291.620
416.372	291.777
414.121	291.910
411.890	292.017
409.676	292.098
407.480	292.149
405.300	292.169
403.134	292.158
400.983	292.113
398.845	292.032
396.719	291.915
394.603	291.759
392.497	291.563
390.400	291.326
388.310	291.046
386.228	290.721
384.157	290.356
382.102	289.957
380.070	289.530
378.066	289.080
376.095	288.614
374.164	288.136
372.277	287.654
370.441	287.172
368.660	286.697
366.942	286.234
365.290	285.790
363.711	285.370
362.211	284.980
360.795	284.625
359.468	284.313
358.236	284.047
357.105	283.833
356.075	283.653
355.146	283.485
354.315	283.303
353.584	283.084
352.950	282.804
352.413	282.438
351.972	281.962
351.624	281.361
351.360	280.648
351.171	279.842
351.046	278.963
350.977	278.030
350.951	277.061
350.961	276.077
350.996	275.096
351.045	274.134
351.101	273.193
351.155	272.268
351.199	271.354
351.224	270.448
351.221	269.544
351.183	268.638
351.101	267.727
350.967	266.804
350.780	265.867
350.559	264.910
350.324	263.928
350.095	262.918
349.893	261.875
349.739	260.794
349.652	259.670
349.653	258.500
349.762	257.278
350.000	256.000
