X	Y
350.000	282.000
351.156	281.286
352.539	280.698
354.134	280.230
355.929	279.876
357.909	279.627
360.059	279.478
362.367	279.422
364.816	279.451
367.395	279.560
370.088	279.741
372.882	279.987
375.762	280.293
378.714	280.650
381.725	281.053
384.780	281.494
387.866	281.967
390.967	282.465
394.071	282.981
397.163	283.508
400.229	284.040
403.257	284.571
406.249	285.103
409.204	285.635
412.125	286.170
415.013	286.709
417.870	287.253
420.696	287.805
423.493	288.364
426.264	288.933
429.008	289.513
431.729	290.105
434.426	290.710
437.102	291.331
439.759	291.968
442.397	292.624
445.018	293.298
447.623	293.993
450.215	294.710
452.794	295.450
455.361	296.215
457.920	297.007
460.470	297.826
463.012	298.674
465.544	299.552
468.061	300.462
470.556	301.406
473.025	302.385
475.461	303.401
477.861	304.455
480.219	305.549
482.529	306.684
484.786	307.862
486.984	309.085
489.120	310.353
491.186	311.670
493.178	313.035
495.091	314.451
496.920	315.919
498.658	317.441
500.301	319.018
501.844	320.653
503.280	322.345
504.608	324.096
505.831	325.902
506.952	327.759
507.974	329.662
508.902	331.608
509.740	333.592
510.490	335.610
511.157	337.658
511.745	339.733
512.256	341.829
512.696	343.943
513.067	346.072
513.373	348.209
513.618	350.353
513.806	352.497
513.941	354.639
514.025	356.775
514.062	358.901
514.052	361.019
513.996	363.130
513.894	365.233
513.747	367.330
513.554	369.422
513.317	371.509
513.035	373.592
512.710	375.672
512.342	377.749
511.930	379.825
511.477	381.899
510.982	383.973
510.445	386.047
509.867	388.123
509.249	390.200
508.590	392.279
507.890	394.357
507.147	396.425
506.356	398.476
505.517	400.503
504.627	402.497
503.683	404.453
502.682	406.361
501.623	408.214
500.503	410.006
499.319	411.728
498.068	413.372
496.749	414.932
495.359	416.400
493.895	417.768
492.356	419.029
490.737	420.174
489.041	421.204
487.277	422.131
485.456	422.971
483.589	423.741
481.687	424.457
479.760	425.134
477.821	425.789
475.879	426.438
473.945	427.098
472.031	427.783
470.148	428.510
468.306	429.296
466.516	430.156
464.789	431.107
463.137	432.164
461.570	433.344
460.092	434.649
458.697	436.059
457.374	437.551
456.116	439.102
454.914	440.691
453.759	442.293
452.642	443.887
451.555	445.449
450.488	446.956
449.434	448.387
448.384	449.717
447.329	450.925
446.259	451.987
445.167	452.881
444.045	453.587
442.896	454.107
441.725	454.450
440.538	454.624
439.342	454.640
438.141	454.506
436.942	454.232
435.751	453.828
434.573	453.301
433.415	452.663
432.277	451.926
431.153	451.107
430.039	450.224
428.930	449.294
427.820	448.334
426.706	447.362
425.581	446.396
424.440	445.451
423.279	444.547
422.093	443.699
420.877	442.927
419.626	442.237
418.342	441.615
417.024	441.041
415.675	440.493
414.295	439.952
412.885	439.397
411.446	438.808
409.979	438.164
408.485	437.445
406.965	436.631
405.419	435.701
403.850	434.634
402.258	433.412
400.646	432.029
399.018	430.497
397.381	428.828
395.737	427.034
394.094	425.129
392.455	423.123
390.825	421.031
389.210	418.863
387.615	416.633
386.044	414.353
384.502	412.035
382.995	409.693
381.526	407.337
380.103	404.980
378.728	402.636
377.407	400.316
376.146	398.033
374.949	395.799
373.820	393.627
372.766	391.528
371.787	389.509
370.878	387.562
370.030	385.678
369.237	383.845
368.493	382.056
367.790	380.301
367.121	378.569
366.478	376.851
365.856	375.138
365.247	373.421
364.643	371.689
364.038	369.933
363.426	368.143
362.798	366.310
362.147	364.425
361.469	362.479
360.762	360.478
360.033	358.434
359.284	356.361
358.519	354.270
357.744	352.173
356.962	350.084
356.177	348.014
355.393	345.975
354.615	343.981
353.846	342.043
353.091	340.174
352.354	338.387
351.639	336.692
350.951	335.104
350.292	333.634
349.668	332.294
349.081	331.075
348.533	329.953
348.026	328.903
347.562	327.897
347.141	326.911
346.767	325.918
346.441	324.894
346.164	323.811
345.939	322.646
345.765	321.385
345.638	320.040
345.554	318.625
345.510	317.154
345.501	315.642
345.523	314.101
345.572	312.545
345.645	310.990
345.736	309.447
345.843	307.932
345.961	306.458
346.086	305.038
346.214	303.671
346.343	302.350
346.469	301.064
346.589	299.805
346.700	298.566
346.799	297.336
346.882	296.108
346.946	294.872
346.988	293.621
347.006	292.345
347.013	291.049
347.035	289.750
347.101	288.465
347.239	287.210
347.478	286.004
347.846	284.863
348.369	283.803
349.078	282.844
350.000	282.000
