X	Y
10.140	4.743
10.158	4.717
10.178	4.691
10.199	4.666
10.222	4.641
10.246	4.617
10.272	4.593
10.299	4.569
10.327	4.546
10.357	4.523
10.388	4.501
10.420	4.478
10.454	4.456
10.488	4.434
10.523	4.412
10.559	4.391
10.597	4.369
10.635	4.347
10.673	4.326
10.713	4.304
10.753	4.282
10.794	4.260
10.835	4.238
10.877	4.216
10.919	4.194
10.962	4.171
11.005	4.148
11.048	4.125
11.092	4.101
11.135	4.077
11.179	4.053
11.224	4.028
11.268	4.003
11.313	3.978
11.357	3.952
11.402	3.927
11.447	3.901
11.492	3.874
11.537	3.848
11.583	3.821
11.628	3.794
11.674	3.767
11.719	3.740
11.765	3.712
11.810	3.684
11.856	3.657
11.901	3.629
11.947	3.600
11.992	3.572
12.038	3.544
12.083	3.515
12.129	3.487
12.174	3.458
12.219	3.429
12.264	3.400
12.309	3.372
12.354	3.343
12.398	3.314
12.443	3.285
12.487	3.256
12.531	3.227
12.575	3.198
12.619	3.169
12.662	3.140
12.705	3.111
12.748	3.082
12.791	3.053
12.834	3.025
12.876	2.996
12.919	2.968
12.961	2.939
13.003	2.911
13.045	2.883
13.087	2.855
13.129	2.827
13.171	2.800
13.213	2.772
13.254	2.745
13.296	2.718
13.338	2.691
13.379	2.665
13.421	2.639
13.463	2.613
13.504	2.587
13.546	2.562
13.588	2.537
13.630	2.512
13.672	2.487
13.714	2.463
13.756	2.439
13.799	2.416
13.841	2.393
13.883	2.370
13.926	2.348
13.969	2.326
14.012	2.305
14.055	2.284
14.099	2.263
14.142	2.243
14.186	2.223
14.230	2.203
14.274	2.184
14.319	2.165
14.363	2.146
14.408	2.127
14.453	2.109
14.498	2.091
14.544	2.073
14.590	2.056
14.636	2.038
14.682	2.021
14.728	2.004
14.775	1.987
14.822	1.970
14.869	1.954
14.917	1.937
14.965	1.920
15.013	1.904
15.061	1.887
15.110	1.871
15.159	1.855
15.208	1.838
15.258	1.822
15.308	1.805
15.358	1.788
15.408	1.772
15.459	1.755
15.510	1.738
15.562	1.721
15.614	1.704
15.666	1.687
15.718	1.670
15.771	1.653
15.823	1.636
15.876	1.619
15.930	1.602
15.983	1.585
16.036	1.568
16.090	1.552
16.144	1.535
16.197	1.519
16.251	1.503
16.305	1.488
16.359	1.472
16.413	1.457
16.467	1.442
16.521	1.428
16.575	1.413
16.629	1.400
16.682	1.386
16.736	1.373
16.789	1.361
16.843	1.349
16.896	1.338
16.949	1.327
17.001	1.316
17.054	1.306
17.106	1.297
17.158	1.289
17.210	1.281
17.261	1.274
17.313	1.267
17.363	1.261
17.414	1.256
17.464	1.252
17.513	1.249
17.562	1.246
17.611	1.244
17.659	1.244
17.706	1.244
17.752	1.246
17.798	1.248
17.843	1.252
17.887	1.257
17.929	1.263
17.971	1.270
18.012	1.279
18.052	1.289
18.090	1.300
18.128	1.313
18.164	1.328
18.198	1.344
18.232	1.361
18.263	1.381
18.294	1.401
18.323	1.424
18.350	1.448
18.375	1.475
18.399	1.503
18.421	1.533
18.441	1.564
18.460	1.598
18.477	1.633
18.492	1.670
18.506	1.709
18.518	1.749
18.529	1.790
18.538	1.832
18.546	1.876
18.553	1.921
18.559	1.966
18.564	2.013
18.567	2.060
18.570	2.108
18.571	2.157
18.572	2.207
18.572	2.256
18.571	2.306
18.570	2.357
18.568	2.407
18.565	2.458
18.562	2.509
18.558	2.559
18.554	2.610
