X	Y
37.000	9.917
37.049	9.852
37.109	9.789
37.177	9.727
37.255	9.665
37.342	9.604
37.438	9.543
37.542	9.482
37.654	9.421
37.774	9.360
37.902	9.298
38.037	9.236
38.179	9.173
38.329	9.108
38.484	9.043
38.647	8.976
38.815	8.908
38.989	8.838
39.169	8.765
39.354	8.691
39.544	8.616
39.739	8.538
39.939	8.459
40.142	8.378
40.350	8.296
40.561	8.212
40.775	8.127
40.992	8.041
41.213	7.953
41.435	7.865
41.660	7.775
41.887	7.685
42.115	7.594
42.344	7.502
42.575	7.409
42.807	7.316
43.038	7.223
43.270	7.129
43.502	7.034
43.734	6.940
43.965	6.845
44.195	6.750
44.423	6.656
44.651	6.561
44.876	6.467
45.099	6.373
45.320	6.279
45.538	6.186
45.754	6.093
45.966	6.001
46.176	5.910
46.383	5.819
46.587	5.729
46.789	5.639
46.989	5.550
47.187	5.462
47.382	5.375
47.576	5.289
47.768	5.204
47.958	5.119
48.147	5.036
48.335	4.953
48.521	4.872
48.706	4.791
48.890	4.712
49.073	4.634
49.255	4.557
49.437	4.481
49.619	4.407
49.800	4.333
49.980	4.261
50.161	4.190
50.341	4.121
50.522	4.053
50.703	3.987
50.885	3.922
51.066	3.858
51.248	3.796
51.431	3.736
51.614	3.678
51.797	3.621
51.981	3.567
52.166	3.514
52.351	3.464
52.536	3.415
52.722	3.369
52.908	3.325
53.095	3.283
53.283	3.244
53.471	3.208
53.660	3.174
53.849	3.142
54.039	3.113
54.229	3.088
54.420	3.065
54.612	3.044
54.805	3.027
54.998	3.013
55.192	3.003
55.387	2.995
55.582	2.991
55.776	2.990
55.971	2.992
56.164	2.997
56.356	3.006
56.546	3.018
56.734	3.033
56.919	3.052
57.100	3.074
57.278	3.099
57.451	3.127
57.620	3.159
57.783	3.194
57.941	3.232
58.093	3.274
58.238	3.319
58.376	3.367
58.506	3.418
58.629	3.473
58.743	3.531
58.848	3.593
58.944	3.657
59.031	3.726
59.109	3.798
59.178	3.874
59.238	3.955
59.289	4.039
59.332	4.129
59.366	4.224
59.392	4.323
59.409	4.429
59.419	4.539
59.421	4.656
59.415	4.779
59.401	4.907
59.380	5.042
59.351	5.182
59.316	5.327
59.275	5.476
59.228	5.629
59.175	5.787
59.117	5.947
59.053	6.111
58.985	6.277
58.913	6.445
58.836	6.615
58.756	6.787
58.673	6.959
58.586	7.132
58.497	7.305
58.405	7.477
58.312	7.649
58.216	7.820
58.119	7.990
58.022	8.157
57.923	8.322
57.824	8.485
57.725	8.645
57.625	8.803
57.524	8.958
57.423	9.111
57.321	9.262
57.218	9.411
57.114	9.558
57.009	9.704
56.903	9.848
56.795	9.990
56.686	10.131
56.576	10.271
56.464	10.409
56.351	10.547
56.235	10.684
56.118	10.820
55.999	10.955
55.878	11.090
55.755	11.225
55.630	11.359
55.502	11.493
55.372	11.627
55.240	11.761
55.105	11.895
54.968	12.029
54.830	12.162
54.690	12.294
54.549	12.425
54.406	12.555
54.264	12.682
54.120	12.808
53.977	12.931
53.834	13.051
53.691	13.168
53.549	13.282
53.409	13.393
53.269	13.499
53.131	13.602
52.994	13.700
52.860	13.793
52.728	13.881
52.599	13.964
52.473	14.041
52.350	14.112
52.230	14.177
52.114	14.236
52.001	14.288
51.890	14.336
51.781	14.378
51.672	14.416
51.563	14.450
51.454	14.481
51.344	14.508
51.232	14.533
51.117	14.556
50.998	14.578
50.876	14.598
50.749	14.618
50.616	14.638
50.478	14.658
50.332	14.679
50.180	14.701
50.021	14.724
49.856	14.748
49.685	14.772
49.508	14.798
49.326	14.823
49.138	14.849
48.946	14.875
48.749	14.902
48.548	14.928
48.343	14.954
48.134	14.980
47.922	15.006
47.707	15.031
47.489	15.055
47.269	15.079
47.047	15.102
46.822	15.124
46.597	15.145
46.370	15.165
46.142	15.184
45.913	15.201
45.684	15.217
45.455	15.231
45.227	15.243
44.999	15.254
44.771	15.262
44.545	15.269
44.321	15.273
44.098	15.274
43.878	15.273
43.660	15.270
43.445	15.263
43.233	15.254
43.025	15.241
42.820	15.225
42.620	15.205
42.425	15.182
42.234	15.155
42.049	15.124
41.869	15.089
41.695	15.049
41.527	15.006
41.366	14.957
41.212	14.904
41.065	14.846
40.925	14.784
40.794	14.716
40.671	14.642
40.556	14.564
40.450	14.479
40.351	14.391
40.258	14.298
40.171	14.203
40.086	14.105
40.005	14.006
39.925	13.907
39.844	13.807
39.763	13.709
39.679	13.612
39.592	13.518
39.500	13.427
39.402	13.340
39.297	13.259
39.183	13.182
39.060	13.113
38.926	13.051
38.782	12.996
38.630	12.947
38.470	12.903
38.306	12.864
38.139	12.829
37.972	12.797
37.805	12.766
37.641	12.736
37.481	12.707
37.329	12.676
37.184	12.644
37.050	12.609
36.928	12.570
36.821	12.528
36.729	12.479
36.655	12.425
36.601	12.364
36.568	12.294
36.556	12.217
36.563	12.134
36.584	12.044
36.618	11.951
36.662	11.853
36.712	11.754
36.766	11.653
36.822	11.552
36.876	11.453
36.925	11.355
36.967	11.261
36.999	11.171
37.018	11.086
37.027	11.005
37.025	10.929
37.016	10.857
37.002	10.787
36.983	10.719
36.962	10.653
36.941	10.587
36.922	10.521
36.906	10.454
36.895	10.387
36.889	10.320
36.889	10.252
36.895	10.184
36.909	10.116
36.930	10.049
36.960	9.982
37.000	9.917
