X	Y
37.417	13.083
37.496	13.040
37.595	12.999
37.712	12.962
37.847	12.927
37.998	12.896
38.165	12.867
38.347	12.840
38.542	12.817
38.749	12.796
38.968	12.778
39.198	12.762
39.437	12.748
39.684	12.737
39.939	12.728
40.201	12.721
40.468	12.717
40.740	12.714
41.015	12.714
41.293	12.715
41.572	12.718
41.852	12.723
42.131	12.729
42.409	12.738
42.684	12.747
42.956	12.759
43.224	12.771
43.488	12.786
43.749	12.802
44.005	12.819
44.257	12.839
44.505	12.860
44.748	12.883
44.987	12.908
45.222	12.935
45.452	12.964
45.678	12.995
45.898	13.028
46.114	13.063
46.325	13.100
46.531	13.140
46.732	13.182
46.927	13.226
47.118	13.273
47.303	13.322
47.482	13.374
47.656	13.429
47.825	13.486
47.988	13.546
48.145	13.608
48.296	13.674
48.442	13.742
48.583	13.814
48.720	13.888
48.853	13.966
48.982	14.047
49.107	14.132
49.230	14.220
49.351	14.312
49.469	14.408
49.586	14.508
49.701	14.612
49.816	14.719
49.931	14.832
50.045	14.948
50.160	15.069
50.275	15.194
50.391	15.324
50.508	15.458
50.623	15.596
50.736	15.737
50.846	15.880
50.953	16.026
51.054	16.174
51.150	16.323
51.239	16.473
51.320	16.624
51.393	16.775
51.456	16.925
51.508	17.075
51.549	17.224
51.577	17.370
51.592	17.515
51.592	17.657
51.576	17.796
51.546	17.932
51.500	18.066
51.440	18.196
51.367	18.324
51.282	18.450
51.186	18.575
51.079	18.698
50.963	18.819
50.838	18.940
50.706	19.060
50.567	19.180
50.422	19.300
50.272	19.420
50.117	19.541
49.960	19.663
49.800	19.785
49.639	19.910
49.477	20.036
49.316	20.163
49.155	20.293
48.995	20.424
48.836	20.556
48.677	20.689
48.519	20.822
48.362	20.954
48.205	21.085
48.048	21.216
47.892	21.344
47.737	21.471
47.582	21.595
47.427	21.716
47.273	21.834
47.119	21.947
46.965	22.057
46.812	22.162
46.659	22.261
46.507	22.355
46.354	22.443
46.202	22.525
46.050	22.599
45.898	22.666
45.747	22.727
45.595	22.781
45.443	22.828
45.292	22.869
45.140	22.905
44.988	22.935
44.837	22.960
44.685	22.980
44.533	22.995
44.381	23.006
44.228	23.013
44.075	23.017
43.922	23.016
43.769	23.013
43.615	23.006
43.461	22.997
43.306	22.986
43.151	22.972
42.995	22.955
42.840	22.934
42.684	22.911
42.528	22.884
42.371	22.853
42.215	22.818
42.059	22.779
41.903	22.735
41.747	22.687
41.592	22.634
41.436	22.576
41.281	22.512
41.127	22.444
40.972	22.369
40.819	22.288
40.666	22.201
40.513	22.108
40.362	22.010
40.213	21.905
40.065	21.795
39.919	21.679
39.776	21.558
39.636	21.433
39.499	21.302
39.365	21.168
39.235	21.028
39.110	20.885
38.989	20.738
38.873	20.587
38.762	20.432
38.657	20.274
38.558	20.113
38.465	19.949
38.378	19.783
38.299	19.614
38.227	19.442
38.162	19.269
38.104	19.094
38.051	18.918
38.004	18.741
37.962	18.565
37.923	18.388
37.888	18.212
37.855	18.038
37.824	17.865
37.794	17.694
37.765	17.526
37.735	17.361
37.705	17.200
37.673	17.043
37.639	16.890
37.602	16.742
37.561	16.599
37.517	16.462
37.467	16.332
37.413	16.208
37.356	16.089
37.297	15.976
37.238	15.868
37.180	15.765
37.125	15.666
37.073	15.571
37.026	15.479
36.985	15.391
36.952	15.305
36.927	15.221
36.913	15.139
36.909	15.059
36.915	14.979
36.928	14.900
36.948	14.821
36.972	14.741
36.999	14.660
37.029	14.577
37.059	14.492
37.087	14.404
37.114	14.312
37.138	14.219
37.160	14.124
37.180	14.029
37.197	13.934
37.212	13.841
37.225	13.750
37.236	13.661
37.244	13.577
37.250	13.498
37.254	13.425
37.260	13.356
37.270	13.293
37.287	13.235
37.315	13.180
37.357	13.130
37.417	13.083
