X,Y
55.592,39.224
55.622,39.177
55.658,39.129
55.701,39.079
55.752,39.027
55.808,38.974
55.871,38.920
55.940,38.865
56.015,38.808
56.096,38.751
56.181,38.693
56.272,38.634
56.368,38.575
56.468,38.515
56.572,38.455
56.681,38.394
56.793,38.334
56.909,38.273
57.029,38.212
57.151,38.152
57.277,38.091
57.405,38.031
57.535,37.972
57.668,37.913
57.802,37.855
57.938,37.797
58.076,37.741
58.214,37.685
58.354,37.631
58.494,37.578
58.635,37.526
58.776,37.475
58.917,37.426
59.058,37.379
59.198,37.333
59.337,37.290
59.475,37.248
59.613,37.208
59.749,37.170
59.885,37.134
60.019,37.099
60.153,37.066
60.286,37.035
60.418,37.006
60.550,36.977
60.680,36.951
60.811,36.925
60.940,36.901
61.069,36.878
61.198,36.856
61.326,36.836
61.454,36.816
61.581,36.798
61.709,36.780
61.836,36.763
61.962,36.747
62.089,36.732
62.215,36.717
62.341,36.703
62.468,36.690
62.594,36.677
62.720,36.664
62.846,36.652
62.973,36.640
63.100,36.628
63.227,36.617
63.354,36.605
63.481,36.594
63.609,36.583
63.737,36.571
63.866,36.559
63.995,36.548
64.125,36.536
64.255,36.523
64.386,36.510
64.517,36.497
64.649,36.484
64.782,36.470
64.915,36.456
65.049,36.442
65.183,36.428
65.318,36.413
65.453,36.399
65.589,36.384
65.725,36.370
65.861,36.355
65.998,36.341
66.135,36.327
66.273,36.313
66.411,36.299
66.549,36.286
66.687,36.272
66.826,36.260
66.965,36.248
67.104,36.236
67.243,36.225
67.382,36.214
67.522,36.204
67.661,36.194
67.801,36.186
67.941,36.178
68.081,36.171
68.221,36.164
68.361,36.159
68.500,36.154
68.640,36.151
68.780,36.148
68.920,36.147
69.059,36.147
69.199,36.147
69.338,36.149
69.477,36.153
69.616,36.157
69.755,36.163
69.893,36.170
70.031,36.179
70.169,36.189
70.307,36.200
70.444,36.213
70.581,36.228
70.718,36.243
70.855,36.260
70.992,36.279
71.128,36.299
71.264,36.321
71.399,36.343
71.535,36.368
71.670,36.394
71.804,36.421
71.939,36.450
72.073,36.480
72.207,36.511
72.341,36.545
72.474,36.579
72.608,36.615
72.741,36.653
72.873,36.692
73.005,36.733
73.138,36.775
73.269,36.818
73.401,36.863
73.532,36.910
73.663,36.958
73.793,37.008
73.924,37.059
74.054,37.111
74.183,37.166
74.313,37.221
74.442,37.279
74.571,37.338
74.699,37.398
74.827,37.460
74.955,37.523
75.083,37.588
75.210,37.655
75.337,37.723
75.464,37.793
75.590,37.864
75.716,37.937
75.841,38.011
75.966,38.086
76.090,38.163
76.213,38.241
76.336,38.321
76.459,38.402
76.580,38.483
76.701,38.567
76.821,38.651
76.940,38.736
77.059,38.823
77.176,38.910
77.292,38.999
77.408,39.088
77.522,39.179
77.636,39.270
77.748,39.362
77.859,39.455
77.969,39.549
78.078,39.644
78.185,39.739
78.291,39.835
78.396,39.932
78.500,40.029
78.602,40.127
78.702,40.226
78.801,40.325
78.899,40.425
78.995,40.525
79.089,40.626
79.182,40.726
79.273,40.828
79.362,40.929
79.450,41.031
79.535,41.134
79.619,41.236
79.701,41.339
79.781,41.441
79.859,41.544
79.935,41.648
80.009,41.751
80.081,41.854
80.151,41.958
80.219,42.061
80.284,42.165
80.348,42.269
80.409,42.373
80.468,42.477
80.524,42.581
80.578,42.685
80.630,42.789
80.679,42.893
80.726,42.998
80.771,43.102
80.813,43.206
80.852,43.311
80.889,43.415
80.923,43.519
80.954,43.624
80.983,43.728
81.009,43.833
81.032,43.937
81.053,44.041
81.070,44.145
81.085,44.250
81.097,44.354
81.106,44.458
81.112,44.562
81.115,44.666
81.115,44.770
81.111,44.873
81.105,44.977
81.096,45.081
81.084,45.184
81.070,45.288
81.053,45.391
81.034,45.495
81.012,45.598
80.988,45.702
80.962,45.805
80.933,45.909
80.903,46.012
80.871,46.116
80.838,46.220
80.802,46.324
80.765,46.428
80.727,46.532
80.687,46.636
80.646,46.741
80.604,46.845
80.561,46.950
80.517,47.055
80.473,47.161
80.427,47.266
80.381,47.372
80.334,47.478
80.287,47.584
80.240,47.691
80.192,47.798
80.144,47.905
80.097,48.013
80.049,48.121
80.002,48.229
79.954,48.338
79.907,48.447
79.859,48.556
79.812,48.665
79.764,48.775
79.716,48.884
79.667,48.994
79.618,49.104
79.569,49.214
79.519,49.324
79.468,49.434
79.416,49.543
79.364,49.653
79.311,49.762
79.257,49.872
79.201,49.981
79.145,50.090
79.088,50.198
79.029,50.306
78.968,50.414
78.907,50.521
78.844,50.628
78.779,50.735
78.712,50.840
78.644,50.946
