X,Y
62.311,29.348
62.336,29.268
62.366,29.186
62.399,29.101
62.437,29.014
62.480,28.925
62.526,28.834
62.576,28.741
62.630,28.647
62.688,28.551
62.749,28.453
62.813,28.353
62.881,28.253
62.951,28.151
63.025,28.048
63.101,27.944
63.180,27.838
63.261,27.732
63.345,27.626
63.431,27.518
63.519,27.410
63.609,27.302
63.701,27.193
63.794,27.084
63.889,26.975
63.986,26.866
64.083,26.756
64.182,26.647
64.282,26.539
64.382,26.430
64.484,26.322
64.586,26.215
64.688,26.108
64.790,26.002
64.893,25.897
64.995,25.793
65.098,25.689
65.201,25.587
65.303,25.486
65.406,25.385
65.508,25.286
65.611,25.187
65.713,25.089
65.816,24.992
65.919,24.895
66.022,24.799
66.125,24.704
66.228,24.610
66.331,24.516
66.434,24.423
66.537,24.331
66.641,24.239
66.745,24.147
66.848,24.056
66.952,23.966
67.057,23.876
67.161,23.786
67.266,23.697
67.371,23.608
67.476,23.519
67.581,23.431
67.687,23.343
67.793,23.255
67.899,23.168
68.006,23.080
68.113,22.993
68.220,22.906
68.328,22.819
68.436,22.733
68.544,22.646
68.653,22.559
68.762,22.472
68.872,22.386
68.982,22.299
69.092,22.212
69.203,22.125
69.314,22.038
69.426,21.951
69.538,21.865
69.650,21.778
69.763,21.691
69.876,21.604
69.989,21.517
70.103,21.431
70.217,21.344
70.332,21.258
70.446,21.171
70.561,21.085
70.677,20.999
70.792,20.913
70.908,20.827
71.024,20.742
71.140,20.656
71.257,20.571
71.374,20.486
71.491,20.401
71.608,20.317
71.726,20.232
71.843,20.148
71.961,20.065
72.079,19.981
72.198,19.898
72.316,19.815
72.435,19.732
72.553,19.650
72.672,19.568
72.791,19.487
72.910,19.406
73.029,19.325
73.149,19.245
73.268,19.165
73.387,19.085
73.507,19.006
73.627,18.927
73.746,18.849
73.866,18.771
73.986,18.693
74.107,18.616
74.227,18.539
74.348,18.462
74.469,18.385
74.590,18.309
74.711,18.232
74.833,18.156
74.955,18.080
75.078,18.004
75.201,17.928
75.324,17.852
75.448,17.776
75.572,17.700
75.696,17.623
75.821,17.547
75.947,17.471
76.073,17.394
76.199,17.317
76.326,17.240
76.454,17.163
76.582,17.085
76.711,17.007
76.841,16.929
76.971,16.851
77.102,16.772
77.233,16.692
77.365,16.612
77.498,16.532
77.632,16.451
77.767,16.370
77.902,16.288
78.038,16.206
78.175,16.123
78.313,16.039
78.452,15.954
78.592,15.869
78.732,15.784
78.873,15.697
79.016,15.610
79.159,15.523
79.302,15.435
79.447,15.347
79.592,15.259
79.738,15.170
79.885,15.081
80.032,14.992
80.180,14.902
80.329,14.813
80.478,14.724
80.627,14.634
80.778,14.545
80.928,14.456
81.079,14.367
81.231,14.278
81.383,14.190
81.536,14.102
81.689,14.014
81.842,13.927
81.995,13.841
82.149,13.755
82.303,13.669
82.458,13.584
82.612,13.500
82.767,13.417
82.922,13.334
83.077,13.253
83.233,13.172
83.388,13.092
83.543,13.014
83.699,12.936
83.855,12.859
84.010,12.784
84.166,12.710
84.321,12.637
84.477,12.566
84.632,12.496
84.787,12.427
84.943,12.360
85.098,12.295
85.252,12.231
85.407,12.169
85.561,12.108
85.715,12.049
85.869,11.992
86.023,11.937
86.176,11.883
86.329,11.831
86.483,11.780
86.635,11.731
86.788,11.683
86.941,11.636
87.093,11.591
87.246,11.548
87.398,11.506
87.550,11.464
87.702,11.425
87.854,11.386
88.007,11.349
88.159,11.312
88.311,11.277
88.463,11.243
88.615,11.210
88.767,11.178
88.919,11.146
89.071,11.116
89.223,11.087
89.376,11.058
89.528,11.030
89.681,11.003
89.833,10.977
89.986,10.952
90.139,10.927
90.292,10.902
90.445,10.879
90.599,10.855
90.753,10.833
90.907,10.811
91.061,10.789
91.215,10.768
91.370,10.747
91.525,10.726
91.680,10.705
91.836,10.685
91.991,10.665
92.147,10.646
92.304,10.626
92.461,10.607
92.617,10.589
92.774,10.570
92.931,10.553
93.088,10.535
93.245,10.519
93.402,10.503
93.559,10.488
93.715,10.474
93.871,10.461
94.027,10.449
94.183,10.438
94.338,10.427
94.493,10.419
94.647,10.411
94.801,10.405
94.954,10.400
95.106,10.396
95.257,10.395
95.408,10.394
95.558,10.396
95.707,10.399
95.856,10.403
96.003,10.410
96.149,10.419
96.294,10.429
96.438,10.442
96.581,10.457
96.722,10.474
96.862,10.493
97.001,10.514
97.138,10.538
97.274,10.564
97.409,10.593
97.542,10.624
97.673,10.659
97.803,10.695
97.931,10.735
98.057,10.777
98.181,10.822
98.304,10.870
98.424,10.921
98.543,10.974
98.660,11.030
98.776,11.088
98.889,11.149
99.001,11.213
99.111,11.278
99.219,11.346
99.325,11.417
99.429,11.490
99.531,11.564
99.632,11.642
99.730,11.721
99.827,11.802
99.921,11.885
100.014,11.971
100.105,12.058
100.194,12.147
100.281,12.238
100.366,12.331
100.449,12.425
100.530,12.521
100.609,12.619
100.686,12.718
100.761,12.819
100.834,12.922
100.905,13.025
100.974,13.131
101.040,13.237
101.105,13.345
101.168,13.454
101.229,13.565
101.287,13.676
101.344,13.789
101.399,13.902
101.451,14.017
101.502,14.133
101.550,14.249
101.597,14.367
101.641,14.485
101.684,14.604
101.725,14.723
101.764,14.843
101.800,14.964
101.835,15.085
101.868,15.207
101.899,15.329
101.929,15.452
101.956,15.575
101.981,15.698
102.005,15.821
102.027,15.945
102.047,16.068
102.065,16.192
102.081,16.316
102.096,16.440
102.109,16.563
102.120,16.687
102.129,16.810
102.136,16.933
102.142,17.056
102.146,17.178
102.148,17.300
102.149,17.422
102.148,17.543
102.145,17.663
102.140,17.783
102.134,17.903
102.126,18.023
102.117,18.142
102.105,18.261
102.092,18.379
102.077,18.498
102.061,18.616
102.043,18.735
102.022,18.853
102.001,18.971
101.977,19.090
101.952,19.208
101.925,19.327
101.896,19.446
101.865,19.565
101.833,19.685
101.799,19.804
101.763,19.925
101.725,20.045
101.686,20.166
101.644,20.288
101.601,20.410
101.556,20.533
101.510,20.656
101.461,20.781
101.411,20.906
101.359,21.031
101.305,21.158
101.249,21.285
101.191,21.413
101.131,21.543
101.070,21.673
101.007,21.804
100.942,21.936
100.876,22.069
100.808,22.203
100.738,22.337
100.668,22.472
100.595,22.608
100.522,22.744
100.447,22.881
100.372,23.019
100.295,23.156
100.217,23.294
100.138,23.433
100.059,23.571
99.979,23.710
99.898,23.849
99.816,23.988
99.734,24.127
99.651,24.266
99.568,24.405
99.485,24.544
99.401,24.683
99.318,24.821
99.234,24.960
99.150,25.098
99.066,25.235
98.982,25.372
98.898,25.509
98.815,25.645
98.732,25.780
98.649,25.915
98.566,26.049
98.485,26.183
98.403,26.315
98.323,26.447
98.243,26.578
98.164,26.708
98.086,26.837
98.009,26.964
97.932,27.091
97.857,27.217
97.783,27.341
97.710,27.464
97.638,27.586
97.567,27.706
97.497,27.826
97.428,27.944
97.359,28.061
97.291,28.177
97.223,28.292
97.156,28.406
97.089,28.518
97.022,28.630
96.956,28.740
96.890,28.849
96.823,28.957
96.757,29.064
96.691,29.169
96.624,29.274
96.557,29.378
96.490,29.480
96.422,29.582
96.354,29.682
96.286,29.781
96.216,29.880
96.146,29.977
96.075,30.073
96.003,30.168
95.930,30.262
95.856,30.355
95.781,30.447
95.705,30.538
95.627,30.628
95.548,30.717
95.468,30.806
95.386,30.893
95.302,30.979
95.218,31.064
95.131,31.149
95.044,31.232
94.955,31.315
94.865,31.397
94.774,31.478
94.681,31.559
94.588,31.639
94.494,31.718
94.399,31.797
94.303,31.875
94.206,31.953
94.109,32.030
94.011,32.107
93.912,32.184
93.813,32.260
93.713,32.336
93.613,32.411
93.513,32.487
93.412,32.562
93.311,32.637
93.210,32.712
93.108,32.786
93.007,32.861
92.906,32.936
92.805,33.010
92.704,33.085
92.603,33.160
92.502,33.235
92.402,33.310
92.302,33.385
92.202,33.461
92.103,33.536
92.005,33.612
91.906,33.688
91.808,33.764
91.710,33.840
91.612,33.915
91.514,33.990
91.415,34.065
91.317,34.139
91.218,34.212
91.118,34.285
91.018,34.357
90.918,34.428
90.817,34.498
90.715,34.566
90.612,34.634
90.508,34.700
90.403,34.765
90.297,34.828
90.190,34.890
90.082,34.950
89.972,35.008
89.861,35.065
89.748,35.119
89.634,35.171
89.518,35.221
89.400,35.269
89.280,35.314
89.158,35.357
89.034,35.398
88.908,35.435
88.780,35.470
88.649,35.502
88.516,35.531
88.381,35.557
88.243,35.581
88.103,35.601
87.961,35.619
87.817,35.634
87.671,35.647
87.523,35.657
87.374,35.665
87.222,35.671
87.069,35.674
86.915,35.675
86.759,35.674
86.602,35.671
86.443,35.666
86.284,35.659
86.123,35.651
85.961,35.641
85.798,35.629
85.634,35.615
85.470,35.600
85.305,35.584
85.139,35.566
84.973,35.547
84.806,35.527
84.639,35.505
84.472,35.483
84.304,35.460
84.137,35.436
83.969,35.410
83.802,35.385
83.634,35.358
83.467,35.331
83.300,35.304
83.134,35.276
82.968,35.247
82.802,35.219
82.637,35.190
82.473,35.161
82.310,35.132
82.148,35.102
81.986,35.073
81.826,35.045
81.667,35.016
81.509,34.988
81.352,34.960
81.196,34.932
81.041,34.904
80.887,34.877
80.734,34.851
80.582,34.825
80.431,34.799
80.281,34.774
80.132,34.749
79.983,34.725
79.835,34.701
79.688,34.678
79.542,34.655
79.396,34.634
79.251,34.612
79.106,34.592
78.963,34.572
78.819,34.553
