X	Y
359.000	210.000
359.349	208.742
359.785	207.520
360.306	206.326
360.909	205.156
361.589	204.002
362.345	202.858
363.173	201.719
364.070	200.579
365.034	199.430
366.060	198.267
367.147	197.084
368.291	195.874
369.488	194.631
370.737	193.350
372.034	192.023
373.376	190.645
374.759	189.210
376.183	187.717
377.647	186.168
379.151	184.566
380.693	182.915
382.275	181.217
383.895	179.475
385.553	177.693
387.249	175.873
388.982	174.018
390.753	172.132
392.560	170.217
394.403	168.276
396.282	166.313
398.197	164.330
400.147	162.330
402.132	160.317
404.151	158.293
406.204	156.261
408.291	154.224
410.412	152.186
412.565	150.149
414.751	148.116
416.970	146.090
419.220	144.075
421.502	142.073
423.815	140.087
426.159	138.121
428.533	136.177
430.938	134.258
433.371	132.365
435.831	130.500
438.316	128.662
440.823	126.851
443.349	125.067
445.894	123.310
448.453	121.580
451.026	119.878
453.610	118.202
456.203	116.553
458.802	114.931
461.405	113.337
464.009	111.769
466.614	110.229
469.216	108.715
471.812	107.229
474.402	105.769
476.982	104.337
479.551	102.931
482.105	101.553
484.643	100.202
487.163	98.878
489.662	97.580
492.138	96.310
494.588	95.067
497.011	93.851
499.405	92.661
501.766	91.499
504.092	90.364
506.383	89.256
508.634	88.175
510.844	87.121
513.013	86.096
515.139	85.102
517.222	84.141
519.262	83.216
521.258	82.328
523.210	81.479
525.116	80.673
526.978	79.910
528.793	79.194
530.563	78.525
532.285	77.908
533.961	77.343
535.588	76.832
537.167	76.379
538.698	75.985
540.179	75.652
541.611	75.383
542.992	75.179
544.322	75.043
545.602	74.977
546.835	74.977
548.030	75.030
549.198	75.127
550.347	75.255
551.487	75.404
552.628	75.561
553.779	75.716
554.950	75.858
556.149	75.974
557.388	76.055
558.674	76.087
560.018	76.060
561.429	75.963
562.911	75.792
564.455	75.555
566.055	75.263
567.703	74.925
569.389	74.552
571.107	74.154
572.847	73.740
574.603	73.320
576.366	72.905
578.127	72.504
579.880	72.128
581.615	71.786
583.325	71.489
585.001	71.246
586.637	71.067
588.223	70.963
589.751	70.943
591.214	71.017
592.606	71.194
593.928	71.473
595.181	71.856
596.369	72.344
597.491	72.935
598.552	73.632
599.551	74.434
600.492	75.341
601.376	76.355
602.205	77.475
602.981	78.702
603.706	80.036
604.382	81.478
605.011	83.028
605.594	84.686
606.133	86.445
606.630	88.300
607.087	90.244
607.504	92.270
607.883	94.373
608.226	96.546
608.535	98.782
608.811	101.075
609.055	103.419
609.270	105.807
609.456	108.233
609.615	110.690
609.749	113.172
609.859	115.673
609.947	118.186
610.014	120.704
610.062	123.222
610.093	125.732
610.107	128.229
610.108	130.706
610.095	133.157
610.071	135.575
610.037	137.953
609.994	140.286
609.945	142.569
609.886	144.803
609.817	146.991
609.737	149.134
609.643	151.235
609.534	153.297
609.408	155.321
609.264	157.309
609.100	159.264
608.915	161.189
608.707	163.084
608.474	164.954
608.216	166.799
607.929	168.622
607.613	170.425
607.267	172.210
606.887	173.981
606.474	175.738
606.025	177.485
605.539	179.223
605.015	180.954
604.449	182.681
603.842	184.400
603.191	186.111
602.495	187.809
601.752	189.492
600.961	191.157
600.120	192.802
599.227	194.423
598.281	196.018
597.280	197.585
596.223	199.120
595.107	200.621
593.932	202.085
592.696	203.509
591.397	204.891
590.033	206.227
588.604	207.515
587.106	208.753
585.540	209.937
583.902	211.064
582.194	212.134
580.418	213.148
578.578	214.109
576.681	215.020
574.730	215.883
572.730	216.702
570.685	217.480
568.600	218.219
566.480	218.922
564.329	219.592
562.151	220.232
559.953	220.845
557.737	221.433
555.509	222.000
553.273	222.548
551.033	223.080
548.796	223.599
546.564	224.108
544.342	224.610
542.136	225.107
539.950	225.603
537.788	226.100
535.654	226.601
533.555	227.109
531.491	227.626
529.459	228.152
527.456	228.686
525.478	229.228
523.520	229.778
521.580	230.334
519.652	230.896
517.734	231.465
515.821	232.040
513.910	232.619
511.997	233.203
510.077	233.792
508.147	234.384
506.203	234.980
504.242	235.578
502.259	236.179
500.250	236.782
498.212	237.387
496.141	237.993
494.033	238.599
491.884	239.206
489.689	239.812
487.447	240.418
485.157	241.021
482.824	241.620
480.449	242.210
478.039	242.791
475.594	243.360
473.120	243.914
470.619	244.451
468.096	244.968
465.553	245.463
462.995	245.933
460.424	246.376
457.845	246.790
455.260	247.172
452.674	247.519
450.090	247.829
447.511	248.100
444.941	248.329
442.383	248.514
439.841	248.652
437.319	248.741
434.819	248.778
432.346	248.761
429.903	248.688
427.494	248.556
425.122	248.362
422.790	248.104
420.502	247.780
418.260	247.392
416.064	246.944
413.915	246.441
411.813	245.889
409.759	245.291
407.753	244.652
405.796	243.976
403.889	243.270
402.031	242.536
400.224	241.780
398.468	241.007
396.764	240.221
395.112	239.427
393.513	238.629
391.966	237.832
390.474	237.041
389.036	236.261
387.652	235.496
386.324	234.751
385.052	234.030
383.836	233.338
382.670	232.677
381.549	232.048
380.467	231.453
379.418	230.894
378.396	230.372
377.394	229.890
376.408	229.447
375.431	229.047
374.456	228.690
373.479	228.378
372.493	228.113
371.493	227.896
370.479	227.720
369.459	227.566
368.443	227.418
367.437	227.258
366.450	227.070
365.491	226.835
364.568	226.536
363.689	226.157
362.861	225.679
362.094	225.086
361.394	224.363
360.766	223.516
360.210	222.561
359.728	221.509
359.322	220.376
358.994	219.174
358.744	217.917
358.576	216.620
358.489	215.295
358.487	213.957
358.570	212.620
358.741	211.296
359.000	210.000
