X	Y
361.000	223.000
362.238	222.415
363.642	221.848
365.205	221.300
366.920	220.771
368.780	220.262
370.776	219.773
372.902	219.304
375.150	218.857
377.512	218.430
379.982	218.026
382.551	217.644
385.213	217.285
387.960	216.950
390.785	216.638
393.680	216.350
396.637	216.086
399.651	215.848
402.712	215.635
405.813	215.448
408.948	215.288
412.109	215.154
415.287	215.048
418.477	214.970
421.671	214.919
424.860	214.897
428.039	214.905
431.198	214.942
434.332	215.009
437.433	215.105
440.503	215.231
443.540	215.383
446.545	215.560
449.519	215.760
452.461	215.982
455.372	216.224
458.252	216.484
461.102	216.761
463.921	217.053
466.711	217.357
469.470	217.673
472.200	217.998
474.900	218.332
477.572	218.671
480.214	219.015
482.829	219.362
485.414	219.709
487.972	220.057
490.503	220.401
493.005	220.742
495.481	221.077
497.929	221.404
500.351	221.722
502.746	222.029
505.115	222.323
507.458	222.603
509.776	222.867
512.068	223.113
514.334	223.343
516.571	223.562
518.779	223.776
520.954	223.990
523.096	224.210
525.202	224.440
527.270	224.688
529.298	224.957
531.285	225.253
533.227	225.582
535.125	225.949
536.974	226.360
538.775	226.821
540.524	227.335
542.219	227.910
543.859	228.550
545.443	229.261
546.966	230.048
548.429	230.917
549.829	231.874
551.164	232.921
552.434	234.058
553.638	235.277
554.778	236.575
555.852	237.945
556.861	239.382
557.805	240.881
558.684	242.436
559.497	244.043
560.246	245.695
560.930	247.387
561.548	249.115
562.102	250.872
562.590	252.653
563.014	254.453
563.372	256.267
563.666	258.088
563.895	259.913
564.058	261.734
564.158	263.550
564.196	265.360
564.175	267.163
564.097	268.960
563.964	270.750
563.778	272.532
563.542	274.307
563.258	276.073
562.929	277.832
562.557	279.583
562.143	281.325
561.691	283.058
561.202	284.781
560.679	286.496
560.124	288.201
559.540	289.895
558.929	291.580
558.292	293.254
557.633	294.917
556.952	296.570
556.247	298.214
555.517	299.849
554.761	301.475
553.977	303.095
553.165	304.709
552.323	306.317
551.449	307.921
550.543	309.521
549.603	311.119
548.628	312.714
547.616	314.308
546.567	315.902
545.478	317.497
544.350	319.093
543.179	320.691
541.966	322.293
540.709	323.898
539.406	325.509
538.057	327.124
536.661	328.745
535.223	330.367
533.743	331.991
532.223	333.613
530.666	335.232
529.074	336.846
527.449	338.452
525.793	340.050
524.108	341.636
522.396	343.209
520.659	344.767
518.900	346.309
517.120	347.831
515.321	349.332
513.506	350.811
511.677	352.265
509.836	353.692
507.985	355.090
506.125	356.458
504.260	357.793
502.391	359.094
500.520	360.358
498.650	361.583
496.782	362.769
494.916	363.914
493.052	365.023
491.187	366.096
489.321	367.137
487.453	368.148
485.581	369.130
483.705	370.087
481.822	371.020
479.932	371.933
478.034	372.827
476.126	373.704
474.207	374.567
472.277	375.419
470.333	376.261
468.374	377.096
466.400	377.926
464.409	378.753
462.400	379.581
460.372	380.410
458.323	381.245
456.252	382.085
454.159	382.935
452.042	383.796
449.905	384.663
447.751	385.531
445.584	386.396
443.408	387.250
441.228	388.090
439.047	388.910
436.868	389.703
434.697	390.466
432.536	391.193
430.390	391.877
428.262	392.515
426.157	393.100
424.078	393.626
422.030	394.090
420.016	394.485
418.040	394.806
416.106	395.047
414.219	395.203
412.381	395.269
410.597	395.240
408.870	395.109
407.206	394.872
405.602	394.529
404.054	394.085
402.557	393.545
401.105	392.915
399.694	392.201
398.318	391.407
396.971	390.539
395.649	389.602
394.347	388.603
393.059	387.547
391.780	386.438
390.504	385.283
389.227	384.087
387.943	382.855
386.648	381.593
385.335	380.306
384.000	379.000
382.638	377.678
381.255	376.342
379.853	374.988
378.440	373.616
377.018	372.223
375.595	370.809
374.173	369.371
372.760	367.908
371.359	366.419
369.975	364.901
368.615	363.353
367.282	361.774
365.981	360.162
364.719	358.515
363.499	356.832
362.327	355.111
361.207	353.350
360.146	351.548
359.147	349.704
358.216	347.815
357.359	345.880
356.578	343.898
355.875	341.870
355.243	339.802
354.678	337.696
354.173	335.558
353.723	333.393
353.323	331.204
352.966	328.997
352.648	326.775
352.363	324.545
352.106	322.309
351.870	320.072
351.651	317.840
351.443	315.616
351.240	313.405
351.037	311.211
350.828	309.040
350.608	306.895
350.372	304.782
350.113	302.704
349.827	300.666
349.507	298.673
349.148	296.729
348.746	294.839
348.301	293.001
347.819	291.212
347.306	289.469
346.767	287.766
346.209	286.099
345.637	284.466
345.057	282.861
344.475	281.280
343.897	279.720
343.328	278.177
342.774	276.646
342.241	275.123
341.735	273.605
341.262	272.087
340.828	270.565
340.437	269.036
340.097	267.494
339.812	265.937
339.586	264.366
339.418	262.785
339.309	261.199
339.259	259.612
339.270	258.030
339.340	256.456
339.472	254.894
339.666	253.350
339.921	251.828
340.238	250.333
340.619	248.869
341.062	247.440
341.570	246.051
342.142	244.707
342.778	243.411
343.479	242.169
344.239	240.981
345.046	239.842
345.892	238.751
346.765	237.704
347.655	236.699
348.551	235.733
349.445	234.803
350.324	233.905
351.179	233.038
352.000	232.199
352.776	231.383
353.496	230.590
354.152	229.815
354.742	229.056
355.289	228.315
355.816	227.590
356.349	226.883
356.911	226.192
357.526	225.519
358.218	224.863
359.012	224.224
359.931	223.603
361.000	223.000
