X,Y
353.333,178.000
353.712,177.076
354.260,176.061
354.963,174.963
355.808,173.793
356.781,172.561
357.866,171.276
359.050,169.948
360.319,168.586
361.659,167.201
363.054,165.801
364.493,164.397
365.959,162.999
367.439,161.615
368.927,160.248
370.425,158.898
371.932,157.559
373.450,156.229
374.981,154.906
376.526,153.586
378.085,152.266
379.660,150.943
381.252,149.615
382.863,148.279
384.492,146.930
386.143,145.568
387.815,144.187
389.511,142.787
391.230,141.362
392.975,139.912
394.743,138.438
396.532,136.944
398.339,135.434
400.162,133.913
401.998,132.384
403.843,130.852
405.697,129.321
407.555,127.795
409.415,126.278
411.274,124.774
413.130,123.287
414.980,121.822
416.822,120.383
418.652,118.974
420.468,117.598
422.267,116.261
424.047,114.966
425.806,113.716
427.546,112.509
429.272,111.341
430.987,110.209
432.695,109.108
434.400,108.036
436.105,106.989
437.814,105.964
439.530,104.956
441.258,103.963
443.002,102.980
444.764,102.005
446.548,101.033
448.359,100.062
450.201,99.087
452.075,98.105
453.984,97.115
455.925,96.119
457.896,95.118
459.896,94.113
461.922,93.104
463.973,92.094
466.046,91.084
468.140,90.074
470.252,89.067
472.381,88.062
474.524,87.062
476.681,86.068
478.848,85.081
481.024,84.102
483.207,83.132
485.394,82.173
487.585,81.225
489.777,80.291
491.971,79.370
494.165,78.463
496.359,77.571
498.554,76.695
500.749,75.836
502.945,74.994
505.139,74.169
507.334,73.363
509.528,72.575
511.720,71.808
513.912,71.061
516.103,70.336
518.292,69.632
520.479,68.951
522.664,68.293
524.847,67.658
527.028,67.049
529.208,66.464
531.388,65.903
533.571,65.366
535.759,64.852
537.955,64.360
540.160,63.890
542.376,63.442
544.607,63.014
546.853,62.606
549.118,62.218
551.402,61.848
553.710,61.498
556.042,61.165
558.401,60.849
560.789,60.550
563.208,60.268
565.660,60.001
568.147,59.749
570.663,59.512
573.203,59.291
575.761,59.085
578.330,58.896
580.905,58.722
583.479,58.565
586.047,58.424
588.602,58.300
591.140,58.193
593.652,58.102
596.135,58.030
598.581,57.975
600.984,57.937
603.339,57.918
