X,Y
353.333,191.667
354.387,191.057
355.578,190.495
356.898,189.975
358.342,189.495
359.901,189.049
361.569,188.635
363.339,188.247
365.203,187.882
367.154,187.535
369.185,187.203
371.290,186.881
373.460,186.566
375.690,186.253
377.971,185.939
380.297,185.618
382.660,185.288
385.054,184.943
387.472,184.582
389.912,184.205
392.371,183.812
394.847,183.405
397.338,182.985
399.841,182.552
402.354,182.108
404.874,181.653
407.399,181.189
409.928,180.717
412.456,180.237
414.983,179.751
417.505,179.259
420.021,178.763
422.527,178.263
425.023,177.760
427.504,177.256
429.969,176.751
432.416,176.247
434.842,175.744
437.244,175.243
439.621,174.746
441.970,174.253
444.294,173.765
446.595,173.284
448.875,172.810
451.138,172.345
453.388,171.889
455.626,171.444
457.855,171.010
460.079,170.590
462.301,170.183
464.523,169.790
466.749,169.414
468.981,169.055
471.222,168.714
473.475,168.392
475.743,168.090
478.030,167.809
480.337,167.551
482.668,167.316
485.026,167.105
487.414,166.920
489.832,166.761
492.278,166.630
494.751,166.529
497.248,166.459
499.767,166.421
502.306,166.416
504.864,166.447
507.437,166.513
510.025,166.618
512.625,166.762
515.234,166.946
517.852,167.172
520.475,167.441
523.102,167.755
525.731,168.115
528.360,168.523
530.986,168.979
533.608,169.485
536.224,170.044
538.831,170.655
541.428,171.320
544.012,172.041
546.581,172.820
549.131,173.654
551.653,174.540
554.142,175.477
556.591,176.461
558.991,177.488
561.337,178.556
563.620,179.662
565.835,180.803
567.974,181.976
570.030,183.178
571.996,184.406
573.865,185.656
575.630,186.926
577.284,188.214
578.820,189.515
580.231,190.827
581.510,192.147
582.649,193.472
583.643,194.799
584.483,196.125
585.175,197.452
585.728,198.784
586.154,200.127
586.463,201.485
586.667,202.864
586.777,204.268
586.803,205.703
586.757,207.172
586.650,208.682
586.492,210.237
586.295,211.841
586.070,213.501
585.827,215.220
585.567,216.998
585.290,218.832
584.991,220.719
584.668,222.656
584.318,224.639
583.940,226.665
583.529,228.731
583.084,230.834
582.602,232.971
582.080,235.139
581.516,237.334
580.906,239.553
580.248,241.794
579.540,244.052
578.779,246.326
577.962,248.611
577.087,250.904
576.150,253.203
575.150,255.504
574.086,257.805
572.962,260.105
571.781,262.401
570.545,264.693
569.259,266.979
567.924,269.257
566.545,271.527
565.124,273.786
563.665,276.034
562.171,278.268
560.644,280.488
559.088,282.692
557.506,284.877
555.901,287.044
554.276,289.191
552.635,291.315
550.980,293.416
549.315,295.492
547.643,297.542
545.967,299.563
544.289,301.556
542.614,303.518
540.944,305.448
539.281,307.344
537.624,309.208
535.970,311.039
534.319,312.837
532.668,314.603
531.017,316.338
529.362,318.040
527.703,319.712
526.039,321.352
524.366,322.961
522.684,324.540
520.990,326.088
519.284,327.606
517.564,329.095
515.827,330.553
514.073,331.983
512.299,333.383
510.504,334.755
508.686,336.098
506.844,337.413
504.975,338.700
503.082,339.958
501.166,341.187
499.230,342.386
497.278,343.552
495.313,344.686
493.336,345.786
491.352,346.852
489.364,347.881
487.373,348.874
485.383,349.828
483.397,350.743
481.418,351.619
479.449,352.453
477.493,353.244
475.553,353.992
473.631,354.696
471.730,355.355
469.854,355.966
468.005,356.531
466.184,357.047
464.385,357.514
462.604,357.933
460.837,358.304
459.078,358.626
457.322,358.899
455.565,359.124
453.802,359.300
452.028,359.428
450.239,359.506
448.429,359.536
446.595,359.517
444.730,359.449
442.830,359.332
440.891,359.165
438.907,358.950
436.878,358.685
434.809,358.370
432.707,358.003
430.580,357.584
428.434,357.112
426.276,356.585
424.113,356.003
421.952,355.364
419.801,354.668
417.665,353.913
415.553,353.099
413.470,352.224
411.425,351.288
409.424,350.289
407.473,349.227
405.580,348.100
403.753,346.907
401.997,345.648
400.320,344.322
398.726,342.928
397.213,341.469
395.776,339.951
394.409,338.377
393.107,336.751
391.864,335.078
390.677,333.363
389.539,331.609
388.446,329.820
387.393,328.001
386.373,326.157
385.383,324.291
384.417,322.408
383.469,320.512
382.535,318.607
381.610,316.698
380.688,314.788
379.765,312.883
378.834,310.986
377.896,309.100
376.949,307.227
375.995,305.367
375.035,303.522
374.070,301.693
373.100,299.881
372.128,298.088
371.152,296.315
370.176,294.563
369.198,292.833
368.221,291.127
367.245,289.446
366.270,287.791
365.299,286.164
364.332,284.565
363.369,282.996
362.412,281.458
361.461,279.952
360.520,278.474
359.589,277.020
358.673,275.584
357.773,274.162
356.891,272.750
356.031,271.343
355.195,269.936
354.385,268.524
353.604,267.103
352.854,265.667
352.138,264.213
351.459,262.736
350.817,261.230
350.217,259.691
349.659,258.120
349.137,256.524
348.646,254.916
348.181,253.305
347.735,251.702
347.304,250.118
346.881,248.564
346.461,247.050
346.040,245.588
345.610,244.187
345.167,242.858
344.704,241.613
344.217,240.462
343.701,239.414
343.161,238.461
342.613,237.580
342.073,236.749
341.557,235.943
341.079,235.139
340.656,234.315
340.304,233.445
340.037,232.508
339.870,231.483
339.800,230.372
339.818,229.188
339.915,227.942
340.083,226.647
340.312,225.314
340.594,223.956
340.920,222.584
341.280,221.211
341.666,219.849
342.070,218.509
342.481,217.205
342.894,215.941
343.306,214.716
343.715,213.529
344.119,212.378
344.516,211.259
344.902,210.172
345.277,209.113
345.637,208.081
345.980,207.073
346.305,206.088
346.609,205.124
346.896,204.177
347.171,203.247
347.437,202.332
347.701,201.430
347.965,200.538
348.236,199.656
348.517,198.780
348.813,197.910
349.135,197.047
349.496,196.197
349.912,195.364
350.397,194.556
350.967,193.776
351.637,193.031
352.420,192.326
353.333,191.667
