X	Y
356.500	180.000
356.906	179.291
357.442	178.629
358.090	177.998
358.833	177.383
359.655	176.768
360.538	176.137
361.466	175.474
362.422	174.765
363.388	173.994
364.348	173.144
365.287	172.203
366.205	171.173
367.107	170.062
367.998	168.876
368.884	167.625
369.769	166.317
370.659	164.958
371.559	163.557
372.475	162.123
373.411	160.662
374.373	159.183
375.366	157.694
376.396	156.202
377.467	154.716
378.585	153.243
379.756	151.791
380.983	150.368
382.268	148.973
383.611	147.605
385.010	146.260
386.466	144.936
387.977	143.630
389.542	142.340
391.162	141.063
392.836	139.797
394.563	138.538
396.342	137.284
398.173	136.033
400.055	134.783
401.987	133.529
403.970	132.270
406.001	131.003
408.082	129.726
410.210	128.436
412.386	127.130
414.608	125.805
416.877	124.460
419.191	123.091
421.550	121.698
423.950	120.280
426.389	118.840
428.864	117.378
431.373	115.896
433.912	114.395
436.479	112.876
439.072	111.340
441.687	109.788
444.322	108.222
446.974	106.643
449.640	105.052
452.318	103.450
455.005	101.838
457.698	100.218
460.395	98.590
463.093	96.957
465.788	95.318
468.479	93.675
471.163	92.030
473.837	90.384
476.497	88.737
479.143	87.091
481.770	85.447
484.376	83.807
486.958	82.171
489.514	80.541
492.041	78.917
494.536	77.302
496.997	75.696
499.424	74.100
501.818	72.517
504.181	70.948
506.514	69.394
508.819	67.857
511.097	66.339
513.349	64.841
515.577	63.364
517.782	61.911
519.965	60.483
522.128	59.081
524.273	57.707
526.400	56.363
528.511	55.050
530.608	53.770
532.691	52.524
534.762	51.314
536.823	50.141
538.875	49.007
540.919	47.914
542.957	46.863
544.990	45.856
547.019	44.895
549.046	43.980
551.072	43.113
553.096	42.293
555.116	41.520
557.133	40.792
559.144	40.108
561.149	39.467
563.147	38.869
565.135	38.311
567.115	37.793
569.083	37.314
571.040	36.873
572.983	36.468
574.913	36.099
576.827	35.765
578.725	35.464
580.606	35.196
582.468	34.959
584.311	34.752
586.133	34.575
587.933	34.426
589.708	34.310
591.453	34.236
593.161	34.213
594.828	34.250
596.447	34.357
598.014	34.544
599.523	34.818
600.969	35.191
602.345	35.671
603.647	36.267
604.869	36.989
606.006	37.845
607.052	38.847
608.001	40.001
608.850	41.316
609.601	42.783
610.258	44.392
610.826	46.132
611.307	47.994
611.706	49.966
612.027	52.037
612.274	54.199
612.451	56.439
612.562	58.747
612.611	61.114
612.602	63.527
612.538	65.978
612.424	68.455
612.264	70.948
612.062	73.447
611.821	75.940
611.546	78.417
611.241	80.869
610.909	83.284
610.555	85.651
610.182	87.963
609.791	90.219
609.385	92.423
608.963	94.581
608.526	96.696
608.074	98.772
607.610	100.814
607.133	102.827
606.645	104.814
606.145	106.780
605.636	108.728
605.117	110.664
604.589	112.592
604.054	114.516
603.512	116.439
602.963	118.368
602.409	120.305
601.851	122.255
601.288	124.222
600.723	126.212
600.155	128.226
599.583	130.266
599.005	132.324
598.417	134.397
597.817	136.480
597.202	138.566
596.568	140.652
595.914	142.731
595.235	144.799
594.530	146.852
593.795	148.882
593.028	150.887
592.225	152.860
591.384	154.796
590.501	156.691
589.575	158.539
588.601	160.335
587.578	162.074
586.502	163.751
585.370	165.361
584.180	166.899
582.930	168.362
581.624	169.754
580.265	171.079
578.855	172.340
577.399	173.541
575.898	174.686
574.357	175.779
572.779	176.824
571.167	177.824
569.524	178.782
567.853	179.704
566.157	180.593
564.441	181.452
562.706	182.285
560.956	183.096
559.195	183.889
557.425	184.668
555.650	185.436
553.872	186.196
552.091	186.951
550.304	187.698
548.511	188.438
546.710	189.171
544.898	189.896
543.073	190.614
541.236	191.323
539.382	192.025
537.512	192.718
535.622	193.402
533.712	194.078
531.779	194.745
529.823	195.403
527.840	196.051
525.830	196.690
523.790	197.319
521.719	197.938
519.616	198.546
517.477	199.144
515.304	199.732
513.097	200.310
510.858	200.877
508.589	201.436
506.292	201.985
503.968	202.525
501.619	203.057
499.247	203.581
496.854	204.098
494.441	204.607
492.010	205.109
489.564	205.604
487.103	206.093
484.630	206.576
482.146	207.054
479.653	207.526
477.153	207.994
474.647	208.457
472.138	208.915
469.627	209.370
467.116	209.822
464.607	210.270
462.101	210.716
459.600	211.159
457.106	211.600
454.619	212.036
452.142	212.465
449.673	212.886
447.216	213.297
444.771	213.697
442.338	214.083
439.919	214.453
437.514	214.807
435.126	215.141
432.754	215.455
430.400	215.747
428.064	216.014
425.749	216.255
423.454	216.468
421.181	216.652
418.931	216.804
416.705	216.923
414.503	217.007
412.328	217.055
410.179	217.063
408.058	217.032
405.966	216.958
403.903	216.842
401.871	216.686
399.870	216.491
397.901	216.260
395.963	215.993
394.059	215.692
392.188	215.360
390.351	214.998
388.549	214.607
386.782	214.190
385.051	213.748
383.357	213.284
381.700	212.797
380.081	212.292
378.501	211.768
376.960	211.229
375.458	210.675
373.997	210.108
372.577	209.531
371.198	208.946
369.861	208.355
368.565	207.759
367.310	207.163
366.098	206.567
364.929	205.973
363.801	205.385
362.717	204.805
361.676	204.234
360.678	203.674
359.724	203.129
358.814	202.599
357.954	202.076
357.152	201.545
356.415	200.993
355.751	200.407
355.168	199.772
354.674	199.074
354.277	198.301
353.984	197.439
353.798	196.481
353.712	195.449
353.712	194.369
353.786	193.270
353.923	192.176
354.110	191.114
354.334	190.112
354.585	189.196
354.849	188.393
355.116	187.728
355.371	187.192
355.602	186.735
355.795	186.305
355.938	185.849
356.018	185.316
356.037	184.682
356.023	183.965
356.005	183.192
356.014	182.384
356.080	181.567
356.232	180.764
356.500	180.000
