X	Y
347.000	199.500
347.920	198.769
349.025	198.136
350.307	197.595
351.755	197.139
353.360	196.762
355.114	196.459
357.005	196.222
359.026	196.047
361.166	195.927
363.416	195.857
365.767	195.829
368.209	195.838
370.733	195.878
373.329	195.942
375.988	196.026
378.700	196.122
381.457	196.224
384.248	196.327
387.064	196.425
389.896	196.511
392.737	196.581
395.584	196.636
398.439	196.678
401.301	196.708
404.168	196.727
407.042	196.737
409.922	196.739
412.807	196.736
415.698	196.728
418.593	196.717
421.493	196.704
424.397	196.692
427.306	196.681
430.218	196.674
433.133	196.671
436.052	196.674
438.974	196.685
441.898	196.705
444.824	196.735
447.753	196.778
450.683	196.835
453.614	196.907
456.547	196.995
459.480	197.102
462.414	197.229
465.348	197.377
468.282	197.548
471.215	197.742
474.146	197.959
477.074	198.198
479.996	198.459
482.912	198.739
485.820	199.038
488.718	199.356
491.605	199.692
494.480	200.044
497.340	200.411
500.185	200.794
503.014	201.190
505.823	201.600
508.613	202.022
511.382	202.454
514.128	202.898
516.849	203.351
519.545	203.812
522.213	204.281
524.852	204.757
527.462	205.239
530.039	205.726
532.584	206.217
535.093	206.711
537.567	207.208
540.003	207.706
542.400	208.207
544.757	208.714
547.071	209.232
549.343	209.762
551.571	210.310
553.753	210.879
555.888	211.473
557.974	212.095
560.011	212.750
561.997	213.440
563.930	214.170
565.810	214.943
567.635	215.763
569.403	216.633
571.114	217.558
572.766	218.541
574.357	219.586
575.887	220.696
577.354	221.876
578.757	223.127
580.094	224.447
581.367	225.830
582.573	227.273
583.713	228.769
584.786	230.314
585.791	231.903
586.728	233.530
587.597	235.191
588.397	236.881
589.127	238.595
589.786	240.327
590.375	242.073
590.893	243.828
591.339	245.586
591.713	247.343
592.014	249.094
592.243	250.834
592.399	252.564
592.486	254.281
592.506	255.987
592.459	257.681
592.348	259.363
592.174	261.032
591.940	262.688
591.646	264.331
591.296	265.962
590.889	267.579
590.430	269.182
589.918	270.771
589.356	272.346
588.746	273.907
588.089	275.453
587.386	276.983
586.637	278.497
585.840	279.993
584.996	281.470
584.105	282.926
583.166	284.361
582.178	285.773
581.141	287.162
580.055	288.525
578.919	289.861
577.733	291.170
576.497	292.451
575.210	293.701
573.872	294.920
572.482	296.106
571.041	297.259
569.550	298.380
568.014	299.471
566.438	300.535
564.826	301.575
563.182	302.594
561.511	303.595
559.816	304.580
558.103	305.552
556.375	306.513
554.638	307.467
552.895	308.417
551.150	309.364
549.408	310.313
547.674	311.264
545.952	312.222
544.246	313.190
542.560	314.169
540.899	315.162
539.261	316.169
537.643	317.189
536.041	318.220
534.450	319.259
532.867	320.305
531.288	321.356
529.709	322.410
528.125	323.466
526.534	324.521
524.930	325.573
523.310	326.622
521.670	327.664
520.006	328.698
518.314	329.722
516.590	330.735
514.830	331.734
513.030	332.718
511.186	333.685
509.299	334.633
507.372	335.563
505.406	336.473
503.405	337.364
501.371	338.234
499.306	339.083
497.214	339.911
495.096	340.717
492.956	341.500
490.796	342.260
488.618	342.996
486.426	343.708
484.221	344.396
482.006	345.057
479.784	345.693
477.558	346.303
475.330	346.886
473.102	347.440
470.877	347.967
468.658	348.465
466.448	348.934
464.246	349.371
462.053	349.773
459.870	350.139
457.697	350.464
455.535	350.747
453.384	350.984
451.245	351.174
449.117	351.313
447.002	351.398
444.900	351.428
442.811	351.398
440.735	351.308
438.674	351.153
436.627	350.931
434.595	350.639
432.579	350.276
430.578	349.837
428.594	349.321
426.626	348.724
424.675	348.049
422.742	347.299
420.826	346.479
418.928	345.597
417.047	344.656
415.185	343.661
413.341	342.619
411.516	341.534
409.709	340.412
407.922	339.258
406.154	338.077
404.405	336.874
402.676	335.655
400.967	334.426
399.278	333.190
397.609	331.954
395.961	330.723
394.334	329.502
392.728	328.296
391.143	327.108
389.581	325.934
388.043	324.767
386.530	323.604
385.043	322.438
383.584	321.264
382.153	320.077
380.753	318.871
379.383	317.642
378.046	316.383
376.742	315.090
375.474	313.757
374.241	312.378
373.045	310.949
371.888	309.464
370.771	307.918
369.694	306.306
368.660	304.622
367.666	302.870
366.713	301.055
365.799	299.183
364.922	297.259
364.083	295.289
363.278	293.279
362.508	291.234
361.771	289.159
361.065	287.060
360.390	284.943
359.745	282.813
359.127	280.676
358.537	278.538
357.973	276.403
357.433	274.278
356.917	272.168
356.423	270.079
355.950	268.016
355.497	265.984
355.062	263.990
354.642	262.034
354.234	260.119
353.834	258.247
353.438	256.419
353.043	254.637
352.646	252.903
352.243	251.219
351.830	249.586
351.403	248.005
350.960	246.480
350.497	245.011
350.010	243.601
349.495	242.250
348.950	240.962
348.370	239.737
347.757	238.573
347.125	237.462
346.488	236.393
345.861	235.355
345.257	234.338
344.693	233.332
344.181	232.327
343.738	231.311
343.377	230.275
343.112	229.208
342.959	228.100
342.919	226.949
342.977	225.766
343.115	224.561
343.317	223.346
343.566	222.131
343.844	220.929
344.135	219.750
344.421	218.606
344.686	217.508
344.912	216.466
345.083	215.492
345.195	214.582
345.256	213.718
345.272	212.884
345.251	212.061
345.202	211.232
345.131	210.379
345.047	209.486
344.957	208.535
344.875	207.526
344.822	206.476
344.818	205.403
344.885	204.326
345.043	203.262
345.312	202.229
345.714	201.246
346.270	200.330
347.000	199.500
