X	Y
338.667	180.000
339.165	178.932
340.033	177.902
341.170	176.872
342.470	175.805
343.832	174.664
345.152	173.411
346.327	172.009
347.279	170.429
348.030	168.682
348.629	166.786
349.124	164.760
349.563	162.623
349.996	160.394
350.470	158.092
351.034	155.735
351.737	153.343
352.625	150.935
353.725	148.523
355.023	146.110
356.499	143.695
358.138	141.282
359.921	138.870
361.830	136.460
363.847	134.055
365.956	131.655
368.138	129.261
370.375	126.874
372.650	124.496
374.945	122.127
377.242	119.769
379.526	117.423
381.797	115.084
384.062	112.749
386.329	110.412
388.604	108.068
390.895	105.713
393.209	103.342
395.554	100.950
397.936	98.532
400.362	96.083
402.840	93.599
405.377	91.074
407.980	88.503
410.657	85.883
413.414	83.208
416.258	80.473
419.188	77.681
422.194	74.841
425.268	71.962
428.399	69.053
431.579	66.123
434.798	63.180
438.046	60.235
441.316	57.295
444.597	54.370
447.880	51.468
451.156	48.599
454.415	45.772
457.648	42.995
460.846	40.278
464.000	37.630
467.100	35.059
470.137	32.574
473.102	30.185
475.987	27.899
478.800	25.720
481.551	23.647
484.250	21.683
486.909	19.828
489.536	18.084
492.144	16.450
494.742	14.930
497.341	13.522
499.952	12.230
502.585	11.053
505.250	9.992
507.959	9.050
510.721	8.226
513.541	7.519
516.400	6.922
519.278	6.426
522.157	6.021
525.014	5.699
527.831	5.450
530.588	5.266
533.263	5.137
535.837	5.056
538.290	5.012
540.602	4.997
542.752	5.002
544.719	5.032
546.480	5.125
548.009	5.320
549.281	5.659
550.274	6.183
550.961	6.933
551.335	7.938
551.468	9.168
551.458	10.573
551.402	12.105
551.398	13.714
551.545	15.351
551.934	16.969
552.580	18.542
553.439	20.063
554.464	21.525
555.609	22.920
556.828	24.242
558.074	25.484
559.302	26.637
560.468	27.703
561.549	28.710
562.525	29.696
563.377	30.698
564.085	31.754
564.630	32.900
565.002	34.162
565.245	35.496
565.418	36.838
565.580	38.124
565.791	39.289
566.110	40.271
566.576	41.050
567.192	41.684
567.958	42.240
568.873	42.784
569.922	43.364
571.057	43.989
572.225	44.667
573.376	45.402
574.456	46.200
575.415	47.067
576.225	48.009
576.887	49.032
577.402	50.145
577.772	51.355
578.000	52.667
578.083	54.083
578.008	55.570
577.756	57.089
577.310	58.601
576.651	60.066
575.763	61.446
574.627	62.700
573.245	63.814
571.653	64.811
569.885	65.718
567.981	66.563
565.977	67.373
563.910	68.176
561.818	68.998
559.738	69.867
557.706	70.811
555.753	71.845
553.888	72.954
552.117	74.119
550.446	75.320
548.883	76.538
547.434	77.753
