X	Y
349.667	206.333
351.168	205.197
353.074	204.156
355.348	203.207
357.950	202.350
360.842	201.581
363.985	200.898
367.341	200.300
370.872	199.785
374.538	199.350
378.302	198.994
382.124	198.713
385.967	198.507
389.792	198.374
393.560	198.310
397.257	198.310
400.884	198.367
404.448	198.472
407.954	198.616
411.405	198.790
414.807	198.987
418.164	199.197
421.482	199.412
424.766	199.624
428.019	199.825
431.248	200.004
434.456	200.155
437.649	200.268
440.831	200.336
444.006	200.353
447.167	200.331
450.311	200.284
453.428	200.225
456.515	200.170
459.564	200.132
462.569	200.125
465.523	200.164
468.421	200.262
471.256	200.434
474.022	200.693
476.713	201.054
479.322	201.530
481.841	202.131
484.260	202.855
486.568	203.703
488.756	204.675
490.811	205.769
492.725	206.986
494.486	208.325
496.083	209.786
497.507	211.368
498.749	213.071
499.823	214.879
500.763	216.769
501.600	218.716
502.369	220.697
503.101	222.687
503.830	224.662
504.589	226.597
505.410	228.469
506.325	230.255
507.338	231.953
508.444	233.571
509.632	235.121
510.896	236.610
512.227	238.048
513.618	239.445
515.059	240.810
516.544	242.152
518.062	243.473
519.598	244.763
521.139	246.011
522.671	247.208
524.179	248.342
525.649	249.405
527.068	250.384
528.420	251.270
529.671	252.076
530.757	252.854
531.609	253.657
532.158	254.540
532.337	255.558
532.117	256.739
531.564	258.060
530.753	259.489
529.760	260.995
528.660	262.545
527.531	264.109
526.446	265.655
525.456	267.165
524.553	268.653
523.721	270.136
522.945	271.632
522.208	273.156
521.497	274.728
520.794	276.363
520.087	278.077
519.380	279.870
518.682	281.735
518.007	283.666
517.363	285.655
516.761	287.696
516.214	289.783
515.730	291.908
515.322	294.066
514.997	296.248
514.750	298.449
514.574	300.661
514.463	302.876
514.410	305.087
514.407	307.287
514.448	309.469
514.525	311.625
514.632	313.748
514.764	315.832
514.932	317.875
515.156	319.882
515.458	321.854
515.858	323.797
516.378	325.712
517.037	327.603
517.856	329.473
518.858	331.326
520.043	333.164
521.371	334.991
522.795	336.809
524.267	338.621
525.741	340.431
527.170	342.241
528.505	344.055
529.699	345.875
530.707	347.704
531.482	349.544
532.024	351.376
532.357	353.168
532.505	354.889
532.494	356.507
532.349	357.989
532.095	359.305
531.753	360.424
531.303	361.351
530.699	362.106
529.896	362.713
528.849	363.193
527.556	363.553
526.062	363.784
524.418	363.876
522.671	363.818
520.871	363.601
519.068	363.213
517.309	362.645
515.618	361.913
514.001	361.047
512.462	360.081
511.005	359.047
509.636	357.978
508.360	356.905
507.181	355.863
506.094	354.888
505.071	354.029
504.077	353.339
503.079	352.868
502.044	352.668
500.948	352.774
499.804	353.138
498.640	353.692
497.483	354.367
496.359	355.094
495.293	355.806
494.276	356.465
493.283	357.051
492.286	357.545
491.258	357.926
490.175	358.177
489.041	358.288
487.875	358.254
486.695	358.071
485.520	357.735
484.364	357.251
483.214	356.683
482.043	356.121
480.828	355.655
479.544	355.374
478.166	355.367
476.708	355.675
475.240	356.269
473.834	357.116
472.565	358.183
471.505	359.436
470.730	360.841
470.296	362.365
470.171	363.976
470.291	365.641
470.594	367.330
471.016	369.009
471.494	370.647
471.965	372.213
472.373	373.682
472.708	375.075
472.969	376.425
473.159	377.767
473.280	379.132
473.332	380.556
473.314	382.058
473.204	383.591
472.978	385.087
472.609	386.477
472.070	387.692
471.335	388.665
470.390	389.342
469.269	389.733
468.016	389.861
466.675	389.750
465.292	389.426
463.908	388.919
462.539	388.302
461.186	387.671
459.853	387.121
458.543	386.748
457.258	386.646
456.003	386.898
454.796	387.498
453.660	388.396
452.620	389.545
451.698	390.895
450.920	392.398
450.307	394.007
449.852	395.691
449.531	397.434
449.316	399.218
449.182	401.027
449.102	402.843
449.049	404.649
448.997	406.429
448.921	408.165
448.803	409.838
448.625	411.431
448.370	412.924
448.021	414.299
447.559	415.537
446.968	416.620
446.238	417.554
445.363	418.357
444.339	419.050
443.160	419.654
441.823	420.190
440.333	420.651
438.713	420.996
436.986	421.180
435.176	421.159
433.307	420.888
431.401	420.323
429.484	419.420
427.575	418.146
425.688	416.528
423.830	414.613
422.010	412.447
420.236	410.078
418.517	407.551
416.862	404.914
415.279	402.212
413.777	399.493
412.364	396.803
411.049	394.189
409.840	391.697
408.743	389.366
407.746	387.194
406.830	385.159
405.977	383.239
405.168	381.415
404.384	379.666
403.606	377.969
402.815	376.305
401.992	374.652
401.122	373.003
400.195	371.406
399.205	369.921
398.146	368.607
397.011	367.525
395.794	366.735
394.488	366.298
393.092	366.227
391.617	366.415
390.075	366.733
388.481	367.051
386.846	367.241
385.185	367.174
383.509	366.724
381.830	365.846
380.153	364.575
378.486	362.949
376.835	361.008
375.207	358.792
373.608	356.338
372.045	353.687
370.525	350.878
369.053	347.949
367.638	344.940
366.286	341.890
365.000	338.832
363.775	335.779
362.604	332.742
361.479	329.727
360.394	326.744
359.340	323.802
358.310	320.909
357.297	318.075
356.293	315.307
355.291	312.616
354.283	310.008
353.263	307.494
352.222	305.082
351.158	302.776
350.086	300.561
349.020	298.422
347.979	296.343
346.977	294.308
346.032	292.300
345.159	290.304
344.376	288.304
343.697	286.283
343.140	284.225
342.709	282.126
342.393	279.992
342.180	277.833
342.057	275.659
342.012	273.479
342.033	271.302
342.107	269.137
342.222	266.994
342.366	264.882
342.529	262.803
342.707	260.747
342.895	258.699
343.091	256.648
343.289	254.579
343.486	252.480
343.678	250.338
343.862	248.138
344.033	245.869
344.190	243.529
344.336	241.145
344.472	238.748
344.604	236.368
344.733	234.035
344.863	231.781
344.997	229.634
345.139	227.627
345.291	225.789
345.456	224.147
345.633	222.689
345.817	221.386
346.006	220.204
346.194	219.114
346.378	218.083
346.554	217.082
346.716	216.077
346.859	215.040
346.977	213.938
347.071	212.746
347.197	211.477
347.437	210.167
347.874	208.850
348.589	207.560
349.667	206.333
