X	Y
353.000	194.000
353.464	193.076
354.020	192.160
354.664	191.249
355.394	190.341
356.203	189.436
357.091	188.530
358.051	187.622
359.081	186.710
360.177	185.793
361.335	184.868
362.551	183.933
363.821	182.987
365.143	182.028
366.512	181.053
367.923	180.062
369.375	179.052
370.862	178.021
372.381	176.967
373.928	175.889
375.500	174.785
377.093	173.653
378.702	172.490
380.327	171.297
381.967	170.075
383.622	168.824
385.293	167.546
386.980	166.241
388.683	164.912
390.403	163.559
392.139	162.182
393.892	160.785
395.662	159.366
397.450	157.928
399.255	156.472
401.078	154.999
402.919	153.509
404.779	152.004
406.657	150.486
408.554	148.955
410.470	147.412
412.406	145.858
414.361	144.295
416.336	142.724
418.331	141.146
420.346	139.561
422.382	137.972
424.439	136.379
426.517	134.783
428.616	133.185
430.736	131.587
432.879	129.990
435.043	128.394
437.230	126.801
439.439	125.212
441.671	123.629
443.926	122.051
446.205	120.481
448.505	118.918
450.827	117.362
453.168	115.814
455.529	114.274
457.908	112.741
460.304	111.215
462.716	109.698
465.143	108.188
467.584	106.686
470.038	105.191
472.504	103.705
474.980	102.226
477.467	100.756
479.962	99.293
482.464	97.838
484.974	96.392
487.489	94.954
490.008	93.523
492.531	92.101
495.057	90.688
497.583	89.282
500.111	87.885
502.637	86.497
505.162	85.117
507.685	83.745
510.203	82.382
512.717	81.027
515.225	79.681
517.725	78.344
520.218	77.016
522.702	75.696
525.176	74.385
527.639	73.083
530.090	71.790
532.528	70.506
534.951	69.230
537.359	67.964
539.751	66.707
542.126	65.459
544.482	64.221
546.820	62.993
549.138	61.778
551.435	60.577
553.713	59.395
555.970	58.231
558.205	57.090
560.418	55.972
562.609	54.881
564.778	53.818
566.923	52.785
569.045	51.786
571.142	50.822
573.215	49.895
575.263	49.008
577.286	48.162
579.282	47.361
581.252	46.605
583.195	45.899
585.111	45.243
586.999	44.640
588.859	44.092
590.690	43.602
592.492	43.171
594.264	42.802
596.006	42.497
597.717	42.259
599.398	42.089
601.047	41.990
602.664	41.964
604.248	42.013
605.799	42.138
607.316	42.339
608.798	42.613
610.243	42.958
611.650	43.373
613.019	43.856
614.346	44.404
615.633	45.017
616.876	45.693
618.076	46.428
619.231	47.223
620.339	48.074
621.400	48.981
622.412	49.941
623.374	50.952
624.284	52.013
625.143	53.122
625.948	54.277
626.698	55.477
627.392	56.718
628.030	58.001
628.613	59.325
629.143	60.689
629.620	62.092
630.045	63.534
630.420	65.013
630.745	66.530
631.022	68.084
631.252	69.674
631.435	71.298
631.574	72.958
631.668	74.651
631.720	76.378
631.729	78.137
631.698	79.929
631.627	81.751
631.518	83.605
631.371	85.488
631.188	87.401
630.969	89.342
630.716	91.311
630.430	93.307
630.111	95.330
629.762	97.379
629.382	99.453
628.972	101.549
628.533	103.666
628.065	105.803
627.568	107.957
627.042	110.126
626.489	112.310
625.908	114.506
625.301	116.712
624.667	118.927
624.006	121.149
623.320	123.375
622.609	125.606
621.873	127.837
621.112	130.069
620.327	132.298
619.519	134.524
618.687	136.745
617.833	138.958
616.957	141.162
616.058	143.355
615.138	145.535
614.197	147.702
613.235	149.852
612.254	151.984
611.252	154.096
610.231	156.188
609.191	158.256
608.132	160.299
607.056	162.315
605.962	164.303
604.850	166.260
603.722	168.186
602.576	170.081
601.411	171.945
600.229	173.778
599.026	175.581
597.804	177.354
596.561	179.098
595.298	180.813
594.012	182.500
592.704	184.158
591.374	185.788
590.020	187.392
588.641	188.968
587.239	190.518
585.811	192.041
584.357	193.539
582.876	195.011
581.369	196.459
579.834	197.882
578.271	199.281
576.679	200.655
575.057	202.007
573.406	203.336
571.724	204.642
570.011	205.926
568.266	207.188
566.488	208.429
564.678	209.649
562.834	210.848
560.956	212.027
559.044	213.186
557.098	214.326
555.119	215.445
553.109	216.546
551.068	217.626
548.997	218.687
546.897	219.728
544.770	220.750
542.615	221.752
540.436	222.735
538.231	223.699
536.003	224.643
533.751	225.568
531.478	226.474
529.185	227.360
526.871	228.227
524.539	229.075
522.189	229.904
519.822	230.714
517.439	231.504
515.042	232.276
512.630	233.029
510.206	233.762
507.770	234.477
505.323	235.173
502.867	235.851
500.401	236.509
497.928	237.149
495.448	237.770
492.962	238.372
490.471	238.956
487.976	239.521
485.478	240.067
482.978	240.595
480.478	241.105
477.977	241.596
475.477	242.068
472.978	242.522
470.481	242.956
467.986	243.371
465.493	243.766
463.004	244.142
460.519	244.497
458.038	244.833
455.562	245.147
453.091	245.441
450.626	245.715
448.167	245.967
445.716	246.198
443.272	246.407
440.837	246.595
438.410	246.760
435.992	246.903
433.584	247.024
431.186	247.123
428.799	247.198
426.423	247.250
424.059	247.279
421.708	247.285
419.369	247.267
417.044	247.225
414.734	247.158
412.437	247.068
410.156	246.953
407.891	246.812
405.641	246.647
403.409	246.457
401.194	246.241
398.996	246.000
396.818	245.732
394.660	245.441
392.526	245.125
390.418	244.788
388.339	244.431
386.292	244.053
384.279	243.658
382.302	243.246
380.365	242.818
378.470	242.377
376.620	241.922
374.817	241.456
373.064	240.979
371.363	240.494
369.718	240.001
368.130	239.501
366.603	238.996
365.139	238.488
363.741	237.977
362.411	237.465
361.152	236.953
359.966	236.443
358.857	235.935
357.827	235.432
356.878	234.934
356.011	234.440
355.224	233.945
354.512	233.442
353.872	232.923
353.300	232.382
352.792	231.812
352.343	231.206
351.951	230.557
351.611	229.858
351.319	229.102
351.072	228.282
350.865	227.392
350.696	226.435
350.563	225.422
350.463	224.362
350.394	223.264
350.355	222.139
350.342	220.996
350.354	219.845
350.389	218.695
350.444	217.557
350.517	216.439
350.606	215.352
350.708	214.306
350.822	213.310
350.946	212.374
351.076	211.507
351.211	210.707
351.346	209.962
351.477	209.261
351.602	208.592
351.716	207.943
351.816	207.304
351.898	206.662
351.958	206.006
351.993	205.324
352.000	204.604
351.981	203.845
351.947	203.049
351.909	202.221
351.875	201.365
351.857	200.484
351.863	199.584
351.906	198.669
351.993	197.741
352.136	196.807
352.345	195.869
352.630	194.932
353.000	194.000
