X	Y
350.000	236.000
350.950	235.272
352.060	234.588
353.324	233.947
354.736	233.347
356.291	232.787
357.981	232.265
359.801	231.778
361.746	231.326
363.808	230.906
365.982	230.516
368.262	230.156
370.641	229.823
373.114	229.515
375.675	229.231
378.317	228.969
381.035	228.728
383.822	228.505
386.672	228.298
389.580	228.107
392.539	227.929
395.543	227.762
398.586	227.605
401.662	227.457
404.766	227.314
407.890	227.176
411.029	227.041
414.177	226.908
417.331	226.775
420.489	226.643
423.648	226.512
426.808	226.384
429.966	226.258
433.120	226.134
436.268	226.013
439.410	225.896
442.541	225.782
445.662	225.673
448.769	225.568
451.862	225.467
454.938	225.372
457.995	225.282
461.031	225.198
464.046	225.121
467.035	225.050
469.999	224.986
472.935	224.929
475.840	224.880
478.714	224.839
481.554	224.806
484.359	224.782
487.126	224.768
489.854	224.762
492.541	224.767
495.185	224.782
497.784	224.807
500.336	224.844
502.840	224.891
505.293	224.951
507.693	225.022
510.041	225.106
512.339	225.206
514.590	225.322
516.796	225.458
518.961	225.615
521.086	225.796
523.176	226.002
525.233	226.235
527.259	226.499
529.258	226.794
531.232	227.123
533.184	227.489
535.117	227.892
537.033	228.336
538.937	228.822
540.829	229.353
542.714	229.930
544.594	230.556
546.471	231.233
548.350	231.962
550.231	232.747
552.119	233.589
554.016	234.490
555.919	235.449
557.820	236.465
559.711	237.535
561.584	238.656
563.432	239.826
565.246	241.042
567.019	242.301
568.742	243.602
570.408	244.942
572.008	246.317
573.535	247.726
574.980	249.166
576.336	250.635
577.595	252.129
578.749	253.647
579.790	255.186
580.710	256.743
581.500	258.316
582.154	259.902
582.662	261.499
583.018	263.104
583.216	264.716
583.262	266.333
583.163	267.956
582.927	269.584
582.561	271.217
582.072	272.856
581.469	274.500
580.759	276.149
579.949	277.802
579.047	279.461
578.060	281.123
576.996	282.791
575.862	284.462
574.666	286.138
573.416	287.818
572.118	289.501
570.781	291.189
569.412	292.880
568.018	294.574
566.607	296.272
565.187	297.973
563.759	299.676
562.324	301.379
560.879	303.079
559.425	304.774
557.959	306.462
556.481	308.141
554.990	309.809
553.485	311.462
551.965	313.100
550.428	314.719
548.874	316.318
547.302	317.895
545.710	319.446
544.098	320.970
542.464	322.465
540.808	323.928
539.128	325.357
537.423	326.750
535.693	328.104
533.936	329.418
532.151	330.690
530.338	331.916
528.494	333.094
526.620	334.223
524.715	335.302
522.783	336.334
520.826	337.321
518.849	338.268
516.855	339.178
514.847	340.053
512.830	340.898
510.806	341.716
508.779	342.510
506.752	343.283
504.730	344.038
502.715	344.780
500.711	345.512
498.721	346.236
496.750	346.956
494.800	347.675
492.875	348.397
490.979	349.126
489.115	349.864
487.286	350.614
485.497	351.381
483.750	352.167
482.049	352.976
480.396	353.810
478.789	354.666
477.223	355.540
475.694	356.426
474.197	357.321
472.729	358.220
471.285	359.119
469.860	360.013
468.451	360.899
467.053	361.770
465.661	362.623
464.272	363.454
462.881	364.258
461.483	365.031
460.075	365.767
458.652	366.464
457.210	367.115
455.745	367.718
454.252	368.267
452.729	368.759
451.177	369.195
449.596	369.572
447.987	369.890
446.350	370.148
444.686	370.345
442.995	370.480
441.278	370.552
439.534	370.560
437.765	370.503
435.971	370.381
434.152	370.192
432.310	369.935
430.444	369.609
428.554	369.214
426.642	368.748
424.708	368.211
422.752	367.602
420.775	366.919
418.778	366.163
416.762	365.335
414.732	364.437
412.688	363.473
410.635	362.444
408.575	361.353
406.510	360.202
404.443	358.994
402.376	357.730
400.313	356.413
398.256	355.045
396.207	353.629
394.170	352.168
392.146	350.662
390.139	349.116
388.151	347.530
386.185	345.908
384.243	344.251
382.328	342.562
380.443	340.844
378.591	339.099
376.773	337.328
374.993	335.535
373.253	333.722
371.557	331.890
369.906	330.043
368.303	328.182
366.750	326.311
365.248	324.430
363.798	322.543
362.400	320.652
361.055	318.758
359.764	316.865
358.528	314.973
357.347	313.086
356.222	311.206
355.155	309.334
354.145	307.473
353.193	305.626
352.301	303.794
351.469	301.980
350.698	300.186
349.988	298.413
349.341	296.665
348.757	294.944
348.236	293.251
347.781	291.589
347.390	289.961
347.066	288.368
346.809	286.812
346.613	285.293
346.475	283.812
346.386	282.367
346.343	280.958
346.337	279.584
346.364	278.244
346.417	276.939
346.490	275.667
346.578	274.428
346.673	273.221
346.771	272.045
346.865	270.900
346.949	269.786
347.017	268.702
347.066	267.645
347.097	266.613
347.114	265.601
347.118	264.605
347.112	263.621
347.098	262.645
347.079	261.673
347.056	260.701
347.034	259.725
347.013	258.742
346.996	257.746
346.985	256.736
346.979	255.713
346.977	254.680
346.978	253.639
346.981	252.590
346.986	251.537
346.991	250.482
346.996	249.425
347.000	248.370
347.002	247.318
347.001	246.271
346.997	245.232
347.001	244.203
347.028	243.187
347.095	242.190
347.217	241.213
347.411	240.261
347.691	239.338
348.074	238.446
348.576	237.591
349.213	236.774
350.000	236.000
