X	Y
4.710	2.605
4.718	2.594
4.728	2.583
4.740	2.572
4.754	2.562
4.769	2.551
4.785	2.540
4.802	2.529
4.821	2.518
4.839	2.507
4.859	2.496
4.878	2.485
4.897	2.473
4.916	2.461
4.935	2.449
4.953	2.436
4.969	2.423
4.985	2.410
4.999	2.396
5.012	2.381
5.023	2.366
5.033	2.351
5.042	2.335
5.050	2.318
5.057	2.302
5.064	2.285
5.071	2.267
5.078	2.249
5.085	2.231
5.092	2.213
5.100	2.194
5.109	2.175
5.119	2.156
5.130	2.137
5.143	2.117
5.157	2.097
5.173	2.078
5.192	2.058
5.212	2.038
5.234	2.018
5.259	1.998
5.285	1.977
5.313	1.957
5.343	1.937
5.374	1.917
5.407	1.896
5.442	1.876
5.477	1.855
5.514	1.835
5.552	1.815
5.592	1.794
5.632	1.774
5.673	1.753
5.715	1.733
5.757	1.713
5.800	1.692
5.844	1.672
5.888	1.652
5.933	1.632
5.978	1.612
6.023	1.592
6.068	1.572
6.112	1.552
6.157	1.532
6.202	1.512
6.246	1.493
6.290	1.473
6.334	1.454
6.377	1.435
6.419	1.416
6.461	1.397
6.502	1.378
6.541	1.359
6.580	1.341
6.618	1.323
6.654	1.304
6.690	1.287
6.724	1.269
6.756	1.251
6.788	1.234
6.818	1.217
6.847	1.200
6.875	1.183
6.903	1.166
6.929	1.150
6.955	1.134
6.980	1.117
7.004	1.101
7.028	1.086
7.052	1.070
7.075	1.055
7.097	1.039
7.120	1.024
7.142	1.009
7.164	0.994
7.186	0.980
7.209	0.965
7.231	0.951
7.253	0.936
7.276	0.922
7.299	0.908
7.322	0.894
7.346	0.881
7.371	0.867
7.396	0.854
7.421	0.840
7.448	0.827
7.474	0.815
7.501	0.803
7.528	0.791
7.556	0.780
7.583	0.769
7.611	0.760
7.639	0.751
7.667	0.742
7.695	0.735
7.723	0.729
7.750	0.724
7.778	0.720
7.805	0.717
7.832	0.715
7.858	0.715
7.884	0.716
7.910	0.719
7.935	0.723
7.959	0.729
7.982	0.737
8.005	0.746
8.027	0.758
8.049	0.771
8.069	0.785
8.089	0.802
8.108	0.820
8.126	0.840
8.143	0.861
8.159	0.884
8.175	0.908
8.190	0.933
8.205	0.959
8.218	0.987
8.231	1.016
8.243	1.046
8.254	1.076
8.265	1.108
8.275	1.140
8.284	1.173
8.293	1.207
8.301	1.241
8.308	1.276
8.315	1.312
8.321	1.347
8.326	1.383
8.331	1.420
8.335	1.456
8.338	1.493
8.341	1.530
8.344	1.566
8.345	1.603
8.346	1.640
8.347	1.676
8.347	1.712
8.346	1.748
8.345	1.784
8.344	1.820
8.342	1.855
8.339	1.890
8.336	1.924
8.333	1.958
8.329	1.991
8.325	2.024
8.320	2.056
8.315	2.088
8.310	2.119
8.304	2.149
8.298	2.179
8.292	2.208
8.285	2.236
8.278	2.263
8.270	2.289
8.263	2.315
8.255	2.339
8.247	2.362
8.239	2.385
8.230	2.406
8.221	2.426
8.212	2.445
8.203	2.463
8.193	2.480
8.183	2.495
8.173	2.510
8.162	2.523
8.151	2.536
8.139	2.548
8.126	2.558
8.113	2.568
8.099	2.577
8.084	2.585
8.068	2.592
8.052	2.598
8.034	2.603
8.015	2.608
7.996	2.612
7.975	2.615
7.954	2.617
7.931	2.619
7.908	2.620
7.885	2.621
7.861	2.621
7.836	2.621
7.812	2.620
7.786	2.619
7.761	2.618
7.736	2.616
7.710	2.614
7.685	2.612
7.659	2.609
7.634	2.606
7.609	2.604
7.585	2.601
7.561	2.598
7.537	2.595
7.514	2.592
7.492	2.589
7.470	2.587
7.449	2.584
7.429	2.582
7.408	2.579
7.388	2.577
7.368	2.575
7.349	2.572
7.329	2.570
7.309	2.568
7.289	2.566
7.269	2.564
7.249	2.563
7.228	2.561
7.206	2.559
7.184	2.557
7.162	2.556
7.139	2.554
7.115	2.553
7.090	2.552
7.064	2.551
7.037	2.549
7.010	2.548
6.981	2.547
6.953	2.547
6.923	2.546
6.893	2.546
6.862	2.545
6.831	2.545
6.800	2.546
6.768	2.546
6.736	2.547
6.703	2.548
6.671	2.549
6.638	2.551
6.605	2.553
6.572	2.555
6.540	2.558
6.507	2.561
6.474	2.564
6.442	2.568
6.409	2.573
6.377	2.577
6.346	2.583
6.314	2.588
6.283	2.595
6.253	2.601
6.223	2.609
6.194	2.616
6.165	2.625
6.137	2.633
6.109	2.642
6.082	2.652
6.055	2.662
6.029	2.672
6.003	2.682
5.977	2.692
5.951	2.703
5.926	2.713
5.901	2.724
5.877	2.735
5.852	2.745
5.828	2.756
5.804	2.766
5.780	2.777
5.756	2.787
5.732	2.796
5.709	2.806
5.685	2.815
5.661	2.824
5.637	2.832
5.613	2.840
5.589	2.847
5.565	2.853
5.541	2.860
5.517	2.865
5.493	2.870
5.468	2.875
5.444	2.879
5.420	2.883
5.395	2.886
5.371	2.889
5.347	2.892
5.323	2.894
5.299	2.896
5.274	2.897
5.250	2.898
5.226	2.898
5.203	2.899
5.179	2.898
5.155	2.898
5.132	2.897
5.109	2.896
5.086	2.895
5.063	2.894
5.040	2.892
5.018	2.890
4.996	2.888
4.974	2.885
4.953	2.882
4.933	2.880
4.913	2.877
4.893	2.873
4.875	2.870
4.857	2.867
4.839	2.863
4.823	2.859
4.808	2.855
4.793	2.852
4.780	2.848
4.767	2.844
4.756	2.840
4.746	2.835
4.737	2.831
4.730	2.826
4.723	2.821
4.718	2.816
4.714	2.810
4.711	2.803
4.709	2.796
4.708	2.788
4.708	2.780
4.709	2.771
4.710	2.761
4.710	2.751
4.711	2.741
4.711	2.730
4.710	2.719
4.708	2.708
4.706	2.697
4.704	2.686
4.702	2.674
4.700	2.662
4.700	2.651
4.700	2.639
4.701	2.628
4.705	2.616
4.710	2.605
