X	Y
4.710	2.829
4.719	2.820
4.730	2.811
4.744	2.803
4.760	2.796
4.778	2.789
4.798	2.782
4.820	2.776
4.844	2.771
4.870	2.766
4.898	2.761
4.927	2.757
4.958	2.753
4.991	2.749
5.025	2.746
5.060	2.743
5.097	2.740
5.135	2.738
5.173	2.736
5.213	2.734
5.254	2.732
5.296	2.730
5.338	2.729
5.381	2.727
5.424	2.726
5.468	2.725
5.512	2.724
5.557	2.723
5.602	2.721
5.647	2.720
5.692	2.719
5.736	2.718
5.781	2.717
5.826	2.715
5.870	2.714
5.914	2.712
5.957	2.710
5.999	2.708
6.042	2.706
6.083	2.703
6.124	2.701
6.165	2.698
6.205	2.695
6.244	2.692
6.284	2.689
6.322	2.686
6.360	2.683
6.398	2.679
6.435	2.676
6.472	2.672
6.509	2.669
6.545	2.665
6.581	2.661
6.616	2.658
6.652	2.654
6.686	2.650
6.721	2.646
6.755	2.643
6.789	2.639
6.823	2.635
6.856	2.632
6.889	2.628
6.922	2.624
6.955	2.621
6.987	2.617
7.020	2.614
7.052	2.611
7.084	2.608
7.116	2.605
7.147	2.602
7.179	2.599
7.211	2.596
7.242	2.594
7.273	2.591
7.305	2.589
7.336	2.587
7.367	2.585
7.397	2.584
7.428	2.583
7.458	2.582
7.488	2.582
7.517	2.582
7.546	2.583
7.575	2.584
7.603	2.586
7.630	2.588
7.657	2.591
7.683	2.595
7.709	2.599
7.734	2.605
7.758	2.611
7.781	2.618
7.803	2.625
7.825	2.634
7.845	2.644
7.864	2.654
7.883	2.666
7.900	2.679
7.917	2.693
7.932	2.708
7.946	2.724
7.958	2.742
7.970	2.760
7.980	2.780
7.990	2.800
7.998	2.821
8.005	2.843
8.012	2.866
8.017	2.889
8.022	2.913
8.025	2.937
8.028	2.962
8.031	2.987
8.032	3.012
8.033	3.037
8.033	3.063
8.032	3.088
8.031	3.114
8.029	3.139
8.027	3.164
8.024	3.188
8.021	3.213
8.018	3.236
8.014	3.260
8.009	3.282
8.005	3.304
8.000	3.326
7.994	3.347
7.989	3.367
7.983	3.387
7.976	3.407
7.969	3.426
7.961	3.445
7.953	3.464
7.945	3.482
7.936	3.500
7.926	3.518
7.916	3.536
7.905	3.553
7.894	3.571
7.882	3.588
7.869	3.605
7.856	3.623
7.842	3.640
7.827	3.658
7.812	3.675
7.796	3.693
7.779	3.711
7.761	3.729
7.743	3.747
7.724	3.765
7.705	3.784
7.685	3.802
7.664	3.821
7.643	3.840
7.621	3.858
7.599	3.877
7.577	3.896
7.554	3.915
7.531	3.935
7.508	3.954
7.484	3.973
7.460	3.992
7.435	4.012
7.411	4.031
7.386	4.051
7.361	4.070
7.336	4.090
7.311	4.109
7.286	4.129
7.261	4.149
7.236	4.168
7.210	4.188
7.185	4.208
7.160	4.227
7.135	4.247
7.110	4.267
7.085	4.286
7.061	4.306
7.036	4.325
7.011	4.345
6.987	4.364
6.962	4.383
6.938	4.402
6.913	4.421
6.889	4.439
6.864	4.458
6.840	4.476
6.815	4.493
6.790	4.511
6.765	4.528
6.740	4.545
6.715	4.561
6.690	4.577
6.664	4.592
6.638	4.607
6.612	4.622
6.586	4.636
6.560	4.649
6.533	4.662
6.506	4.674
6.478	4.686
6.451	4.697
6.422	4.708
6.394	4.717
6.365	4.727
6.336	4.735
6.306	4.742
6.276	4.749
6.246	4.755
6.215	4.761
6.184	4.765
6.153	4.769
6.122	4.772
6.091	4.775
6.059	4.776
6.028	4.777
5.997	4.777
5.965	4.777
5.934	4.775
5.904	4.773
5.873	4.770
5.843	4.767
5.813	4.763
5.784	4.758
5.755	4.752
5.726	4.745
5.699	4.738
5.671	4.730
5.645	4.722
5.619	4.713
5.594	4.702
5.570	4.692
5.547	4.680
5.524	4.668
5.503	4.655
5.482	4.642
5.463	4.627
5.445	4.612
5.427	4.597
5.411	4.580
5.395	4.564
5.381	4.546
5.367	4.528
5.354	4.509
5.341	4.490
5.330	4.471
5.318	4.450
5.308	4.430
5.298	4.409
5.288	4.387
5.279	4.365
5.270	4.343
5.262	4.320
5.254	4.297
5.246	4.274
5.238	4.250
5.231	4.226
5.223	4.202
5.216	4.177
5.209	4.153
5.202	4.128
5.195	4.103
5.187	4.078
5.180	4.052
5.173	4.027
5.165	4.001
5.158	3.976
5.150	3.950
5.143	3.925
5.135	3.899
5.127	3.873
5.120	3.848
5.112	3.823
5.103	3.797
5.095	3.772
5.087	3.747
5.078	3.722
5.070	3.698
5.061	3.674
5.052	3.649
5.042	3.626
5.033	3.602
5.023	3.579
5.013	3.556
5.003	3.534
4.993	3.512
4.982	3.490
4.971	3.469
4.960	3.449
4.949	3.428
4.937	3.408
4.926	3.389
4.914	3.370
4.903	3.351
4.891	3.333
4.880	3.315
4.868	3.298
4.857	3.281
4.846	3.264
4.835	3.247
4.824	3.231
4.814	3.215
4.804	3.200
4.794	3.184
4.785	3.169
4.776	3.155
4.768	3.140
4.760	3.126
4.753	3.112
4.746	3.099
4.740	3.086
4.734	3.073
4.729	3.060
4.725	3.049
4.721	3.037
4.718	3.026
4.715	3.016
4.713	3.006
4.711	2.997
4.711	2.989
4.710	2.981
4.710	2.974
4.711	2.967
4.711	2.960
4.712	2.953
4.712	2.946
4.711	2.939
4.710	2.931
4.708	2.922
4.705	2.912
4.703	2.902
4.700	2.891
4.699	2.881
4.698	2.870
4.698	2.859
4.700	2.849
4.704	2.839
4.710	2.829
