X	Y
28.487	16.723
28.557	16.595
28.644	16.472
28.743	16.352
28.850	16.235
28.960	16.119
29.071	16.003
29.177	15.886
29.274	15.766
29.358	15.643
29.426	15.516
29.475	15.383
29.509	15.246
29.534	15.105
29.553	14.961
29.572	14.815
29.595	14.667
29.627	14.520
29.672	14.372
29.736	14.225
29.821	14.081
29.928	13.938
30.056	13.796
30.201	13.655
30.363	13.515
30.540	13.374
30.730	13.234
30.930	13.092
31.140	12.949
31.356	12.805
31.578	12.658
31.804	12.509
32.032	12.357
32.259	12.202
32.484	12.043
32.706	11.880
32.924	11.713
33.139	11.543
33.352	11.369
33.562	11.192
33.770	11.012
33.976	10.829
34.182	10.645
34.388	10.458
34.594	10.270
34.800	10.081
35.007	9.891
35.215	9.700
35.426	9.508
35.639	9.316
35.855	9.125
36.074	8.934
36.298	8.744
36.525	8.554
36.756	8.366
36.992	8.180
37.231	7.995
37.473	7.812
37.719	7.630
37.969	7.451
38.221	7.274
38.475	7.099
38.733	6.928
38.992	6.759
39.254	6.592
39.518	6.430
39.783	6.270
40.050	6.114
40.318	5.962
40.588	5.813
40.858	5.669
41.129	5.529
41.401	5.393
41.672	5.261
41.944	5.134
42.216	5.011
42.487	4.892
42.758	4.777
43.028	4.666
43.296	4.558
43.563	4.454
43.829	4.353
44.092	4.255
44.354	4.160
44.612	4.068
44.869	3.979
45.122	3.892
45.372	3.808
45.619	3.727
45.862	3.647
46.101	3.570
46.336	3.496
46.565	3.425
46.790	3.361
47.008	3.303
47.219	3.254
47.423	3.215
47.620	3.187
47.808	3.172
47.987	3.171
48.156	3.186
48.315	3.217
48.464	3.267
48.601	3.336
48.726	3.423
48.839	3.524
48.940	3.637
49.028	3.759
49.102	3.886
49.162	4.015
49.209	4.144
49.241	4.270
49.258	4.390
49.263	4.505
49.260	4.618
49.253	4.731
49.244	4.847
49.238	4.969
49.237	5.098
49.246	5.238
49.267	5.388
49.300	5.544
49.343	5.700
49.397	5.850
49.460	5.989
49.531	6.110
49.610	6.208
49.697	6.278
49.789	6.314
49.885	6.319
49.977	6.307
50.061	6.292
50.130	6.289
50.178	6.312
50.204	6.367
50.215	6.448
50.219	6.547
50.224	6.654
50.240	6.761
50.273	6.860
50.326	6.949
50.394	7.029
50.473	7.101
50.560	7.169
50.650	7.234
50.740	7.299
50.825	7.364
50.904	7.433
50.977	7.504
51.042	7.581
51.100	7.663
51.149	7.753
51.189	7.850
51.220	7.954
51.238	8.065
51.241	8.178
51.227	8.291
51.194	8.402
51.139	8.509
51.059	8.608
50.955	8.700
50.831	8.785
50.689	8.864
50.533	8.939
50.366	9.011
50.193	9.081
50.016	9.150
49.840	9.220
49.667	9.292
49.501	9.368
49.345	9.447
49.201	9.532
49.068	9.620
48.944	9.711
48.828	9.804
48.718	9.897
48.613	9.990
48.511	10.082
48.412	10.172
48.313	10.258
48.215	10.340
48.121	10.420
48.038	10.501
47.970	10.584
47.921	10.672
47.898	10.767
47.904	10.870
47.941	10.983
47.998	11.102
48.066	11.223
48.134	11.342
48.193	11.457
48.232	11.562
48.240	11.655
48.210	11.731
48.142	11.793
48.045	11.842
47.929	11.884
47.800	11.920
47.670	11.956
47.545	11.993
47.435	12.036
47.343	12.085
47.265	12.140
47.199	12.200
47.139	12.262
47.083	12.325
47.027	12.389
46.971	12.453
46.918	12.521
46.871	12.595
46.833	12.678
46.807	12.771
46.796	12.877
46.798	12.994
46.813	13.119
46.839	13.252
46.875	13.389
46.920	13.528
46.972	13.666
47.030	13.802
47.092	13.933
47.155	14.059
47.216	14.179
47.269	14.294
47.309	14.404
47.332	14.510
47.334	14.612
47.309	14.710
47.256	14.806
47.182	14.899
47.096	14.990
47.007	15.080
46.924	15.171
46.857	15.261
46.813	15.353
46.802	15.446
46.824	15.542
46.873	15.640
46.944	15.741
47.033	15.845
47.134	15.952
47.243	16.063
47.355	16.177
47.465	16.294
47.570	16.416
47.671	16.539
47.765	16.665
47.852	16.792
47.932	16.920
48.003	17.047
48.065	17.173
48.117	17.297
48.159	17.419
48.189	17.538
48.208	17.655
48.216	17.770
48.215	17.883
48.204	17.996
48.184	18.109
48.155	18.222
48.118	18.336
48.074	18.451
48.022	18.565
47.963	18.680
47.898	18.794
47.828	18.907
47.753	19.018
47.673	19.126
47.589	19.233
47.501	19.336
47.411	19.436
47.319	19.532
47.226	19.624
47.131	19.712
47.037	19.795
46.943	19.874
46.851	19.947
46.760	20.016
46.670	20.081
46.579	20.146
46.489	20.211
46.397	20.279
46.303	20.351
46.207	20.430
46.108	20.514
46.006	20.602
45.900	20.687
45.790	20.766
45.676	20.834
45.557	20.886
45.434	20.918
45.304	20.925
45.169	20.904
45.029	20.855
44.883	20.784
44.733	20.692
44.577	20.584
44.417	20.463
44.253	20.331
44.084	20.193
43.911	20.052
43.735	19.911
43.555	19.773
43.371	19.642
43.185	19.522
42.996	19.413
42.804	19.315
42.610	19.227
42.414	19.150
42.216	19.082
42.017	19.023
41.816	18.973
41.615	18.930
41.412	18.896
41.210	18.868
41.007	18.846
40.805	18.831
40.603	18.821
40.401	18.816
40.201	18.816
40.001	18.822
39.804	18.834
39.608	18.851
39.414	18.875
39.223	18.906
39.034	18.943
38.849	18.987
38.667	19.038
38.488	19.096
38.313	19.162
38.142	19.236
37.974	19.315
37.809	19.400
37.646	19.487
37.485	19.575
37.323	19.664
37.162	19.750
36.999	19.834
36.835	19.912
36.668	19.984
36.499	20.048
36.325	20.102
36.147	20.146
35.965	20.180
35.778	20.206
35.586	20.224
35.390	20.234
35.189	20.239
34.983	20.238
34.771	20.232
34.555	20.223
34.333	20.210
34.106	20.196
33.874	20.180
33.636	20.164
33.392	20.148
33.145	20.132
32.895	20.116
32.643	20.100
32.391	20.084
32.140	20.068
31.890	20.051
31.645	20.035
31.404	20.018
31.169	20.001
30.940	19.984
30.721	19.967
30.511	19.949
30.311	19.930
30.124	19.911
29.950	19.892
29.787	19.870
29.635	19.845
29.493	19.816
29.360	19.782
29.234	19.742
29.116	19.694
29.003	19.637
28.895	19.571
28.791	19.495
28.693	19.408
28.602	19.313
28.521	19.210
28.450	19.099
28.392	18.983
28.347	18.861
28.319	18.735
28.306	18.605
28.308	18.475
28.320	18.348
28.338	18.226
28.360	18.112
28.381	18.010
28.399	17.922
28.410	17.851
28.414	17.792
28.412	17.735
28.406	17.670
28.397	17.589
28.387	17.491
28.380	17.379
28.378	17.256
28.385	17.126
28.404	16.991
28.437	16.856
28.487	16.723
