X	Y
28.908	19.412
29.052	19.331
29.230	19.263
29.437	19.206
29.671	19.159
29.929	19.122
30.207	19.094
30.502	19.074
30.812	19.063
31.132	19.058
31.460	19.060
31.792	19.068
32.126	19.081
32.459	19.099
32.786	19.120
33.106	19.145
33.414	19.172
33.710	19.201
33.996	19.233
34.272	19.266
34.541	19.301
34.804	19.338
35.062	19.376
35.318	19.415
35.571	19.456
35.826	19.498
36.081	19.541
36.340	19.585
36.604	19.630
36.874	19.676
37.151	19.722
37.439	19.768
37.735	19.816
38.038	19.864
38.347	19.914
38.658	19.967
38.971	20.022
39.281	20.081
39.589	20.144
39.891	20.212
40.185	20.285
40.469	20.363
40.742	20.448
41.000	20.540
41.242	20.639
41.466	20.746
41.669	20.861
41.850	20.986
42.008	21.119
42.145	21.258
42.264	21.401
42.366	21.545
42.454	21.688
42.529	21.828
42.593	21.963
42.649	22.090
42.698	22.206
42.742	22.313
42.780	22.412
42.812	22.508
42.836	22.605
42.852	22.706
42.859	22.816
42.857	22.936
42.851	23.065
42.842	23.200
42.835	23.340
42.833	23.483
42.839	23.626
42.855	23.769
42.885	23.910
42.930	24.048
42.987	24.184
43.057	24.319
43.138	24.453
43.229	24.587
43.331	24.721
43.442	24.857
43.561	24.994
43.687	25.133
43.814	25.273
43.939	25.414
44.056	25.554
44.161	25.694
44.250	25.833
44.317	25.969
44.359	26.103
44.369	26.233
44.347	26.359
44.296	26.481
44.220	26.598
44.125	26.709
44.015	26.815
43.896	26.914
43.772	27.007
43.648	27.092
43.528	27.171
43.411	27.247
43.298	27.324
43.189	27.403
43.084	27.489
42.983	27.585
42.886	27.694
42.794	27.819
42.707	27.959
42.624	28.112
42.544	28.276
42.468	28.448
42.395	28.625
42.325	28.806
42.257	28.988
42.191	29.167
42.126	29.343
42.063	29.512
42.002	29.674
41.943	29.831
41.887	29.983
41.836	30.132
41.789	30.279
41.748	30.426
41.713	30.573
41.686	30.722
41.666	30.875
41.655	31.030
41.653	31.189
41.659	31.351
41.674	31.516
41.698	31.683
41.731	31.853
41.773	32.025
41.825	32.199
41.887	32.376
41.958	32.554
42.035	32.733
42.118	32.912
42.204	33.091
42.291	33.269
42.378	33.445
42.464	33.619
