X,Y
8.835,3.775
8.853,3.754
8.876,3.732
8.903,3.709
8.934,3.686
8.968,3.661
9.006,3.635
9.047,3.609
9.091,3.583
9.137,3.556
9.185,3.529
9.234,3.502
9.285,3.474
9.337,3.447
9.390,3.421
9.443,3.394
9.496,3.369
9.550,3.343
9.603,3.318
9.657,3.294
9.710,3.270
9.764,3.246
9.817,3.223
9.871,3.200
9.924,3.177
9.978,3.154
10.032,3.131
10.085,3.109
10.139,3.086
10.192,3.064
10.245,3.041
10.299,3.019
10.352,2.996
10.405,2.973
10.458,2.951
10.511,2.928
10.564,2.904
10.616,2.881
10.669,2.858
10.722,2.835
10.776,2.812
10.829,2.790
10.883,2.767
10.937,2.745
10.992,2.722
11.047,2.701
11.103,2.679
11.159,2.658
11.216,2.638
11.274,2.618
11.332,2.598
11.391,2.579
11.451,2.561
11.512,2.543
11.573,2.526
11.635,2.510
11.698,2.494
11.761,2.479
11.825,2.465
11.888,2.451
11.952,2.438
12.016,2.426
12.080,2.414
12.144,2.403
12.208,2.393
12.271,2.383
12.334,2.374
12.397,2.366
12.458,2.358
12.520,2.351
12.580,2.345
12.639,2.339
12.698,2.334
12.756,2.329
12.812,2.326
12.869,2.322
12.924,2.320
12.980,2.317
13.035,2.316
13.090,2.314
13.145,2.313
13.200,2.312
13.255,2.312
13.311,2.312
13.367,2.312
13.424,2.312
13.482,2.312
13.541,2.312
13.600,2.313
13.661,2.313
13.724,2.313
13.787,2.314
13.851,2.314
13.916,2.315
13.981,2.315
14.047,2.316
14.113,2.317
14.178,2.319
14.243,2.320
14.307,2.323
14.370,2.325
14.433,2.328
14.493,2.332
14.553,2.336
14.610,2.341
14.666,2.347
14.719,2.354
14.770,2.361
14.818,2.369
14.863,2.378
14.906,2.389
14.945,2.400
14.983,2.412
15.018,2.426
15.051,2.441
15.081,2.458
15.110,2.477
15.137,2.497
15.162,2.519
15.185,2.543
15.208,2.568
15.228,2.596
15.248,2.626
15.265,2.658
15.281,2.691
15.295,2.725
15.307,2.761
15.316,2.799
15.324,2.837
15.329,2.876
15.332,2.917
15.332,2.958
15.330,2.999
15.325,3.041
15.318,3.084
15.309,3.127
15.298,3.171
15.287,3.216
15.274,3.262
15.260,3.308
15.245,3.354
15.230,3.402
15.216,3.450
15.201,3.499
15.187,3.549
15.173,3.599
15.161,3.651
15.149,3.703
15.139,3.755
15.129,3.808
15.120,3.862
15.112,3.916
15.104,3.971
15.096,4.025
15.089,4.080
15.082,4.135
15.074,4.189
15.066,4.244
15.058,4.298
15.050,4.352
15.040,4.405
15.030,4.458
15.019,4.510
15.007,4.561
14.994,4.612
14.980,4.661
14.964,4.710
14.947,4.758
14.929,4.805
14.910,4.852
14.889,4.897
14.868,4.941
14.845,4.984
14.821,5.026
14.796,5.067
14.769,5.107
14.741,5.146
14.712,5.184
14.682,5.220
14.650,5.256
14.617,5.290
14.584,5.323
14.549,5.354
14.513,5.383
14.477,5.411
14.440,5.437
14.403,5.461
14.366,5.484
14.328,5.504
14.290,5.522
14.252,5.537
14.215,5.551
14.178,5.562
14.141,5.570
14.104,5.576
14.067,5.580
14.031,5.583
13.995,5.583
13.959,5.583
13.923,5.581
13.887,5.578
13.851,5.574
13.815,5.570
13.779,5.565
13.743,5.561
13.707,5.556
13.670,5.551
13.632,5.546
13.594,5.541
13.555,5.536
13.515,5.530
13.474,5.525
13.431,5.520
13.388,5.515
13.342,5.510
13.295,5.505
13.247,5.500
13.196,5.496
13.144,5.491
13.090,5.487
13.035,5.483
12.979,5.479
12.922,5.475
12.863,5.471
12.805,5.468
12.745,5.465
12.686,5.463
12.626,5.460
12.566,5.458
12.506,5.456
12.447,5.455
12.388,5.454
12.330,5.453
12.272,5.453
12.216,5.454
12.161,5.454
12.106,5.455
12.052,5.456
11.999,5.457
11.947,5.458
11.895,5.459
11.843,5.459
11.792,5.459
11.741,5.459
11.690,5.458
11.639,5.456
11.587,5.453
11.536,5.448
11.483,5.443
11.431,5.437
11.378,5.429
11.324,5.419
11.269,5.409
11.214,5.396
11.159,5.383
11.103,5.369
11.047,5.353
10.991,5.337
10.935,5.320
10.880,5.302
10.824,5.283
10.769,5.264
10.714,5.245
10.660,5.225
10.606,5.205
10.554,5.185
10.502,5.165
10.451,5.146
10.401,5.126
10.352,5.106
10.305,5.087
10.258,5.068
10.212,5.049
10.167,5.030
10.123,5.011
10.079,4.993
10.036,4.974
9.994,4.955
9.952,4.936
9.910,4.916
9.868,4.897
9.827,4.877
9.785,4.856
9.744,4.836
9.702,4.815
9.661,4.793
9.620,4.772
9.580,4.749
9.540,4.727
9.500,4.704
9.462,4.681
9.425,4.658
9.389,4.634
9.354,4.610
9.321,4.586
9.290,4.561
9.260,4.537
9.232,4.512
9.207,4.487
9.182,4.462
9.159,4.437
9.136,4.413
9.113,4.390
9.091,4.368
9.068,4.346
9.044,4.326
9.019,4.307
8.992,4.290
8.964,4.274
8.935,4.260
8.906,4.246
8.878,4.233
8.851,4.220
8.827,4.207
8.805,4.193
8.787,4.178
8.773,4.161
8.764,4.143
8.759,4.124
8.756,4.104
8.757,4.082
8.759,4.061
8.763,4.038
8.767,4.015
8.772,3.993
8.777,3.970
8.782,3.948
8.787,3.926
8.791,3.905
8.795,3.885
8.798,3.866
8.801,3.848
8.805,3.831
8.812,3.813
8.821,3.794
8.835,3.775
