X,Y
8.754,4.385
8.787,4.376
8.823,4.368
8.862,4.363
8.903,4.359
8.947,4.356
8.993,4.355
9.042,4.356
9.092,4.358
9.145,4.362
9.200,4.367
9.257,4.372
9.315,4.380
9.374,4.388
9.435,4.397
9.498,4.407
9.561,4.418
9.625,4.429
9.690,4.441
9.756,4.454
9.823,4.467
9.890,4.481
9.957,4.495
10.024,4.510
10.092,4.524
10.160,4.540
10.228,4.555
10.296,4.571
10.364,4.588
10.432,4.605
10.500,4.622
10.567,4.639
10.634,4.657
10.701,4.675
10.768,4.693
10.834,4.711
10.899,4.730
10.964,4.749
11.029,4.768
11.092,4.787
11.155,4.807
11.216,4.827
11.277,4.847
11.337,4.867
11.396,4.887
11.454,4.907
11.510,4.928
11.565,4.949
11.620,4.969
11.673,4.990
11.725,5.011
11.776,5.033
11.826,5.054
11.875,5.076
11.923,5.098
11.970,5.120
12.016,5.142
12.061,5.165
12.106,5.187
12.150,5.210
12.193,5.234
12.235,5.257
12.277,5.281
12.318,5.305
12.358,5.330
12.398,5.354
12.437,5.379
12.476,5.404
12.515,5.430
12.553,5.455
12.592,5.481
12.631,5.506
12.670,5.531
12.710,5.557
12.750,5.581
12.791,5.606
12.833,5.630
12.876,5.654
12.921,5.677
12.966,5.700
13.013,5.722
13.062,5.744
13.112,5.764
13.165,5.784
13.219,5.803
13.274,5.822
13.331,5.840
13.388,5.857
13.445,5.875
13.501,5.893
13.557,5.911
13.612,5.929
13.664,5.948
13.715,5.968
13.763,5.988
13.809,6.010
13.851,6.033
13.889,6.058
13.923,6.084
13.952,6.112
13.976,6.141
13.994,6.173
14.007,6.207
14.013,6.244
14.015,6.282
14.010,6.323
14.002,6.365
13.988,6.408
13.971,6.453
13.950,6.499
13.925,6.546
13.897,6.594
13.867,6.642
13.834,6.691
13.799,6.740
13.763,6.789
13.725,6.838
13.687,6.887
13.647,6.936
13.608,6.984
13.568,7.031
13.529,7.077
13.491,7.122
13.453,7.166
13.415,7.209
13.378,7.251
13.341,7.292
13.305,7.332
13.269,7.371
13.232,7.409
13.197,7.446
13.161,7.483
13.125,7.518
13.089,7.553
13.054,7.586
13.018,7.619
12.982,7.651
12.946,7.682
12.909,7.712
12.873,7.741
12.836,7.769
12.799,7.797
12.761,7.824
12.723,7.850
12.685,7.875
12.646,7.900
12.607,7.924
12.567,7.947
12.526,7.970
12.485,7.992
12.444,8.013
12.401,8.034
12.358,8.055
12.315,8.075
12.270,8.094
12.225,8.113
12.179,8.132
12.132,8.150
12.085,8.168
12.036,8.186
11.987,8.203
11.937,8.220
11.886,8.236
11.835,8.252
11.783,8.268
11.730,8.284
11.677,8.299
11.624,8.313
11.570,8.327
11.516,8.341
11.461,8.354
11.406,8.367
11.351,8.380
11.295,8.392
11.240,8.404
11.184,8.415
11.128,8.426
11.072,8.436
11.017,8.446
10.961,8.455
10.905,8.464
10.849,8.472
10.794,8.479
10.739,8.486
10.684,8.492
10.629,8.496
10.575,8.500
10.521,8.502
10.467,8.503
10.414,8.503
10.361,8.502
10.309,8.499
10.258,8.494
10.207,8.488
10.156,8.480
10.107,8.470
10.058,8.458
10.010,8.444
9.962,8.429
9.916,8.411
9.870,8.391
9.825,8.370
9.781,8.347
9.739,8.322
9.697,8.295
9.656,8.268
9.616,8.238
9.577,8.208
9.540,8.176
9.503,8.144
9.468,8.110
9.434,8.076
9.402,8.041
9.370,8.005
9.340,7.968
9.312,7.931
9.284,7.894
9.258,7.856
9.233,7.817
9.210,7.779
9.187,7.739
9.166,7.700
9.145,7.659
9.125,7.618
9.106,7.577
9.088,7.534
9.070,7.491
9.053,7.448
9.036,7.403
9.019,7.358
9.003,7.312
8.986,7.265
8.970,7.217
8.954,7.169
8.938,7.119
8.922,7.069
8.906,7.018
8.889,6.966
8.873,6.914
8.858,6.861
8.842,6.808
8.827,6.754
8.812,6.700
8.797,6.645
8.782,6.590
8.768,6.535
8.755,6.480
8.741,6.425
8.729,6.370
8.717,6.315
8.705,6.260
8.694,6.205
8.684,6.150
8.674,6.096
8.665,6.042
8.657,5.989
8.649,5.936
8.642,5.884
8.635,5.833
8.628,5.783
8.622,5.735
8.616,5.687
8.609,5.642
8.603,5.598
8.597,5.555
8.590,5.515
8.583,5.477
8.576,5.441
8.568,5.408
8.560,5.377
8.551,5.348
8.541,5.323
8.531,5.299
8.519,5.277
8.507,5.256
8.495,5.236
8.481,5.216
8.467,5.196
8.452,5.174
8.436,5.152
8.419,5.127
8.401,5.101
8.384,5.074
8.367,5.046
8.351,5.017
8.337,4.988
8.324,4.959
8.314,4.931
8.307,4.904
8.304,4.878
8.304,4.854
8.309,4.831
8.318,4.811
8.329,4.792
8.344,4.774
8.360,4.757
8.378,4.740
8.396,4.724
8.414,4.708
8.432,4.692
8.448,4.676
8.464,4.659
8.479,4.641
8.494,4.624
8.508,4.606
8.522,4.587
8.536,4.569
8.550,4.550
8.565,4.531
8.580,4.512
8.596,4.493
8.613,4.475
8.631,4.457
8.651,4.440
8.673,4.424
8.698,4.410
8.725,4.397
8.754,4.385
