X	Y
3.592	1.796
3.599	1.787
3.607	1.779
3.617	1.770
3.628	1.762
3.640	1.753
3.653	1.744
3.667	1.735
3.682	1.725
3.698	1.716
3.715	1.706
3.732	1.697
3.750	1.687
3.769	1.677
3.788	1.666
3.807	1.656
3.827	1.645
3.847	1.635
3.867	1.623
3.887	1.612
3.908	1.601
3.928	1.589
3.949	1.577
3.969	1.565
3.990	1.553
4.010	1.541
4.031	1.528
4.051	1.516
4.072	1.503
4.093	1.491
4.114	1.478
4.135	1.466
4.156	1.453
4.177	1.440
4.198	1.428
4.219	1.415
4.240	1.403
4.262	1.390
4.283	1.378
4.305	1.366
4.326	1.354
4.348	1.342
4.370	1.331
4.391	1.320
4.413	1.308
4.435	1.298
4.458	1.287
4.480	1.276
4.502	1.266
4.525	1.256
4.547	1.247
4.570	1.237
4.593	1.228
4.616	1.219
4.639	1.210
4.662	1.201
4.685	1.192
4.709	1.184
4.732	1.175
4.756	1.167
4.780	1.159
4.804	1.151
4.829	1.144
4.853	1.136
4.878	1.128
4.903	1.121
4.928	1.113
4.953	1.106
4.978	1.099
5.004	1.092
5.030	1.085
5.056	1.077
5.082	1.070
5.109	1.063
5.135	1.057
5.162	1.050
5.189	1.043
5.216	1.036
5.243	1.030
5.270	1.023
5.297	1.017
5.324	1.010
5.351	1.004
5.378	0.998
5.405	0.992
5.432	0.987
5.458	0.981
5.485	0.976
5.511	0.971
5.537	0.965
5.564	0.961
5.589	0.956
5.615	0.951
5.640	0.947
5.665	0.943
5.690	0.939
5.714	0.935
5.738	0.932
5.762	0.929
5.785	0.926
5.808	0.923
5.830	0.921
5.852	0.919
5.874	0.918
5.894	0.917
5.915	0.916
5.934	0.916
5.953	0.916
5.972	0.917
5.989	0.919
6.006	0.921
6.023	0.925
6.038	0.928
6.053	0.933
6.067	0.939
6.080	0.945
6.092	0.952
6.103	0.960
6.114	0.970
6.123	0.980
6.132	0.991
6.140	1.003
6.147	1.015
6.153	1.028
6.159	1.042
6.164	1.057
6.168	1.072
6.172	1.088
6.175	1.104
6.177	1.121
6.180	1.138
6.181	1.155
6.183	1.173
6.184	1.191
6.184	1.209
6.185	1.227
6.184	1.245
6.184	1.264
6.183	1.283
6.182	1.301
6.180	1.320
6.179	1.339
6.176	1.357
6.174	1.376
6.171	1.395
6.167	1.414
6.163	1.432
6.159	1.451
6.154	1.469
6.149	1.488
6.144	1.506
6.138	1.524
6.132	1.542
6.125	1.559
6.118	1.577
6.111	1.594
6.103	1.611
6.094	1.627
6.085	1.643
6.076	1.659
6.066	1.674
6.056	1.688
6.045	1.703
6.033	1.716
6.021	1.729
6.008	1.742
5.994	1.753
5.980	1.764
5.966	1.775
5.950	1.784
5.934	1.793
5.917	1.801
5.900	1.808
5.882	1.814
5.863	1.820
5.843	1.825
5.823	1.829
5.802	1.833
5.781	1.836
5.759	1.839
5.737	1.842
5.714	1.844
5.691	1.845
5.667	1.847
5.642	1.848
5.618	1.849
5.592	1.849
5.567	1.850
5.541	1.851
5.515	1.851
5.488	1.852
5.461	1.853
5.434	1.854
5.406	1.855
5.378	1.856
5.350	1.857
5.322	1.859
5.294	1.862
5.265	1.864
5.236	1.867
5.207	1.870
5.178	1.873
5.149	1.877
5.120	1.880
5.091	1.884
5.062	1.889
5.033	1.893
5.003	1.898
4.974	1.903
4.945	1.908
4.917	1.913
4.888	1.918
4.859	1.924
4.831	1.929
4.803	1.935
4.775	1.941
4.747	1.947
4.720	1.953
4.692	1.960
4.666	1.966
4.639	1.972
4.613	1.979
4.587	1.985
4.562	1.992
4.537	1.998
4.512	2.005
4.488	2.011
4.465	2.018
4.442	2.024
4.419	2.031
4.396	2.037
4.374	2.043
4.352	2.049
4.331	2.055
4.309	2.061
4.288	2.066
4.268	2.071
4.247	2.076
4.227	2.080
4.206	2.085
4.186	2.088
4.166	2.092
4.146	2.095
4.126	2.097
4.107	2.099
4.087	2.101
4.067	2.102
4.047	2.102
4.027	2.102
4.007	2.101
3.988	2.100
3.968	2.098
3.948	2.096
3.928	2.094
3.909	2.092
3.889	2.089
3.870	2.086
3.851	2.083
3.832	2.080
3.813	2.077
3.794	2.075
3.776	2.072
3.758	2.069
3.741	2.067
3.723	2.065
3.706	2.063
3.690	2.062
3.674	2.061
3.658	2.060
3.643	2.060
3.629	2.059
3.615	2.059
3.602	2.058
3.591	2.057
3.580	2.056
3.571	2.054
3.563	2.051
3.557	2.047
3.552	2.042
3.548	2.036
3.547	2.028
3.546	2.020
3.547	2.011
3.548	2.001
3.550	1.991
3.553	1.980
3.556	1.970
3.558	1.959
3.561	1.949
3.563	1.939
3.565	1.929
3.567	1.920
3.568	1.911
3.569	1.902
3.570	1.894
3.570	1.885
3.571	1.877
3.571	1.869
3.572	1.861
3.572	1.853
3.573	1.845
3.574	1.837
3.576	1.829
3.578	1.821
3.581	1.812
3.586	1.804
3.592	1.796
