X	Y
3.520	1.908
3.531	1.901
3.543	1.894
3.557	1.889
3.573	1.884
3.590	1.880
3.609	1.876
3.629	1.874
3.651	1.872
3.673	1.870
3.697	1.869
3.722	1.869
3.748	1.869
3.774	1.870
3.801	1.871
3.829	1.872
3.858	1.874
3.887	1.876
3.916	1.878
3.946	1.881
3.976	1.884
4.006	1.887
4.036	1.890
4.066	1.893
4.096	1.896
4.126	1.899
4.156	1.903
4.185	1.906
4.213	1.909
4.241	1.912
4.268	1.915
4.295	1.917
4.321	1.920
4.345	1.922
4.369	1.924
4.393	1.925
4.415	1.927
4.437	1.928
4.459	1.930
4.480	1.931
4.500	1.932
4.520	1.933
4.540	1.934
4.560	1.935
4.579	1.936
4.598	1.937
4.617	1.938
4.636	1.939
4.655	1.940
4.674	1.941
4.693	1.942
4.712	1.944
4.732	1.946
4.752	1.947
4.772	1.950
4.792	1.952
4.813	1.955
4.835	1.957
4.857	1.961
4.880	1.964
4.903	1.968
4.927	1.972
4.951	1.976
4.975	1.981
5.000	1.986
5.026	1.992
5.051	1.997
5.077	2.003
5.103	2.009
5.129	2.016
5.155	2.023
5.181	2.030
5.207	2.037
5.234	2.045
5.260	2.053
5.286	2.061
5.311	2.070
5.337	2.079
5.362	2.088
5.387	2.097
5.412	2.107
5.436	2.117
5.460	2.127
5.484	2.138
5.506	2.149
5.529	2.160
5.550	2.171
5.571	2.183
5.592	2.195
5.611	2.207
5.630	2.220
5.648	2.232
5.665	2.245
5.682	2.259
5.697	2.272
5.712	2.286
5.726	2.299
5.739	2.313
5.751	2.327
5.762	2.342
5.772	2.356
5.782	2.370
5.790	2.384
5.798	2.399
5.805	2.413
5.811	2.428
5.816	2.442
5.820	2.456
5.823	2.470
5.825	2.485
5.826	2.499
5.826	2.513
5.825	2.526
5.824	2.540
5.821	2.553
5.818	2.567
5.814	2.580
5.809	2.593
5.803	2.606
5.797	2.619
5.790	2.631
5.782	2.644
5.773	2.656
5.765	2.668
5.755	2.680
5.745	2.692
5.735	2.703
5.724	2.715
5.712	2.726
5.701	2.737
5.689	2.748
5.676	2.759
5.664	2.770
5.651	2.780
5.637	2.790
5.623	2.801
5.609	2.811
5.594	2.820
5.579	2.830
5.564	2.839
5.548	2.849
5.531	2.858
5.514	2.866
5.497	2.875
5.479	2.884
5.461	2.892
5.442	2.900
5.423	2.908
5.403	2.916
5.383	2.923
5.362	2.931
5.341	2.938
5.319	2.945
5.296	2.952
5.273	2.958
5.250	2.965
5.226	2.971
5.201	2.977
5.177	2.983
5.151	2.988
5.126	2.994
5.099	2.999
5.073	3.005
5.046	3.010
5.019	3.015
4.992	3.020
4.965	3.024
4.937	3.029
4.909	3.033
4.881	3.038
4.853	3.042
4.825	3.046
4.797	3.050
4.768	3.054
4.740	3.058
4.712	3.062
4.683	3.065
4.655	3.069
4.627	3.072
4.599	3.076
4.571	3.079
4.543	3.083
4.516	3.086
4.489	3.089
4.461	3.093
4.435	3.096
4.408	3.099
4.382	3.103
4.356	3.106
4.331	3.109
4.306	3.112
4.281	3.115
4.257	3.118
4.233	3.121
4.209	3.123
4.186	3.125
4.163	3.127
4.140	3.129
4.118	3.130
4.097	3.131
4.076	3.132
4.055	3.132
4.034	3.132
4.014	3.131
3.995	3.130
3.975	3.129
3.957	3.126
3.938	3.124
3.921	3.120
3.903	3.116
3.886	3.111
3.870	3.106
3.854	3.099
3.838	3.092
3.823	3.085
3.808	3.076
3.794	3.067
3.781	3.057
3.767	3.046
3.754	3.034
3.742	3.022
3.730	3.009
3.718	2.996
3.707	2.982
3.696	2.967
3.685	2.952
3.675	2.936
3.666	2.920
3.656	2.903
3.647	2.886
3.638	2.869
3.630	2.850
3.621	2.832
3.614	2.813
3.606	2.794
3.599	2.774
3.592	2.755
3.585	2.735
3.578	2.714
3.572	2.694
3.566	2.673
3.560	2.652
3.555	2.631
3.549	2.610
3.544	2.589
3.540	2.568
3.535	2.547
3.531	2.526
3.527	2.505
3.523	2.485
3.520	2.464
3.517	2.444
3.514	2.424
3.511	2.405
3.509	2.386
3.507	2.367
3.505	2.349
3.503	2.331
3.502	2.314
3.501	2.297
3.500	2.281
3.500	2.265
3.500	2.250
3.500	2.236
3.500	2.223
3.500	2.209
3.500	2.197
3.501	2.184
3.501	2.172
3.502	2.160
3.502	2.148
3.502	2.137
3.502	2.125
3.502	2.114
3.502	2.102
3.501	2.091
3.501	2.079
3.499	2.067
3.498	2.054
3.496	2.042
3.494	2.029
3.493	2.017
3.491	2.004
3.491	1.992
3.490	1.979
3.491	1.968
3.493	1.956
3.495	1.945
3.499	1.935
3.505	1.925
3.512	1.916
3.520	1.908
