X,Y
167.833,79.833
168.491,79.063
169.528,78.271
170.879,77.458
172.482,76.625
174.270,75.769
176.181,74.893
178.151,73.994
180.121,73.074
182.079,72.133
184.030,71.172
185.981,70.193
187.938,69.195
189.906,68.181
191.891,67.152
193.899,66.107
195.937,65.050
198.010,63.980
200.119,62.902
202.261,61.823
204.433,60.752
206.630,59.696
208.850,58.663
211.089,57.660
213.344,56.695
215.610,55.776
217.885,54.910
220.165,54.106
222.446,53.366
224.726,52.687
227.003,52.066
229.272,51.498
231.531,50.979
233.777,50.505
236.007,50.072
238.218,49.676
240.408,49.312
242.574,48.978
244.720,48.672
246.855,48.396
248.989,48.153
251.132,47.944
253.293,47.773
255.482,47.642
257.709,47.552
259.983,47.505
262.313,47.505
264.698,47.554
267.117,47.652
269.548,47.803
271.970,48.009
274.361,48.272
276.699,48.593
278.963,48.976
281.131,49.422
283.181,49.933
285.093,50.512
286.848,51.170
288.435,51.926
289.840,52.798
291.051,53.805
292.054,54.966
292.838,56.298
293.391,57.819
293.730,59.518
293.886,61.377
293.887,63.374
293.765,65.487
293.550,67.697
293.271,69.982
292.958,72.322
292.641,74.695
292.341,77.082
292.042,79.470
291.725,81.846
291.369,84.196
290.954,86.507
290.458,88.768
289.862,90.964
289.145,93.083
288.286,95.112
287.266,97.039
286.080,98.854
284.743,100.555
283.274,102.139
281.692,103.605
280.014,104.951
278.257,106.173
276.441,107.270
274.584,108.240
272.702,109.080
270.797,109.795
268.859,110.395
266.874,110.889
264.828,111.287
262.710,111.599
260.507,111.835
258.205,112.006
255.793,112.121
253.257,112.191
250.602,112.221
247.853,112.214
245.039,112.172
242.185,112.097
239.318,111.992
236.465,111.858
233.654,111.698
230.910,111.513
228.261,111.307
225.733,111.080
223.354,110.836
221.141,110.573
219.076,110.287
217.131,109.968
215.279,109.608
213.492,109.199
211.741,108.731
210.000,108.197
208.241,107.589
206.439,106.898
204.595,106.130
202.717,105.291
200.813,104.389
198.893,103.432
196.965,102.426
195.036,101.380
193.117,100.301
191.216,99.196
189.342,98.073
187.512,96.941
185.745,95.809
184.057,94.685
182.467,93.578
180.994,92.498
179.655,91.454
178.468,90.453
177.441,89.510
176.512,88.664
175.597,87.961
174.614,87.451
173.477,87.180
172.130,87.176
170.671,87.340
169.255,87.534
168.033,87.615
167.160,87.444
166.768,86.901
166.788,86.050
167.043,85.064
167.350,84.112
167.568,83.318
167.672,82.635
167.665,81.984
167.582,81.302
167.577,80.582
167.833,79.833
