X,Y
169.000,85.000
170.388,84.449
172.161,84.139
174.271,84.042
176.673,84.128
179.317,84.368
182.156,84.735
185.144,85.199
188.233,85.731
191.375,86.304
194.524,86.887
197.648,87.469
200.739,88.054
203.790,88.652
206.794,89.270
209.743,89.916
212.630,90.599
215.449,91.325
218.192,92.104
220.852,92.942
223.423,93.849
225.896,94.832
228.267,95.894
230.540,97.025
232.717,98.214
234.803,99.449
236.799,100.718
238.711,102.009
240.542,103.312
242.294,104.614
243.972,105.904
245.582,107.173
247.139,108.419
248.660,109.641
250.159,110.839
251.653,112.012
253.158,113.159
254.690,114.280
256.259,115.375
257.840,116.463
259.393,117.570
260.877,118.722
262.249,119.946
263.470,121.267
264.497,122.711
265.294,124.299
265.848,126.017
266.160,127.835
266.228,129.724
266.052,131.653
265.633,133.593
264.969,135.514
264.063,137.389
262.937,139.213
261.617,140.991
260.134,142.725
258.515,144.419
256.789,146.077
254.984,147.703
253.130,149.300
251.254,150.872
249.377,152.421
247.497,153.945
245.609,155.441
243.708,156.907
241.789,158.339
239.845,159.734
237.872,161.091
235.865,162.406
233.818,163.676
231.728,164.898
229.599,166.070
227.436,167.187
225.246,168.248
223.034,169.249
220.808,170.186
218.571,171.057
216.331,171.858
214.093,172.587
211.862,173.239
209.641,173.807
207.430,174.283
205.229,174.656
203.039,174.918
200.861,175.060
198.695,175.072
196.542,174.947
194.403,174.675
192.287,174.257
190.210,173.701
188.188,173.018
186.238,172.217
184.377,171.307
182.622,170.298
180.989,169.199
179.494,168.019
178.136,166.761
176.908,165.425
175.802,164.010
174.808,162.516
173.918,160.941
173.124,159.286
172.418,157.552
171.795,155.764
171.252,153.954
170.788,152.154
170.397,150.398
170.079,148.718
169.830,147.146
169.645,145.699
169.508,144.336
169.401,142.999
169.306,141.632
169.205,140.178
169.080,138.586
168.922,136.860
168.725,135.043
168.482,133.175
168.189,131.300
167.840,129.458
167.429,127.692
166.952,126.038
166.429,124.485
165.886,123.002
165.351,121.556
164.852,120.116
164.415,118.650
164.064,117.129
163.785,115.558
163.547,113.956
163.320,112.342
163.073,110.735
162.775,109.153
162.401,107.616
161.983,106.132
161.588,104.705
161.284,103.339
161.138,102.038
161.218,100.805
161.543,99.636
162.055,98.511
162.688,97.409
163.373,96.309
164.047,95.191
164.675,94.046
165.247,92.874
165.757,91.675
166.194,90.450
166.557,89.202
166.908,87.970
167.358,86.816
168.018,85.805
169.000,85.000
