X	Y
357.000	199.000
357.580	197.763
358.356	196.550
359.316	195.360
360.449	194.189
361.745	193.035
363.192	191.895
364.780	190.766
366.497	189.646
368.332	188.531
370.275	187.419
372.315	186.308
374.440	185.195
376.639	184.076
378.903	182.950
381.219	181.813
383.576	180.662
385.964	179.496
388.372	178.311
390.790	177.105
393.213	175.880
395.642	174.637
398.077	173.381
400.516	172.114
402.962	170.840
405.412	169.561
407.867	168.280
410.327	167.002
412.792	165.727
415.261	164.461
417.735	163.205
420.213	161.964
422.696	160.739
425.182	159.534
427.672	158.352
430.167	157.197
432.664	156.070
435.165	154.976
437.670	153.917
440.178	152.896
442.689	151.917
445.203	150.983
447.719	150.096
450.239	149.259
452.760	148.469
455.284	147.725
457.810	147.021
460.338	146.354
462.866	145.722
465.396	145.120
467.927	144.545
470.458	143.994
472.990	143.463
475.522	142.948
478.053	142.447
480.584	141.956
483.114	141.470
485.643	140.988
488.171	140.504
490.697	140.017
493.221	139.521
495.744	139.015
498.263	138.494
500.781	137.955
503.295	137.395
505.806	136.809
508.311	136.201
510.806	135.581
513.283	134.960
515.738	134.352
518.165	133.767
520.556	133.217
522.908	132.715
525.214	132.271
527.468	131.898
529.664	131.607
531.797	131.410
533.861	131.319
535.849	131.346
537.757	131.503
539.577	131.800
541.305	132.251
542.935	132.866
544.461	133.658
545.876	134.637
547.182	135.801
548.382	137.137
549.478	138.633
550.475	140.276
551.377	142.054
552.186	143.953
552.906	145.962
553.541	148.068
554.095	150.258
554.570	152.520
554.971	154.841
555.301	157.209
555.564	159.611
555.763	162.034
555.901	164.466
555.982	166.894
556.010	169.306
555.989	171.690
555.920	174.036
555.807	176.346
555.649	178.620
555.449	180.859
555.208	183.063
554.928	185.233
554.610	187.370
554.256	189.474
553.867	191.547
553.444	193.589
552.989	195.601
552.504	197.584
551.990	199.537
551.448	201.463
550.881	203.361
550.288	205.233
549.673	207.079
549.036	208.899
548.378	210.695
547.697	212.461
546.987	214.191
546.246	215.880
545.469	217.522
544.651	219.111
543.790	220.642
542.881	222.108
541.920	223.505
540.903	224.826
539.826	226.066
538.685	227.218
537.476	228.277
536.195	229.238
534.838	230.094
533.403	230.844
531.898	231.491
530.329	232.045
528.707	232.512
527.038	232.900
525.330	233.215
523.592	233.465
521.831	233.657
520.056	233.799
518.275	233.898
516.495	233.961
514.725	233.995
512.973	234.007
511.246	234.006
509.554	233.998
507.897	233.987
506.268	233.976
504.657	233.965
503.053	233.954
501.448	233.944
499.831	233.935
498.193	233.927
496.524	233.922
494.815	233.920
493.054	233.922
491.234	233.927
489.344	233.937
487.374	233.951
485.315	233.972
483.156	233.998
480.891	234.031
478.524	234.070
476.064	234.115
473.517	234.166
470.893	234.223
468.200	234.285
465.445	234.352
462.637	234.424
459.785	234.500
456.895	234.580
453.977	234.665
451.038	234.753
448.087	234.844
445.131	234.938
442.180	235.036
439.240	235.136
436.321	235.238
433.430	235.342
430.575	235.448
427.765	235.555
425.008	235.664
422.312	235.773
419.685	235.883
417.135	235.994
414.669	236.104
412.285	236.211
409.980	236.311
407.751	236.401
405.593	236.477
403.504	236.535
401.479	236.572
399.516	236.585
397.610	236.570
395.759	236.522
393.958	236.440
392.204	236.319
390.494	236.155
388.824	235.945
387.191	235.686
385.591	235.374
384.020	235.005
382.475	234.578
380.957	234.100
379.464	233.579
377.998	233.024
376.558	232.445
375.143	231.850
373.755	231.248
372.394	230.649
371.058	230.060
369.749	229.491
368.466	228.951
367.210	228.449
365.980	227.993
364.779	227.588
363.620	227.217
362.517	226.860
361.486	226.496
360.542	226.105
359.699	225.666
358.972	225.159
358.376	224.563
357.927	223.857
357.628	223.034
357.461	222.117
357.403	221.132
357.432	220.107
357.527	219.068
357.664	218.043
357.821	217.057
357.977	216.138
358.110	215.307
358.209	214.548
358.268	213.832
358.278	213.127
358.233	212.405
358.127	211.635
357.951	210.786
357.709	209.842
357.427	208.812
357.132	207.710
356.851	206.546
356.612	205.335
356.441	204.088
356.368	202.819
356.418	201.539
356.620	200.262
357.000	199.000
