X	Y
357.000	218.000
358.246	216.912
359.762	215.958
361.531	215.131
363.536	214.426
365.759	213.838
368.185	213.360
370.797	212.987
373.577	212.712
376.508	212.530
379.575	212.435
382.759	212.421
386.045	212.483
389.415	212.615
392.853	212.810
396.342	213.063
399.864	213.368
403.403	213.720
406.943	214.112
410.466	214.539
413.956	214.994
417.398	215.473
420.791	215.972
424.136	216.490
427.435	217.022
430.688	217.566
433.897	218.120
437.063	218.682
440.187	219.248
443.271	219.816
446.317	220.383
449.324	220.946
452.295	221.504
455.231	222.052
458.133	222.590
461.002	223.113
463.840	223.620
466.648	224.108
469.427	224.574
472.179	225.015
474.904	225.429
477.604	225.813
480.281	226.165
482.929	226.489
485.539	226.799
488.100	227.107
490.602	227.425
493.034	227.766
495.386	228.144
497.647	228.571
499.807	229.059
501.856	229.622
503.783	230.272
505.578	231.022
507.230	231.885
508.729	232.873
510.064	234.000
511.226	235.278
512.207	236.710
513.009	238.282
513.634	239.974
514.086	241.767
514.366	243.644
514.478	245.585
514.424	247.572
514.206	249.587
513.827	251.611
513.291	253.625
512.598	255.611
511.753	257.551
510.758	259.425
509.620	261.223
508.359	262.948
506.995	264.606
505.548	266.202
504.040	267.741
502.490	269.229
500.918	270.672
499.346	272.075
497.793	273.443
496.281	274.782
494.828	276.098
493.457	277.395
492.186	278.679
491.037	279.956
490.022	281.229
489.119	282.490
488.295	283.730
487.517	284.939
486.754	286.107
485.974	287.224
485.143	288.280
484.230	289.265
483.202	290.170
482.026	290.984
480.680	291.701
479.174	292.329
477.527	292.880
475.761	293.365
473.896	293.798
471.953	294.190
469.950	294.552
467.909	294.897
465.851	295.237
463.795	295.584
461.762	295.949
459.772	296.346
457.845	296.784
456.001	297.277
454.248	297.829
452.581	298.439
450.997	299.103
449.491	299.822
448.059	300.593
446.697	301.414
445.401	302.283
444.166	303.199
442.989	304.160
441.865	305.165
440.791	306.211
439.758	307.292
438.754	308.394
437.764	309.500
436.774	310.594
435.769	311.660
434.736	312.681
433.658	313.641
432.523	314.523
431.315	315.312
430.020	315.991
428.627	316.547
427.139	316.984
425.559	317.309
423.895	317.529
422.150	317.652
420.332	317.684
418.444	317.634
416.494	317.507
414.485	317.313
412.425	317.057
410.317	316.748
408.168	316.392
405.982	315.997
403.768	315.568
401.534	315.103
399.293	314.598
397.057	314.051
394.837	313.455
392.644	312.809
390.490	312.108
388.387	311.348
386.347	310.526
384.381	309.637
382.500	308.678
380.717	307.645
379.042	306.535
377.488	305.343
376.066	304.065
374.784	302.700
373.631	301.256
372.592	299.741
371.650	298.166
370.790	296.540
369.996	294.874
369.253	293.178
368.543	291.461
367.852	289.733
367.164	288.004
366.463	286.285
365.732	284.584
364.957	282.912
364.127	281.275
363.253	279.669
362.348	278.087
361.428	276.523
360.506	274.968
359.596	273.418
358.714	271.864
357.873	270.300
357.088	268.719
356.374	267.114
355.744	265.479
355.212	263.806
354.794	262.089
354.488	260.332
354.284	258.547
354.169	256.749
354.130	254.949
354.154	253.162
354.231	251.400
354.347	249.677
354.490	248.006
354.647	246.400
354.807	244.872
354.956	243.436
355.084	242.103
355.184	240.861
355.254	239.686
355.293	238.551
355.298	237.430
355.269	236.300
355.202	235.133
355.097	233.904
354.951	232.589
354.775	231.178
354.599	229.694
354.454	228.159
354.373	226.598
354.387	225.034
354.528	223.490
354.828	221.991
355.318	220.561
356.032	219.223
357.000	218.000
