X,Y
40.093,15.580
40.116,15.566
40.141,15.551
40.168,15.538
40.197,15.524
40.229,15.511
40.262,15.499
40.298,15.487
40.335,15.475
40.375,15.463
40.417,15.452
40.460,15.442
40.505,15.432
40.552,15.422
40.601,15.412
40.651,15.403
40.703,15.394
40.757,15.386
40.813,15.377
40.869,15.369
40.928,15.362
40.988,15.355
41.049,15.348
41.111,15.341
41.175,15.335
41.241,15.329
41.307,15.323
41.375,15.317
41.444,15.312
41.514,15.307
41.584,15.302
41.657,15.298
41.730,15.293
41.804,15.289
41.878,15.285
41.954,15.282
42.031,15.278
42.108,15.275
42.186,15.272
42.265,15.269
42.344,15.267
42.424,15.264
42.505,15.262
42.586,15.260
42.667,15.258
42.749,15.256
42.832,15.255
42.914,15.253
42.997,15.252
43.081,15.251
43.164,15.250
43.248,15.249
43.332,15.248
43.416,15.247
43.500,15.246
43.584,15.246
43.668,15.245
43.751,15.245
43.835,15.244
43.919,15.244
44.002,15.244
44.085,15.243
44.168,15.243
44.251,15.243
44.333,15.243
44.415,15.243
44.497,15.243
44.578,15.243
44.659,15.243
44.739,15.243
44.819,15.243
44.899,15.243
44.979,15.244
45.058,15.244
45.137,15.244
45.216,15.245
45.294,15.245
45.372,15.246
45.450,15.246
45.527,15.247
45.605,15.247
45.682,15.248
45.758,15.248
45.835,15.249
45.911,15.250
45.987,15.251
46.062,15.252
46.138,15.253
46.213,15.254
46.288,15.255
46.363,15.256
46.437,15.257
46.511,15.259
46.585,15.260
46.659,15.261
46.733,15.263
46.806,15.264
46.879,15.266
46.952,15.268
47.025,15.269
47.098,15.271
47.170,15.273
47.242,15.275
47.314,15.277
47.386,15.279
47.458,15.281
47.530,15.284
47.601,15.286
47.672,15.288
47.743,15.291
47.814,15.293
47.885,15.296
47.956,15.299
48.026,15.302
48.097,15.304
48.167,15.307
48.237,15.310
48.307,15.314
48.377,15.317
48.447,15.320
48.517,15.324
48.587,15.327
48.656,15.331
48.726,15.334
48.795,15.338
48.865,15.342
48.934,15.346
49.003,15.350
49.072,15.354
49.141,15.359
49.210,15.363
49.279,15.367
49.348,15.372
49.417,15.377
49.486,15.382
49.555,15.386
49.624,15.391
49.692,15.397
49.761,15.402
49.830,15.407
49.898,15.413
49.967,15.418
50.036,15.424
50.104,15.430
50.173,15.436
50.241,15.442
50.310,15.448
50.378,15.454
50.446,15.461
50.515,15.467
50.583,15.474
50.651,15.481
50.720,15.488
50.788,15.495
50.856,15.502
50.924,15.510
50.992,15.517
51.060,15.525
51.129,15.533
51.197,15.541
51.265,15.549
51.333,15.558
51.401,15.566
51.469,15.575
51.537,15.584
51.605,15.593
51.672,15.602
51.740,15.612
51.808,15.621
51.876,15.631
51.944,15.641
52.012,15.651
52.080,15.661
52.147,15.672
52.215,15.683
52.283,15.693
52.351,15.705
52.418,15.716
52.486,15.727
52.554,15.739
52.621,15.751
52.689,15.763
52.757,15.775
52.824,15.788
52.892,15.800
52.959,15.813
53.027,15.826
53.095,15.840
53.162,15.853
53.230,15.867
53.297,15.881
53.365,15.895
53.432,15.909
53.500,15.924
53.567,15.939
53.635,15.954
53.702,15.969
53.770,15.985
53.837,16.001
53.905,16.017
53.972,16.033
54.040,16.050
54.107,16.067
54.174,16.084
54.241,16.101
54.308,16.118
54.375,16.136
54.442,16.154
54.508,16.172
54.574,16.190
54.640,16.208
54.706,16.227
54.772,16.246
54.837,16.265
54.902,16.284
54.966,16.303
55.030,16.322
55.094,16.342
55.157,16.362
55.220,16.382
55.283,16.402
55.345,16.422
55.407,16.443
55.468,16.463
55.528,16.484
55.588,16.505
55.648,16.525
55.707,16.546
55.765,16.568
55.823,16.589
55.880,16.610
55.937,16.632
55.992,16.653
56.047,16.675
56.102,16.697
56.155,16.719
56.208,16.740
56.260,16.762
56.312,16.785
56.362,16.807
56.412,16.829
56.461,16.851
56.509,16.874
56.556,16.896
56.602,16.918
56.647,16.941
56.691,16.963
56.735,16.986
56.777,17.009
56.818,17.031
56.858,17.054
56.897,17.077
56.936,17.099
56.973,17.122
57.008,17.145
57.043,17.168
57.077,17.190
57.110,17.213
57.141,17.236
57.172,17.259
57.201,17.282
57.230,17.305
57.258,17.328
57.286,17.351
57.312,17.374
57.338,17.398
57.363,17.422
57.388,17.445
57.412,17.469
57.436,17.494
57.459,17.518
57.482,17.543
57.505,17.568
57.527,17.593
57.549,17.618
57.571,17.644
57.592,17.670
57.614,17.696
57.636,17.723
57.657,17.750
57.679,17.777
57.701,17.805
57.723,17.833
57.745,17.861
57.768,17.890
