X,Y
21.232,9.320
21.244,9.302
21.257,9.284
21.273,9.266
21.291,9.247
21.310,9.229
21.331,9.210
21.353,9.191
21.377,9.171
21.402,9.152
21.429,9.133
21.458,9.113
21.487,9.093
21.518,9.073
21.550,9.053
21.583,9.032
21.617,9.012
21.652,8.991
21.688,8.971
21.725,8.950
21.763,8.929
21.801,8.908
21.841,8.886
21.881,8.865
21.921,8.844
21.962,8.822
22.004,8.800
22.046,8.779
22.088,8.757
22.131,8.735
22.174,8.713
22.217,8.691
22.260,8.669
22.303,8.647
22.347,8.625
22.390,8.603
22.433,8.580
22.476,8.558
22.519,8.536
22.561,8.513
22.604,8.491
22.645,8.468
22.687,8.446
22.728,8.424
22.768,8.401
22.808,8.379
22.847,8.356
22.886,8.334
22.924,8.311
22.962,8.289
23.000,8.266
23.037,8.244
23.073,8.222
23.110,8.199
23.146,8.177
23.181,8.155
23.217,8.132
23.252,8.110
23.286,8.088
23.321,8.066
23.355,8.044
23.389,8.022
23.423,8.000
23.456,7.978
23.489,7.956
23.522,7.934
23.555,7.913
23.588,7.891
23.621,7.870
23.653,7.848
23.686,7.827
23.718,7.805
23.751,7.784
23.783,7.763
23.815,7.742
23.848,7.721
23.880,7.700
23.912,7.680
23.944,7.659
23.977,7.638
24.009,7.618
24.042,7.598
24.074,7.578
24.107,7.558
24.140,7.538
24.173,7.518
24.206,7.499
24.240,7.479
24.273,7.460
24.307,7.441
24.341,7.421
24.375,7.402
24.409,7.383
24.443,7.365
24.478,7.346
24.513,7.327
24.548,7.308
24.583,7.290
24.618,7.271
24.653,7.252
24.689,7.233
24.724,7.215
24.760,7.196
24.796,7.177
24.833,7.158
24.869,7.140
24.905,7.121
24.942,7.102
24.979,7.083
25.016,7.063
25.053,7.044
25.090,7.025
25.128,7.005
25.165,6.986
25.203,6.966
25.241,6.946
25.279,6.926
25.317,6.906
25.355,6.885
25.394,6.865
25.433,6.844
25.471,6.823
25.510,6.802
25.549,6.780
25.589,6.758
25.628,6.736
25.668,6.714
25.707,6.692
25.747,6.669
25.787,6.646
25.827,6.622
25.868,6.599
25.908,6.575
25.949,6.550
25.989,6.526
26.030,6.501
26.071,6.476
26.112,6.451
26.153,6.426
26.194,6.400
26.235,6.374
26.276,6.348
26.317,6.322
26.358,6.295
26.399,6.269
26.440,6.242
26.481,6.215
26.522,6.188
26.563,6.161
26.604,6.134
26.645,6.106
26.686,6.079
26.727,6.051
26.768,6.024
26.808,5.996
26.849,5.968
26.889,5.940
26.930,5.912
26.970,5.884
27.010,5.856
27.050,5.828
27.090,5.800
27.129,5.772
27.169,5.744
27.208,5.716
27.247,5.689
27.286,5.661
27.324,5.633
27.363,5.605
27.401,5.577
27.439,5.549
27.477,5.522
27.514,5.494
27.551,5.467
27.588,5.440
27.624,5.412
27.661,5.385
27.697,5.358
27.732,5.332
27.767,5.305
27.802,5.278
27.837,5.252
27.871,5.226
27.905,5.200
27.939,5.174
27.973,5.148
28.006,5.123
28.039,5.097
28.071,5.072
28.104,5.047
28.136,5.022
28.168,4.997
28.200,4.972
28.232,4.947
28.264,4.923
28.295,4.898
28.327,4.874
28.358,4.850
28.389,4.826
28.420,4.802
28.451,4.778
28.482,4.754
28.513,4.730
28.544,4.706
28.575,4.683
28.606,4.660
28.637,4.636
28.668,4.613
28.699,4.590
28.730,4.567
28.761,4.543
28.792,4.520
28.823,4.498
28.854,4.475
28.886,4.452
28.917,4.429
28.949,4.406
28.981,4.384
29.013,4.361
29.045,4.339
29.078,4.316
29.110,4.294
29.143,4.271
29.176,4.249
29.210,4.227
29.243,4.204
29.277,4.182
29.311,4.160
29.345,4.138
29.379,4.116
29.414,4.094
29.448,4.072
29.483,4.050
29.518,4.028
29.553,4.006
29.589,3.984
29.624,3.962
29.660,3.940
29.696,3.919
29.732,3.897
29.768,3.876
29.804,3.854
29.840,3.833
29.877,3.811
29.914,3.790
29.950,3.769
29.987,3.748
30.025,3.727
30.062,3.705
30.099,3.684
30.137,3.664
30.174,3.643
30.212,3.622
30.250,3.601
30.287,3.581
30.325,3.560
30.363,3.539
30.402,3.519
30.440,3.499
30.478,3.478
30.517,3.458
30.555,3.438
30.594,3.418
30.632,3.398
30.671,3.378
30.710,3.358
30.748,3.339
30.787,3.319
30.826,3.299
30.865,3.280
30.904,3.261
30.943,3.241
30.982,3.222
31.021,3.203
31.060,3.184
31.100,3.165
31.139,3.146
31.178,3.128
31.218,3.109
31.257,3.091
31.297,3.072
31.336,3.054
31.376,3.036
31.415,3.018
31.455,3.000
31.495,2.982
31.534,2.964
31.574,2.946
31.614,2.929
31.654,2.911
31.694,2.894
31.733,2.877
31.773,2.860
31.813,2.843
31.853,2.826
31.893,2.809
31.933,2.793
31.973,2.776
32.013,2.760
32.053,2.744
32.094,2.728
32.134,2.712
32.174,2.696
32.214,2.681
32.254,2.665
32.294,2.650
32.335,2.634
32.375,2.619
32.415,2.604
32.456,2.590
32.496,2.575
32.536,2.561
32.576,2.546
32.617,2.532
32.657,2.518
32.697,2.504
32.738,2.490
32.778,2.477
32.819,2.463
32.859,2.450
32.900,2.437
32.940,2.424
32.981,2.412
33.021,2.399
33.062,2.387
33.102,2.375
33.143,2.363
33.184,2.351
33.224,2.339
33.265,2.328
33.306,2.317
33.347,2.306
33.388,2.295
33.429,2.285
33.470,2.274
33.511,2.264
33.552,2.254
33.593,2.245
33.634,2.235
33.675,2.226
33.717,2.217
33.758,2.208
33.799,2.200
33.841,2.191
33.882,2.183
33.924,2.175
33.966,2.168
34.007,2.161
34.049,2.153
34.091,2.147
34.133,2.140
34.175,2.134
34.217,2.128
34.259,2.122
34.301,2.116
34.344,2.111
34.386,2.106
34.428,2.101
34.471,2.097
34.513,2.093
34.556,2.089
34.598,2.086
34.640,2.082
34.682,2.080
34.724,2.077
34.766,2.075
34.808,2.074
34.850,2.072
34.891,2.072
34.932,2.071
34.973,2.071
35.013,2.071
35.053,2.072
35.093,2.074
35.133,2.075
35.172,2.078
35.210,2.080
35.249,2.084
35.287,2.087
35.324,2.092
35.361,2.096
35.397,2.102
35.433,2.108
35.468,2.114
35.502,2.121
35.536,2.129
35.569,2.137
35.602,2.145
35.634,2.155
35.665,2.165
35.696,2.175
35.725,2.187
35.754,2.199
35.782,2.211
35.809,2.225
35.836,2.239
35.861,2.253
35.886,2.268
35.910,2.284
35.933,2.301
35.955,2.318
35.977,2.336
35.997,2.354
36.017,2.373
36.036,2.392
36.055,2.412
36.073,2.432
36.090,2.453
36.106,2.475
36.122,2.497
36.137,2.519
36.151,2.541
36.165,2.565
36.178,2.588
36.190,2.612
36.202,2.636
36.213,2.661
36.224,2.686
36.234,2.711
36.243,2.736
36.252,2.762
36.261,2.788
36.269,2.814
36.276,2.841
36.283,2.867
36.290,2.894
36.296,2.921
36.301,2.949
36.306,2.976
36.311,3.004
36.315,3.032
36.318,3.061
36.321,3.089
36.324,3.118
36.326,3.147
36.327,3.177
36.328,3.206
36.329,3.236
36.329,3.266
36.328,3.297
36.328,3.327
36.326,3.358
36.324,3.389
36.322,3.420
36.319,3.452
36.316,3.484
36.312,3.516
36.308,3.549
36.303,3.581
36.298,3.614
36.292,3.647
