X	Y
18.735	10.445
18.774	10.415
18.817	10.385
18.865	10.357
18.916	10.330
18.972	10.305
19.032	10.281
19.095	10.258
19.161	10.236
19.231	10.215
19.304	10.196
19.379	10.178
19.458	10.161
19.538	10.145
19.622	10.130
19.707	10.117
19.794	10.104
19.883	10.093
19.973	10.082
20.065	10.073
20.159	10.065
20.253	10.058
20.348	10.052
20.444	10.047
20.540	10.043
20.636	10.040
20.733	10.038
20.830	10.037
20.926	10.037
21.022	10.037
21.118	10.039
21.213	10.042
21.308	10.045
21.403	10.049
21.497	10.054
21.592	10.060
21.686	10.066
21.780	10.074
21.873	10.082
21.967	10.090
22.061	10.100
22.154	10.109
22.248	10.120
22.342	10.131
22.436	10.142
22.529	10.154
22.623	10.167
22.718	10.180
22.812	10.193
22.907	10.207
23.002	10.221
23.097	10.236
23.193	10.251
23.289	10.266
23.385	10.281
23.482	10.297
23.580	10.313
23.677	10.329
23.776	10.345
23.875	10.361
23.975	10.377
24.075	10.394
24.176	10.411
24.278	10.427
24.380	10.444
24.483	10.460
24.586	10.477
24.690	10.494
24.795	10.511
24.899	10.528
25.004	10.546
25.110	10.563
25.215	10.581
25.321	10.599
25.427	10.617
25.533	10.635
25.639	10.654
25.745	10.673
25.851	10.692
25.956	10.712
26.062	10.732
26.167	10.752
26.272	10.773
26.376	10.794
26.480	10.815
26.584	10.837
26.687	10.860
26.789	10.882
26.891	10.906
26.992	10.930
27.092	10.954
27.192	10.979
27.291	11.005
27.388	11.031
27.485	11.058
27.581	11.085
27.676	11.113
27.769	11.142
27.862	11.171
27.953	11.201
28.043	11.232
28.132	11.263
28.219	11.295
28.305	11.328
28.390	11.361
28.474	11.395
28.556	11.429
28.637	11.464
28.717	11.499
28.796	11.535
28.874	11.571
28.950	11.607
29.025	11.644
29.099	11.681
29.172	11.719
29.244	11.756
29.314	11.794
29.383	11.832
29.451	11.870
29.518	11.908
29.584	11.946
29.648	11.985
29.712	12.023
29.774	12.061
29.835	12.100
29.895	12.138
29.954	12.176
30.011	12.214
30.068	12.252
30.123	12.289
30.177	12.327
30.230	12.365
30.282	12.404
30.331	12.443
30.380	12.482
30.426	12.523
30.471	12.564
30.514	12.607
30.555	12.651
30.594	12.697
30.631	12.744
30.665	12.793
30.698	12.844
30.728	12.897
30.755	12.953
30.780	13.011
30.803	13.071
30.822	13.135
30.839	13.201
30.853	13.270
30.864	13.343
30.872	13.419
30.878	13.497
30.880	13.578
30.881	13.661
30.878	13.747
30.874	13.834
30.867	13.923
30.858	14.014
30.847	14.105
30.834	14.198
30.819	14.292
30.802	14.386
30.784	14.480
30.764	14.575
30.743	14.670
30.721	14.764
30.697	14.857
30.672	14.950
30.646	15.042
30.620	15.133
30.592	15.222
30.564	15.310
30.535	15.396
30.506	15.479
30.476	15.561
30.446	15.640
30.416	15.716
