X	Y
14.412	8.823
14.422	8.781
14.434	8.735
14.449	8.687
14.465	8.636
14.484	8.583
14.505	8.528
14.528	8.471
14.552	8.412
14.578	8.351
14.606	8.289
14.636	8.225
14.667	8.159
14.699	8.092
14.733	8.024
14.768	7.955
14.804	7.885
14.841	7.814
14.879	7.743
14.919	7.671
14.958	7.598
14.999	7.525
15.041	7.452
15.082	7.379
15.125	7.306
15.168	7.233
15.211	7.160
15.254	7.088
15.298	7.016
15.341	6.945
15.385	6.874
15.429	6.804
15.473	6.735
15.518	6.666
15.562	6.598
15.607	6.530
15.652	6.463
15.697	6.396
15.743	6.329
15.789	6.263
15.836	6.197
15.883	6.131
15.931	6.066
15.979	6.000
16.027	5.935
16.076	5.871
16.126	5.806
16.176	5.742
16.227	5.677
16.279	5.613
16.332	5.548
16.385	5.484
16.439	5.420
16.493	5.355
16.549	5.291
16.605	5.226
16.663	5.161
16.721	5.096
16.780	5.031
16.841	4.966
16.902	4.900
16.964	4.834
17.027	4.768
17.092	4.702
17.157	4.635
17.223	4.568
17.290	4.501
17.357	4.434
17.426	4.367
17.495	4.299
17.565	4.232
17.635	4.164
17.706	4.097
17.777	4.029
17.849	3.962
17.921	3.895
17.994	3.828
18.067	3.761
18.140	3.694
18.214	3.627
18.287	3.561
18.361	3.495
18.435	3.429
18.509	3.363
18.583	3.298
18.657	3.233
18.731	3.169
18.804	3.104
18.878	3.041
18.951	2.978
19.024	2.915
19.097	2.853
19.169	2.791
19.241	2.730
19.312	2.670
19.383	2.610
19.454	2.551
19.523	2.493
19.593	2.435
19.661	2.378
19.729	2.322
19.796	2.266
19.863	2.212
19.929	2.158
19.995	2.105
20.061	2.052
20.126	2.001
20.190	1.950
20.254	1.901
20.318	1.852
20.382	1.804
20.445	1.756
20.508	1.710
20.571	1.665
20.634	1.620
20.696	1.577
20.759	1.534
20.821	1.492
20.884	1.452
20.946	1.412
21.009	1.373
21.071	1.335
21.134	1.299
21.197	1.263
21.260	1.228
21.323	1.194
21.387	1.162
21.450	1.130
21.514	1.100
21.579	1.070
21.643	1.042
21.708	1.015
21.772	0.990
21.837	0.966
21.901	0.944
21.965	0.924
22.028	0.906
22.091	0.890
22.153	0.877
22.214	0.865
22.275	0.857
22.334	0.851
22.392	0.847
22.449	0.847
22.505	0.850
22.559	0.856
22.611	0.865
22.662	0.878
22.711	0.895
22.758	0.915
22.803	0.939
22.846	0.967
22.887	0.999
22.925	1.034
22.962	1.074
22.997	1.117
23.029	1.163
23.061	1.213
23.090	1.266
23.118	1.321
23.144	1.380
23.169	1.441
23.193	1.504
23.215	1.570
23.237	1.637
23.257	1.707
23.277	1.779
23.295	1.852
23.313	1.926
23.330	2.002
23.347	2.080
23.363	2.158
23.379	2.237
23.394	2.316
23.409	2.397
23.424	2.477
23.439	2.558
23.454	2.639
23.469	2.720
23.485	2.801
23.500	2.881
23.515	2.962
23.531	3.042
23.546	3.123
23.561	3.203
23.576	3.284
23.591	3.364
23.605	3.445
23.619	3.526
23.633	3.606
23.646	3.687
23.659	3.768
23.671	3.850
23.683	3.931
23.694	4.012
23.704	4.094
23.714	4.176
23.723	4.258
23.731	4.341
23.738	4.424
23.744	4.507
23.749	4.590
23.754	4.674
23.757	4.758
23.759	4.842
23.760	4.927
23.760	5.013
23.758	5.098
23.755	5.184
23.751	5.271
23.746	5.358
23.739	5.446
23.730	5.534
23.721	5.622
23.710	5.711
23.699	5.799
23.686	5.888
23.673	5.977
23.658	6.065
23.643	6.154
23.628	6.242
23.611	6.330
23.594	6.418
23.577	6.505
23.560	6.592
23.542	6.679
23.524	6.764
23.505	6.849
23.487	6.933
23.469	7.017
23.451	7.099
23.433	7.181
23.415	7.261
23.398	7.340
23.381	7.418
23.364	7.495
23.349	7.570
23.333	7.644
23.319	7.717
23.305	7.788
23.292	7.857
23.281	7.925
23.270	7.990
23.260	8.054
23.251	8.117
23.243	8.177
23.234	8.235
23.226	8.292
23.218	8.347
23.208	8.400
23.198	8.451
23.187	8.500
23.174	8.547
23.160	8.593
23.144	8.636
23.125	8.678
23.104	8.718
23.081	8.756
23.054	8.792
23.024	8.826
22.990	8.858
22.953	8.889
22.911	8.917
22.865	8.944
22.815	8.969
22.762	8.992
22.704	9.014
22.643	9.034
22.578	9.053
22.511	9.071
22.439	9.087
22.365	9.102
22.288	9.117
22.207	9.130
22.124	9.142
22.039	9.154
21.951	9.165
21.860	9.175
21.767	9.185
21.672	9.194
21.576	9.203
21.477	9.212
21.376	9.220
21.274	9.229
21.170	9.237
21.065	9.246
20.959	9.254
20.851	9.263
20.743	9.273
20.633	9.282
20.523	9.292
20.412	9.303
20.301	9.315
20.189	9.327
