X	Y
26.192	8.320
26.208	8.284
26.226	8.246
26.248	8.208
26.274	8.168
26.302	8.127
26.333	8.085
26.367	8.043
26.403	8.000
26.442	7.956
26.483	7.912
26.527	7.867
26.572	7.822
26.619	7.776
26.669	7.731
26.719	7.685
26.772	7.639
26.825	7.593
26.880	7.547
26.936	7.501
26.994	7.455
27.051	7.410
27.110	7.365
27.169	7.320
27.229	7.276
27.289	7.233
27.349	7.190
27.409	7.148
27.469	7.107
27.529	7.067
27.589	7.027
27.649	6.988
27.709	6.950
27.770	6.912
27.831	6.875
27.892	6.838
27.953	6.802
28.015	6.766
28.077	6.731
28.140	6.697
28.203	6.662
28.267	6.628
28.331	6.595
28.396	6.562
28.461	6.528
28.528	6.496
28.595	6.463
28.663	6.430
28.732	6.398
28.802	6.366
28.873	6.333
28.945	6.301
29.018	6.269
29.092	6.237
29.167	6.204
29.243	6.172
29.321	6.139
29.400	6.106
29.480	6.073
29.562	6.040
29.645	6.006
29.729	5.972
29.815	5.938
29.903	5.904
29.991	5.869
30.081	5.834
30.172	5.799
30.264	5.764
30.357	5.729
30.452	5.693
30.547	5.657
30.644	5.622
30.741	5.586
30.840	5.550
30.939	5.513
31.040	5.477
31.141	5.441
31.243	5.404
31.346	5.368
31.449	5.331
31.554	5.295
31.659	5.258
31.765	5.222
31.871	5.185
31.978	5.149
32.085	5.112
32.193	5.076
32.302	5.040
32.411	5.003
32.520	4.967
32.630	4.931
32.740	4.895
32.850	4.859
32.961	4.824
33.071	4.788
33.182	4.753
33.294	4.718
33.405	4.683
33.516	4.648
33.628	4.613
33.739	4.579
33.851	4.545
33.962	4.511
34.074	4.478
34.185	4.445
34.296	4.412
34.407	4.379
34.518	4.347
34.628	4.315
34.739	4.283
34.849	4.251
34.959	4.220
35.069	4.189
35.178	4.159
35.288	4.129
35.397	4.099
35.506	4.069
35.615	4.039
35.724	4.010
35.833	3.981
35.941	3.953
36.050	3.924
36.158	3.896
36.266	3.868
36.374	3.840
36.481	3.813
36.589	3.786
36.697	3.759
36.804	3.732
36.911	3.705
37.018	3.679
37.125	3.653
37.232	3.627
37.339	3.601
37.445	3.576
37.552	3.550
37.658	3.525
37.765	3.500
37.871	3.475
37.977	3.451
38.083	3.426
38.189	3.402
38.294	3.378
38.400	3.354
38.506	3.330
38.611	3.307
38.717	3.283
38.822	3.260
38.927	3.237
39.033	3.214
39.138	3.191
39.243	3.168
39.348	3.145
39.453	3.123
39.558	3.100
39.663	3.078
39.767	3.056
39.872	3.034
39.976	3.013
40.080	2.991
40.184	2.970
40.288	2.949
40.391	2.928
40.494	2.908
40.596	2.888
40.698	2.868
40.800	2.849
40.901	2.830
41.002	2.811
41.102	2.793
41.202	2.775
41.301	2.758
41.399	2.742
41.497	2.725
41.594	2.710
41.690	2.695
41.786	2.680
41.881	2.666
41.975	2.653
42.068	2.640
42.161	2.628
42.252	2.616
42.343	2.605
42.433	2.595
