X	Y
28.102	14.167
28.102	14.117
28.104	14.064
28.108	14.009
28.114	13.950
28.122	13.889
28.132	13.826
28.144	13.760
28.159	13.692
28.176	13.622
28.196	13.551
28.218	13.478
28.243	13.404
28.271	13.329
28.302	13.254
28.335	13.177
28.372	13.100
28.412	13.023
28.455	12.946
28.502	12.869
28.551	12.792
28.604	12.715
28.661	12.638
28.720	12.562
28.781	12.485
28.846	12.409
28.913	12.333
28.983	12.257
29.055	12.181
29.129	12.105
29.206	12.029
29.284	11.953
29.365	11.877
29.447	11.801
29.530	11.725
29.616	11.649
29.703	11.572
29.791	11.496
29.880	11.419
29.970	11.343
30.061	11.266
30.154	11.189
30.246	11.112
30.340	11.034
30.434	10.956
30.528	10.879
30.623	10.800
30.717	10.722
30.812	10.643
30.907	10.564
31.002	10.485
31.096	10.405
31.191	10.325
31.286	10.246
31.382	10.166
31.477	10.086
31.572	10.006
31.668	9.926
31.763	9.846
31.859	9.766
31.955	9.686
32.050	9.606
32.147	9.527
32.243	9.447
32.339	9.368
32.436	9.289
32.532	9.211
32.629	9.133
32.726	9.055
32.824	8.977
32.921	8.900
33.019	8.824
33.117	8.748
33.215	8.672
33.313	8.597
33.411	8.523
33.510	8.449
33.609	8.376
33.708	8.304
33.808	8.232
33.908	8.162
34.008	8.091
34.108	8.022
34.209	7.954
34.310	7.886
34.411	7.819
34.512	7.753
34.613	7.688
34.715	7.624
34.817	7.561
34.919	7.498
35.022	7.437
35.124	7.376
35.227	7.316
35.330	7.258
35.434	7.200
35.537	7.143
35.641	7.087
35.745	7.033
35.848	6.979
35.953	6.926
36.057	6.874
36.162	6.824
36.266	6.774
36.371	6.726
36.476	6.678
36.581	6.632
36.686	6.587
36.792	6.543
36.897	6.500
37.003	6.459
37.109	6.418
37.214	6.379
37.319	6.341
37.424	6.305
37.528	6.270
37.631	6.237
37.733	6.206
37.834	6.177
37.933	6.149
38.030	6.124
38.126	6.100
38.220	6.079
38.311	6.060
38.400	6.044
38.487	6.030
38.570	6.018
38.651	6.009
38.729	6.003
