X	Y
28.441	15.340
28.516	15.280
28.596	15.229
28.681	15.185
28.772	15.149
28.868	15.120
28.968	15.097
29.072	15.080
29.181	15.068
29.293	15.061
29.409	15.058
29.528	15.059
29.650	15.063
29.774	15.070
29.901	15.080
30.031	15.091
30.162	15.103
30.294	15.116
30.428	15.129
30.563	15.142
30.699	15.155
30.835	15.166
30.972	15.176
31.109	15.185
31.247	15.194
31.385	15.202
31.523	15.209
31.662	15.217
31.802	15.225
31.941	15.233
32.081	15.241
32.222	15.250
32.363	15.260
32.504	15.271
32.645	15.284
32.787	15.297
32.929	15.313
33.071	15.330
33.214	15.349
33.357	15.371
33.500	15.395
33.643	15.421
33.787	15.450
33.931	15.483
34.075	15.518
34.219	15.557
34.363	15.600
34.507	15.645
34.651	15.695
34.795	15.747
34.938	15.803
35.081	15.861
35.222	15.922
35.363	15.986
35.502	16.053
35.640	16.122
35.776	16.193
35.911	16.267
36.043	16.343
36.174	16.421
36.302	16.501
36.428	16.582
36.551	16.666
36.672	16.750
36.790	16.836
36.904	16.924
37.015	17.013
37.123	17.102
37.227	17.193
37.327	17.284
37.423	17.376
37.515	17.469
37.603	17.562
37.686	17.656
37.766	17.750
37.842	17.844
37.914	17.937
37.983	18.031
38.048	18.125
38.110	18.218
38.169	18.310
38.224	18.402
38.277	18.493
38.328	18.584
38.376	18.673
38.421	18.761
38.464	18.848
38.505	18.934
38.545	19.018
38.582	19.101
38.618	19.182
38.652	19.261
38.684	19.339
38.714	19.416
38.741	19.491
38.765	19.567
38.786	19.641
38.803	19.716
38.816	19.791
38.825	19.867
38.829	19.943
38.827	20.021
38.820	20.100
38.807	20.181
38.788	20.263
38.763	20.348
38.732	20.435
38.696	20.523
38.656	20.613
38.612	20.703
38.565	20.795
38.516	20.887
38.464	20.979
38.411	21.072
38.358	21.164
38.305	21.256
38.252	21.347
38.200	21.438
38.150	21.527
38.103	21.615
38.059	21.702
38.018	21.786
37.982	21.869
37.950	21.949
37.921	22.027
37.896	22.102
37.875	22.175
37.856	22.246
37.839	22.313
37.825	22.378
37.813	22.441
37.802	22.500
37.792	22.556
37.783	22.609
37.774	22.659
37.766	22.706
37.760	22.751
37.755	22.794
37.754	22.835
37.756	22.876
37.763	22.916
37.775	22.957
37.794	22.999
37.818	23.042
37.848	23.085
37.883	23.130
37.923	23.176
37.967	23.222
38.014	23.269
38.065	23.317
38.118	23.365
38.174	23.414
38.231	23.464
38.290	23.514
38.349	23.564
38.405	23.613
38.459	23.659
38.507	23.703
38.548	23.743
38.580	23.778
38.602	23.807
38.613	23.830
38.609	23.845
38.591	23.853
38.561	23.854
38.519	23.848
38.470	23.838
38.413	23.823
38.352	23.804
38.288	23.783
38.223	23.761
38.160	23.737
38.098	23.713
38.039	23.689
37.981	23.665
37.926	23.642
37.872	23.618
37.820	23.596
37.769	23.574
37.721	23.553
37.673	23.533
37.628	23.514
37.583	23.497
37.539	23.483
37.495	23.472
37.450	23.466
37.402	23.466
37.353	23.472
37.299	23.486
37.242	23.509
37.180	23.542
37.113	23.583
37.044	23.633
36.974	23.688
36.903	23.749
36.835	23.813
36.770	23.878
36.709	23.944
36.655	24.009
36.609	24.072
36.571	24.131
36.544	24.184
36.530	24.231
36.529	24.270
36.542	24.300
36.567	24.323
36.602	24.343
36.646	24.360
36.696	24.377
36.749	24.396
36.806	24.420
36.862	24.450
36.917	24.488
36.968	24.532
37.016	24.581
37.058	24.631
37.092	24.683
37.119	24.732
37.135	24.779
37.140	24.820
37.133	24.855
37.112	24.880
37.079	24.898
37.036	24.907
36.985	24.910
36.929	24.907
36.871	24.900
36.812	24.888
36.755	24.874
36.702	24.858
36.656	24.840
36.613	24.823
36.574	24.806
36.535	24.792
36.497	24.780
36.456	24.772
36.413	24.768
36.364	24.770
36.310	24.779
36.252	24.792
36.189	24.812
36.125	24.836
36.058	24.865
35.990	24.899
35.921	24.938
35.853	24.980
35.787	25.026
35.723	25.075
35.661	25.128
35.604	25.183
35.551	25.241
35.502	25.301
35.456	25.362
35.412	25.423
35.371	25.484
35.330	25.543
35.289	25.600
35.248	25.654
35.206	25.704
35.161	25.750
35.114	25.790
35.063	25.824
35.007	25.852
34.948	25.872
34.885	25.886
34.819	25.894
34.751	25.896
34.681	25.893
34.610	25.885
34.539	25.873
34.469	25.857
34.399	25.837
34.331	25.815
34.265	25.790
34.203	25.762
34.142	25.733
34.083	25.701
34.026	25.667
33.969	25.630
33.912	25.592
33.854	25.551
33.795	25.507
33.734	25.462
33.670	25.413
33.603	25.363
33.532	25.310
33.456	25.254
33.376	25.195
33.290	25.135
33.200	25.071
33.106	25.006
33.008	24.939
32.906	24.870
32.802	24.799
32.695	24.727
32.587	24.653
32.477	24.578
32.366	24.503
32.254	24.426
32.142	24.349
32.031	24.271
31.920	24.193
31.811	24.115
31.703	24.037
31.598	23.959
31.495	23.882
31.396	23.805
31.299	23.728
31.207	23.653
31.119	23.579
31.036	23.505
30.957	23.432
30.882	23.360
30.810	23.288
30.742	23.216
30.676	23.143
30.612	23.070
30.551	22.995
30.491	22.919
30.433	22.842
30.376	22.763
30.320	22.682
30.264	22.599
30.207	22.512
30.151	22.423
30.094	22.331
30.035	22.235
29.976	22.135
29.914	22.031
29.852	21.924
29.789	21.813
29.725	21.700
29.660	21.584
29.596	21.465
29.532	21.344
29.469	21.221
29.406	21.096
29.345	20.970
29.285	20.843
29.227	20.715
29.171	20.587
29.118	20.458
29.067	20.330
29.019	20.202
28.975	20.074
28.934	19.947
28.897	19.821
28.864	19.697
28.836	19.575
28.812	19.454
28.794	19.336
28.781	19.220
28.772	19.107
28.767	18.996
28.765	18.888
28.766	18.783
28.768	18.681
28.771	18.583
28.774	18.487
28.776	18.394
28.777	18.305
28.775	18.219
28.771	18.136
28.764	18.058
28.752	17.982
28.735	17.911
28.712	17.843
28.682	17.779
28.647	17.719
28.606	17.661
28.561	17.605
28.513	17.550
28.463	17.495
28.412	17.440
28.360	17.383
28.308	17.324
28.259	17.262
28.211	17.197
28.168	17.127
28.128	17.052
28.094	16.970
28.066	16.883
28.044	16.790
28.028	16.692
28.019	16.590
28.015	16.486
28.017	16.380
28.026	16.272
28.040	16.165
28.061	16.058
28.087	15.953
28.120	15.851
28.159	15.751
28.203	15.657
28.254	15.567
28.310	15.484
28.373	15.408
28.441	15.340
