X,Y
40.850,17.340
40.857,17.295
40.865,17.249
40.876,17.204
40.888,17.158
40.902,17.112
40.918,17.065
40.936,17.019
40.955,16.972
40.976,16.925
40.998,16.878
41.022,16.830
41.047,16.783
41.073,16.735
41.101,16.687
41.129,16.638
41.159,16.590
41.190,16.541
41.222,16.492
41.255,16.443
41.288,16.394
41.323,16.344
41.358,16.294
41.393,16.245
41.430,16.194
41.466,16.144
41.504,16.094
41.541,16.043
41.579,15.992
41.617,15.941
41.656,15.890
41.694,15.839
41.733,15.787
41.771,15.735
41.809,15.683
41.848,15.631
41.886,15.579
41.924,15.527
41.961,15.474
41.999,15.421
42.037,15.369
42.074,15.315
42.112,15.262
42.149,15.209
42.186,15.155
42.224,15.102
42.261,15.048
42.299,14.994
42.337,14.940
42.375,14.885
42.413,14.831
42.451,14.776
42.490,14.722
42.529,14.667
42.568,14.612
42.607,14.557
42.647,14.501
42.687,14.446
42.728,14.390
42.769,14.334
42.810,14.279
42.852,14.222
42.894,14.166
42.937,14.110
42.980,14.054
43.024,13.997
43.069,13.940
43.114,13.884
43.160,13.827
43.207,13.770
43.254,13.712
43.302,13.655
43.351,13.598
43.401,13.540
43.451,13.482
43.503,13.425
43.555,13.367
43.608,13.309
43.662,13.251
43.717,13.192
43.773,13.134
43.830,13.076
43.888,13.017
43.946,12.958
44.006,12.900
44.066,12.841
44.127,12.782
44.189,12.723
44.252,12.664
44.315,12.605
44.379,12.545
44.444,12.486
44.510,12.427
44.576,12.367
44.643,12.308
44.711,12.249
44.779,12.189
44.848,12.130
44.918,12.070
44.988,12.011
45.058,11.951
45.130,11.891
45.201,11.832
45.273,11.772
45.346,11.713
45.419,11.653
45.493,11.593
45.567,11.534
45.641,11.474
45.716,11.415
45.791,11.355
45.867,11.296
45.942,11.236
46.019,11.177
46.095,11.118
46.172,11.058
46.249,10.999
46.326,10.940
46.403,10.881
46.481,10.822
46.559,10.763
46.637,10.704
46.715,10.645
46.793,10.586
46.871,10.528
46.950,10.469
47.028,10.411
47.106,10.352
47.185,10.294
47.264,10.236
47.342,10.178
47.421,10.120
47.499,10.062
47.577,10.005
47.656,9.947
47.734,9.890
47.812,9.833
47.890,9.776
47.968,9.719
48.046,9.662
48.123,9.605
48.201,9.549
48.278,9.493
48.356,9.437
48.433,9.381
48.510,9.325
48.587,9.269
48.664,9.214
48.741,9.158
48.818,9.103
48.895,9.048
48.971,8.993
49.048,8.938
49.125,8.884
49.201,8.829
49.278,8.775
49.354,8.721
49.430,8.667
49.507,8.613
49.583,8.560
49.659,8.507
49.736,8.453
49.812,8.400
49.888,8.347
49.964,8.295
50.040,8.242
50.116,8.190
50.193,8.138
50.269,8.086
50.345,8.034
50.421,7.982
50.497,7.931
50.573,7.879
50.649,7.828
50.726,7.777
50.802,7.727
50.878,7.676
50.954,7.626
51.030,7.576
51.107,7.526
51.183,7.476
51.259,7.426
51.336,7.377
51.412,7.328
51.489,7.279
51.565,7.230
51.642,7.181
51.719,7.133
51.795,7.084
51.872,7.036
51.949,6.989
52.026,6.941
52.103,6.894
52.180,6.846
52.257,6.799
52.335,6.752
52.412,6.706
52.490,6.660
52.567,6.613
52.645,6.568
52.723,6.522
52.800,6.477
