X	Y
335.000	215.500
335.061	214.592
335.286	213.556
335.665	212.401
336.189	211.133
336.851	209.763
337.640	208.299
338.548	206.748
339.566	205.121
340.685	203.425
341.895	201.668
343.189	199.860
344.557	198.009
345.989	196.123
347.478	194.210
349.014	192.281
350.588	190.342
352.192	188.403
353.816	186.472
355.451	184.557
357.090	182.666
358.731	180.799
360.375	178.954
362.021	177.130
363.670	175.326
365.322	173.539
366.977	171.769
368.635	170.015
370.296	168.273
371.961	166.544
373.630	164.826
375.302	163.117
376.979	161.415
378.659	159.720
380.344	158.029
382.033	156.342
383.726	154.656
385.425	152.971
387.128	151.285
388.836	149.596
390.549	147.903
392.268	146.204
393.992	144.498
395.722	142.784
397.457	141.061
399.198	139.330
400.945	137.592
402.696	135.849
404.454	134.100
406.216	132.347
407.984	130.591
409.757	128.834
411.535	127.075
413.318	125.317
415.106	123.559
416.899	121.804
418.697	120.052
420.499	118.303
422.306	116.560
424.117	114.823
425.933	113.093
427.754	111.371
429.579	109.658
431.408	107.955
433.241	106.263
435.078	104.583
436.920	102.916
438.765	101.264
440.615	99.626
442.469	98.003
444.327	96.395
446.191	94.803
448.060	93.226
449.935	91.664
451.817	90.118
453.705	88.587
455.600	87.072
457.502	85.573
459.413	84.090
461.332	82.622
463.259	81.171
465.195	79.736
467.141	78.318
469.097	76.915
471.062	75.529
473.039	74.160
475.026	72.807
477.024	71.472
479.034	70.153
481.057	68.851
483.092	67.566
485.139	66.298
487.200	65.047
489.273	63.814
491.360	62.598
493.459	61.400
495.571	60.220
497.695	59.057
499.832	57.912
501.981	56.786
504.142	55.677
506.316	54.587
508.501	53.515
510.699	52.462
512.909	51.427
515.130	50.411
517.363	49.414
519.608	48.436
521.864	47.477
524.131	46.537
526.410	45.616
528.701	44.715
531.002	43.833
533.315	42.971
535.638	42.129
537.972	41.307
540.312	40.507
542.653	39.730
544.990	38.981
547.317	38.260
549.629	37.570
551.920	36.913
554.186	36.292
556.420	35.709
558.618	35.167
560.774	34.667
562.883	34.212
564.938	33.804
566.936	33.446
568.870	33.139
570.736	32.887
572.527	32.691
574.239	32.554
575.866	32.478
577.403	32.466
578.844	32.519
580.190	32.638
581.450	32.819
582.638	33.057
583.765	33.347
584.842	33.686
585.881	34.068
586.896	34.488
587.896	34.943
588.895	35.427
589.903	35.936
590.933	36.466
591.994	37.013
593.079	37.583
594.176	38.184
595.273	38.824
596.359	39.510
597.422	40.252
598.451	41.057
599.435	41.932
600.361	42.886
601.218	43.927
601.995	45.063
602.679	46.301
603.261	47.650
603.736	49.109
604.113	50.667
604.399	52.314
604.601	54.041
604.727	55.836
604.785	57.688
604.782	59.589
604.726	61.527
604.623	63.491
604.483	65.472
604.311	67.460
604.117	69.443
603.906	71.411
603.688	73.354
603.469	75.262
603.257	77.123
603.060	78.929
602.883	80.669
602.727	82.345
602.583	83.968
602.445	85.547
602.305	87.091
602.157	88.612
601.992	90.117
601.806	91.618
601.589	93.123
601.335	94.643
601.037	96.187
600.689	97.765
600.282	99.387
599.809	101.062
599.265	102.801
598.641	104.613
597.931	106.506
597.137	108.481
596.263	110.533
595.315	112.657
594.296	114.851
593.211	117.108
592.064	119.426
590.862	121.799
589.607	124.223
588.305	126.695
586.960	129.210
585.577	131.763
584.161	134.350
582.716	136.967
581.247	139.611
579.758	142.275
578.254	144.956
576.740	147.651
575.221	150.354
573.700	153.061
572.183	155.768
570.674	158.470
569.178	161.164
567.699	163.846
566.243	166.509
564.813	169.152
563.414	171.769
562.052	174.355
560.727	176.908
559.436	179.423
558.177	181.896
556.946	184.325
555.739	186.704
554.553	189.032
553.384	191.304
552.230	193.517
551.087	195.666
549.951	197.749
548.820	199.762
547.689	201.700
546.556	203.562
545.417	205.342
544.268	207.037
543.107	208.645
541.929	210.160
540.732	211.579
539.513	212.900
538.266	214.118
536.991	215.229
535.682	216.231
534.341	217.125
532.975	217.927
531.595	218.655
530.208	219.323
528.824	219.951
527.452	220.553
526.102	221.147
524.782	221.750
523.501	222.379
522.269	223.050
521.095	223.779
519.987	224.585
518.955	225.483
518.008	226.490
517.152	227.618
516.376	228.853
515.667	230.176
515.012	231.568
514.397	233.010
513.809	234.482
513.234	235.966
512.659	237.442
512.069	238.891
511.452	240.294
510.795	241.632
510.082	242.885
509.302	244.035
508.440	245.062
507.484	245.948
506.429	246.690
505.279	247.301
504.038	247.792
502.712	248.178
501.303	248.469
499.818	248.679
498.260	248.821
496.633	248.908
494.942	248.951
493.191	248.963
491.385	248.958
489.527	248.947
487.623	248.944
485.677	248.961
483.693	249.010
481.674	249.101
479.621	249.230
477.534	249.394
475.414	249.588
473.259	249.808
471.071	250.051
468.850	250.311
466.596	250.584
464.308	250.868
461.988	251.156
459.634	251.446
457.248	251.733
454.830	252.013
452.379	252.282
449.895	252.535
447.380	252.769
444.833	252.978
442.253	253.160
439.642	253.310
437.000	253.424
434.326	253.498
431.621	253.527
428.884	253.507
426.117	253.435
423.324	253.313
420.508	253.145
417.675	252.935
414.829	252.687
411.976	252.404
409.121	252.090
406.267	251.749
403.420	251.386
400.586	251.004
397.767	250.607
394.970	250.198
392.199	249.782
389.459	249.363
386.755	248.945
384.092	248.530
381.474	248.124
378.907	247.730
376.394	247.352
373.942	246.995
371.554	246.660
369.236	246.354
366.993	246.079
364.828	245.840
362.748	245.640
360.757	245.483
358.857	245.369
357.050	245.288
355.333	245.225
353.704	245.168
352.163	245.104
350.709	245.019
349.339	244.902
348.052	244.737
346.848	244.514
345.725	244.218
344.681	243.836
343.715	243.355
342.825	242.763
342.012	242.048
341.271	241.214
340.602	240.280
340.003	239.265
339.470	238.188
339.002	237.066
338.597	235.919
338.253	234.766
337.967	233.624
337.737	232.512
337.561	231.450
337.437	230.455
337.360	229.528
337.323	228.660
337.318	227.840
337.339	227.055
337.377	226.294
337.426	225.547
337.479	224.801
337.528	224.047
337.564	223.286
337.573	222.528
337.544	221.783
337.466	221.063
337.325	220.378
337.109	219.740
336.809	219.156
336.443	218.614
336.049	218.086
335.668	217.540
335.339	216.947
335.103	216.277
335.000	215.500
